date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,540.57,552.1,540.57,551.42,551.419983,351988,343288,10.85,2.01,549.09,"July 11, 23",0.0201,DECK
2023-07-10,528.79,544.28,528.79,540.85,540.849976,354795,354800,12.06,2.28,540.12,"July 10, 23",0.0228,DECK
2023-07-07,529.01,535.03,525.45,527.18,527.179993,253871,253900,-1.83,-0.34593,529.43,"July 07, 23",-0.0034593,DECK
2023-07-06,529.96,532.055,523.0,529.96,529.960022,333671,333600,0.0,0.0,528.22,"July 06, 23",0.0,DECK
2023-07-05,532.61,536.64,526.98,534.59,534.590027,349592,349600,1.98,0.37175,532.9,"July 05, 23",0.0037175,DECK
2023-07-03,529.18,538.32,528.51,531.46,531.460022,216534,216500,2.28,0.43086,532.38,"July 03, 23",0.0043086,DECK
2023-06-30,521.06,529.78,517.985,527.66,527.659973,495715,493900,6.6,1.27,525.43,"June 30, 23",0.0127,DECK
2023-06-29,521.03,522.0175,512.79,513.97,513.969971,303196,303200,-7.06,-1.36,515.45,"June 29, 23",-0.0136,DECK
2023-06-28,512.37,522.6,512.37,520.12,520.119995,321738,321700,7.75,1.51,518.58,"June 28, 23",0.0151,DECK
2023-06-27,512.59,519.21,508.4401,512.04,512.039978,312544,312300,-0.55,-0.1073,513.54,"June 27, 23",-0.001073,DECK
2023-06-26,508.7,514.4799,505.15,509.44,509.440002,273404,273200,0.74,0.14547,510.24,"June 26, 23",0.0014547,DECK
2023-06-23,498.55,510.6,497.12,506.12,506.119995,463752,463800,7.57,1.52,506.43,"June 23, 23",0.0152,DECK
2023-06-22,509.1,513.66,501.74,503.55,503.549988,322914,322900,-5.55,-1.09,505.31,"June 22, 23",-0.0109,DECK
2023-06-21,508.78,518.49,508.78,510.14,510.140015,257924,257900,1.36,0.26731,512.96,"June 21, 23",0.0026731,DECK
2023-06-20,509.04,512.72,501.99,508.35,508.350006,356127,356100,-0.69,-0.13555,507.72,"June 20, 23",-0.0013555,DECK
2023-06-16,517.22,517.22,507.83,512.72,512.719971,490397,490400,-4.5,-0.87004,512.61,"June 16, 23",-0.0087004,DECK
2023-06-15,503.83,514.5,502.4424,512.02,512.02002,340170,340200,8.19,1.63,510.08,"June 15, 23",0.0163,DECK
2023-06-14,492.0,512.0,487.12,506.73,506.730011,396514,396500,14.73,2.99,505.58,"June 14, 23",0.0299,DECK
2023-06-13,503.52,504.9999,489.36,490.72,490.720001,536986,536900,-12.8,-2.54,494.53,"June 13, 23",-0.0254,DECK
2023-06-12,490.88,503.08,487.645,500.89,500.890015,417366,417400,10.01,2.04,498.12,"June 12, 23",0.0204,DECK
2023-06-09,492.61,496.8,485.8,488.33,488.329987,391890,391900,-4.28,-0.86884,489.46,"June 09, 23",-0.0086884,DECK
2023-06-08,495.89,500.47,485.47,490.98,490.980011,503811,503800,-4.91,-0.99014,490.12,"June 08, 23",-0.0099014,DECK
2023-06-07,491.07,504.52,491.07,498.13,498.130005,572651,572600,7.06,1.44,498.81,"June 07, 23",0.0144,DECK
2023-06-06,485.42,497.8,485.42,491.54,491.540009,379299,379200,6.12,1.26,493.17,"June 06, 23",0.0126,DECK
2023-06-05,477.36,489.63,477.36,485.76,485.76001,380246,361800,8.4,1.76,484.21,"June 05, 23",0.0176,DECK
2023-06-02,472.48,481.89,472.48,476.78,476.779999,432101,432100,4.3,0.91009,477.9,"June 02, 23",0.0091009,DECK
2023-06-01,471.99,476.4,464.25,465.01,465.01001,554671,554700,-6.98,-1.48,469.11,"June 01, 23",-0.0148,DECK
2023-05-31,484.99,485.885,466.18,475.0,475.0,2957641,2957600,-9.99,-2.06,474.77,"May 31, 23",-0.0206,DECK
2023-05-30,471.08,490.47,470.18,489.12,489.119995,849172,849100,18.04,3.83,486.46,"May 30, 23",0.0383,DECK
2023-05-26,435.01,472.23,424.36,465.18,465.179993,1344852,1344900,30.17,6.94,461.62,"May 26, 23",0.0694,DECK
2023-05-25,444.88,456.38,441.165,450.01,450.01001,877878,877900,5.13,1.15,450.16,"May 25, 23",0.0115,DECK
2023-05-24,449.32,449.94,437.11,440.33,440.329987,601790,601800,-8.99,-2.0,440.33,"May 24, 23",-0.02,DECK
2023-05-23,451.42,451.42,443.67,448.79,448.790009,484068,484100,-2.63,-0.58261,447.52,"May 23, 23",-0.0058261,DECK
2023-05-22,459.0,460.415,451.36,456.2,456.200012,442892,442900,-2.8,-0.61002,455.78,"May 22, 23",-0.0061002,DECK
2023-05-19,460.0,460.69,441.74,454.79,454.790009,909243,909200,-5.21,-1.13,449.86,"May 19, 23",-0.0113,DECK
2023-05-18,469.75,479.985,466.9,472.51,472.51001,283321,283300,2.76,0.58755,472.81,"May 18, 23",0.0058755,DECK
2023-05-17,472.42,474.64,464.42,470.37,470.369995,498370,498300,-2.05,-0.43394,469.99,"May 17, 23",-0.0043394,DECK
2023-05-16,484.33,488.7,467.31,473.33,473.329987,557888,557900,-11.0,-2.27,474.16,"May 16, 23",-0.0227,DECK
2023-05-15,490.89,494.33,487.62,491.52,491.519989,368527,368500,0.63,0.12834,491.69,"May 15, 23",0.0012834,DECK
2023-05-12,490.59,495.96,485.615,490.58,490.579987,384527,387200,-0.01,-0.00203836,489.81,"May 12, 23",-2.03836e-05,DECK
2023-05-11,495.55,497.63,489.43,490.44,490.440002,276938,276900,-5.11,-1.03,491.69,"May 11, 23",-0.0103,DECK
2023-05-10,503.48,503.48,487.22,495.74,495.73999,236671,236700,-7.74,-1.54,494.18,"May 10, 23",-0.0154,DECK
