date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,11.32,11.645,11.26,11.43,11.43,508285,508285,0.11,0.97173,11.46,"July 11, 23",0.0097173,DH
2023-07-10,10.75,11.205,10.675,11.18,11.18,827729,827700,0.43,4.0,10.94,"July 10, 23",0.04,DH
2023-07-07,10.75,11.025,10.67,10.67,10.67,716635,716600,-0.08,-0.74419,10.81,"July 07, 23",-0.0074419,DH
2023-07-06,10.54,10.67,10.28,10.64,10.64,367634,367600,0.1,0.94877,10.55,"July 06, 23",0.0094877,DH
2023-07-05,10.88,10.9,10.72,10.77,10.77,344142,344100,-0.11,-1.01,10.78,"July 05, 23",-0.0101,DH
2023-07-03,11.0,11.13,10.79,11.0,11.0,239274,239300,0.0,0.0,10.95,"July 03, 23",0.0,DH
2023-06-30,10.95,11.25,10.795,11.0,11.0,555477,555400,0.05,0.45662,11.07,"June 30, 23",0.0045662,DH
2023-06-29,10.76,10.97,10.59,10.81,10.81,543776,543800,0.05,0.46468,10.81,"June 29, 23",0.0046468,DH
2023-06-28,10.48,10.73,10.32,10.73,10.73,667726,667700,0.25,2.39,10.6,"June 28, 23",0.0239,DH
2023-06-27,10.15,10.57,10.05,10.56,10.56,480309,480300,0.41,4.04,10.45,"June 27, 23",0.0404,DH
2023-06-26,9.81,10.295,9.73,10.15,10.15,558074,558100,0.34,3.47,10.11,"June 26, 23",0.0347,DH
2023-06-23,9.67,9.92,9.59,9.86,9.86,5689887,5689900,0.19,1.96,9.85,"June 23, 23",0.0196,DH
2023-06-22,9.7,9.93,9.51,9.79,9.79,737499,737500,0.09,0.92784,9.77,"June 22, 23",0.0092784,DH
2023-06-21,10.58,10.67,9.6704,9.77,9.77,1097452,1097500,-0.81,-7.66,9.92,"June 21, 23",-0.0766,DH
2023-06-20,10.7,10.84,10.5,10.71,10.71,1041730,1041700,0.01,0.09345794,10.65,"June 20, 23",0.0009345794,DH
2023-06-16,11.06,11.09,10.65,10.8,10.8,700345,700300,-0.26,-2.35,10.82,"June 16, 23",-0.0235,DH
2023-06-15,10.48,11.0,10.48,10.94,10.94,637563,637500,0.46,4.39,10.83,"June 15, 23",0.0439,DH
2023-06-14,10.89,10.89,10.58,10.59,10.59,594026,594000,-0.3,-2.75,10.68,"June 14, 23",-0.0275,DH
2023-06-13,10.75,11.055,10.625,10.9,10.9,559446,559400,0.15,1.4,10.91,"June 13, 23",0.014,DH
2023-06-12,10.09,10.675,10.005,10.63,10.63,653746,653700,0.54,5.35,10.46,"June 12, 23",0.0535,DH
2023-06-09,10.34,10.44,10.0,10.05,10.05,442817,442800,-0.29,-2.8,10.12,"June 09, 23",-0.028,DH
2023-06-08,10.56,10.595,10.101,10.26,10.26,581776,581800,-0.3,-2.84,10.25,"June 08, 23",-0.0284,DH
2023-06-07,11.0,11.25,10.54,10.57,10.57,479771,479800,-0.43,-3.91,10.73,"June 07, 23",-0.0391,DH
2023-06-06,10.84,11.02,10.53,10.89,10.89,701382,701400,0.05,0.46125,10.83,"June 06, 23",0.0046125,DH
2023-06-05,10.94,11.15,10.7,10.84,10.84,514328,514300,-0.1,-0.91408,10.86,"June 05, 23",-0.0091408,DH
2023-06-02,10.54,10.94,10.54,10.92,10.92,1004421,1004400,0.38,3.61,10.82,"June 02, 23",0.0361,DH
2023-06-01,9.73,10.54,9.5,10.4,10.4,1173518,1173300,0.67,6.89,10.31,"June 01, 23",0.0689,DH
2023-05-31,9.6,9.78,9.49,9.74,9.74,827692,827700,0.14,1.46,9.71,"May 31, 23",0.0146,DH
2023-05-30,9.5,9.66,9.4,9.6,9.6,548755,548800,0.1,1.05,9.59,"May 30, 23",0.0105,DH
2023-05-26,9.49,9.67,9.36,9.38,9.38,614828,614800,-0.11,-1.16,9.53,"May 26, 23",-0.0116,DH
2023-05-25,9.42,9.545,9.265,9.48,9.48,752374,752400,0.06,0.63694,9.43,"May 25, 23",0.0063694,DH
2023-05-24,9.33,9.39,9.2,9.35,9.35,510384,510400,0.02,0.21436,9.32,"May 24, 23",0.0021436,DH
2023-05-23,9.57,9.77,9.38,9.42,9.42,874824,874800,-0.15,-1.57,9.53,"May 23, 23",-0.0157,DH
2023-05-22,9.29,9.74,9.27,9.6,9.6,577029,577000,0.31,3.34,9.58,"May 22, 23",0.0334,DH
2023-05-19,9.28,9.45,9.05,9.27,9.27,882007,882000,-0.01,-0.10776,9.29,"May 19, 23",-0.0010776,DH
2023-05-18,8.98,9.215,8.87,9.17,9.17,978251,978300,0.19,2.12,9.13,"May 18, 23",0.0212,DH
2023-05-17,9.01,9.129,8.895,9.0,9.0,733830,733800,-0.01,-0.11099,9.03,"May 17, 23",-0.0011099,DH
2023-05-16,9.39,9.445,8.995,9.02,9.02,618774,618800,-0.37,-3.94,9.12,"May 16, 23",-0.0394,DH
2023-05-15,9.16,9.52,9.03,9.5,9.5,805116,805100,0.34,3.71,9.41,"May 15, 23",0.0371,DH
2023-05-12,9.69,9.765,8.7513,9.12,9.12,1984379,1984400,-0.57,-5.88,9.09,"May 12, 23",-0.0588,DH
2023-05-11,9.72,9.79,9.43,9.77,9.77,505881,505900,0.05,0.5144,9.68,"May 11, 23",0.005144,DH
2023-05-10,9.9,9.9,9.39,9.81,9.81,805057,805100,-0.09,-0.90909,9.78,"May 10, 23",-0.0090909,DH
2023-05-09,10.02,10.06,9.53,9.75,9.75,582996,583000,-0.27,-2.69,9.76,"May 09, 23",-0.0269,DH
2023-05-08,10.14,10.4,9.96,10.07,10.07,848340,848300,-0.07,-0.69034,10.08,"May 08, 23",-0.0069034,DH
2023-05-05,9.46,10.73,8.71,10.21,10.21,1476712,1476700,0.75,7.93,10.05,"May 05, 23",0.0793,DH
2023-05-04,10.07,10.12,9.66,9.9,9.9,1521367,1521400,-0.17,-1.69,9.88,"May 04, 23",-0.0169,DH
2023-05-03,10.06,10.45,9.91,10.12,10.12,1072932,1072900,0.06,0.59642,10.16,"May 03, 23",0.0059642,DH
2023-05-02,10.6,10.67,9.515,10.01,10.01,926911,926900,-0.59,-5.57,9.96,"May 02, 23",-0.0557,DH
2023-05-01,10.64,10.85,10.5,10.69,10.69,1440289,1440300,0.05,0.46992,10.73,"May 01, 23",0.0046992,DH
2023-04-28,10.71,10.97,10.4001,10.7,10.7,535840,535800,-0.01,-0.09337068,10.76,"April 28, 23",-0.0009337068,DH
2023-04-27,10.76,10.91,10.41,10.73,10.73,578650,578600,-0.03,-0.27881,10.62,"April 27, 23",-0.0027881,DH
2023-04-26,10.39,10.73,10.35,10.63,10.63,403722,403700,0.24,2.31,10.63,"April 26, 23",0.0231,DH
2023-04-25,11.38,11.43,10.46,10.49,10.49,393732,393700,-0.89,-7.82,10.75,"April 25, 23",-0.0782,DH
2023-04-24,11.84,11.9,11.43,11.48,11.48,425136,425100,-0.36,-3.04,11.57,"April 24, 23",-0.0304,DH
2023-04-21,11.11,11.995,11.07,11.86,11.86,570433,570400,0.75,6.75,11.69,"April 21, 23",0.0675,DH
2023-04-20,11.13,11.205,10.84,11.04,11.04,817151,817200,-0.09,-0.80863,11.04,"April 20, 23",-0.0080863,DH
2023-04-19,11.14,11.45,11.01,11.23,11.23,571190,571200,0.09,0.8079,11.2,"April 19, 23",0.008079,DH
2023-04-18,11.1,11.12,10.81,10.98,10.98,385494,385500,-0.12,-1.08,10.91,"April 18, 23",-0.0108,DH
2023-04-17,10.8,11.05,10.54,10.99,10.99,561932,561900,0.19,1.76,10.8,"April 17, 23",0.0176,DH
2023-04-14,11.13,11.25,10.81,10.82,10.82,354214,354200,-0.31,-2.79,10.91,"April 14, 23",-0.0279,DH
2023-04-13,10.97,11.44,10.97,11.14,11.14,1167991,1168000,0.17,1.55,11.16,"April 13, 23",0.0155,DH
2023-04-12,10.99,11.29,10.76,10.85,10.85,1057847,1057800,-0.14,-1.27,10.97,"April 12, 23",-0.0127,DH
2023-04-11,10.45,10.85,10.4,10.79,10.79,571954,571900,0.34,3.25,10.7,"April 11, 23",0.0325,DH
2023-04-10,10.39,10.46,10.16,10.45,10.45,396759,396600,0.06,0.57748,10.38,"April 10, 23",0.0057748,DH
2023-04-06,10.18,10.55,10.025,10.47,10.47,925937,925900,0.29,2.85,10.36,"April 06, 23",0.0285,DH
2023-04-05,10.2,10.35,9.92,10.19,10.19,516203,516200,-0.01,-0.09803922,10.17,"April 05, 23",-0.0009803922,DH
2023-04-04,10.2,10.25,9.78,10.2,10.2,642868,642900,0.0,0.0,10.06,"April 04, 23",0.0,DH
2023-04-03,10.28,10.305,9.89,10.16,10.16,855755,855800,-0.12,-1.17,10.13,"April 03, 23",-0.0117,DH
2023-03-31,9.76,10.37,9.76,10.33,10.33,1877914,1877900,0.57,5.84,10.23,"March 31, 23",0.0584,DH
2023-03-30,9.86,10.12,9.71,9.72,9.72,1256580,1256600,-0.14,-1.42,9.89,"March 30, 23",-0.0142,DH
2023-03-29,9.84,9.9091,9.42,9.76,9.76,1538026,1538000,-0.08,-0.81301,9.74,"March 29, 23",-0.0081301,DH
2023-03-28,10.3,10.305,9.77,9.78,9.78,831153,831100,-0.52,-5.05,10.02,"March 28, 23",-0.0505,DH
2023-03-27,10.39,10.58,10.29,10.39,10.39,904104,904100,0.0,0.0,10.39,"March 27, 23",0.0,DH
2023-03-24,10.5,10.68,10.12,10.28,10.28,719499,719500,-0.22,-2.1,10.36,"March 24, 23",-0.021,DH
2023-03-23,11.01,11.09,10.54,10.61,10.61,635297,635300,-0.4,-3.63,10.81,"March 23, 23",-0.0363,DH
2023-03-22,11.18,11.335,10.88,10.89,10.89,1422741,1422700,-0.29,-2.59,11.14,"March 22, 23",-0.0259,DH
2023-03-21,10.87,11.19,10.84,11.12,11.12,1600520,1600500,0.25,2.3,11.06,"March 21, 23",0.023,DH
2023-03-20,11.05,11.09,10.7,10.76,10.76,1934431,1934400,-0.29,-2.62,10.83,"March 20, 23",-0.0262,DH
2023-03-17,11.33,11.45,11.03,11.05,11.05,704939,704900,-0.28,-2.47,11.12,"March 17, 23",-0.0247,DH
2023-03-16,11.19,11.71,11.07,11.35,11.35,977511,977500,0.16,1.43,11.48,"March 16, 23",0.0143,DH
2023-03-15,11.6,12.07,11.235,11.29,11.29,1665177,1665200,-0.31,-2.67,11.58,"March 15, 23",-0.0267,DH
2023-03-14,11.5,12.13,11.5,11.89,11.89,606323,606300,0.39,3.39,11.87,"March 14, 23",0.0339,DH
2023-03-13,10.91,11.51,10.65,11.33,11.33,1350011,1350000,0.42,3.85,11.29,"March 13, 23",0.0385,DH
2023-03-10,11.29,11.32,10.69,11.03,11.03,880289,880300,-0.26,-2.3,11.01,"March 10, 23",-0.023,DH
2023-03-09,11.8,11.93,11.29,11.29,11.29,564747,564700,-0.51,-4.32,11.47,"March 09, 23",-0.0432,DH
2023-03-08,12.09,12.12,11.69,11.75,11.75,407519,407500,-0.34,-2.81,11.82,"March 08, 23",-0.0281,DH
2023-03-07,11.88,12.2425,11.68,12.11,12.11,595042,595000,0.23,1.94,12.09,"March 07, 23",0.0194,DH
2023-03-06,12.37,12.37,11.74,11.85,11.85,617931,617900,-0.52,-4.2,11.88,"March 06, 23",-0.042,DH
2023-03-03,12.04,12.42,11.93,12.3,12.3,554196,554200,0.26,2.16,12.27,"March 03, 23",0.0216,DH
2023-03-02,11.38,11.88,11.2201,11.88,11.88,705891,705900,0.5,4.39,11.68,"March 02, 23",0.0439,DH
2023-03-01,11.32,11.75,11.28,11.45,11.45,767902,767900,0.13,1.15,11.46,"March 01, 23",0.0115,DH
2023-02-28,11.28,11.71,11.235,11.42,11.42,1223096,1223100,0.14,1.24,11.41,"February 28, 23",0.0124,DH
2023-02-27,11.69,11.835,10.77,11.27,11.27,2426496,2426400,-0.42,-3.59,11.16,"February 27, 23",-0.0359,DH
2023-02-24,11.1,12.59,10.75,12.02,12.02,1603765,1603800,0.92,8.29,11.99,"February 24, 23",0.0829,DH
2023-02-23,11.85,12.23,11.57,12.1,12.1,883555,883600,0.25,2.11,11.93,"February 23, 23",0.0211,DH
2023-02-22,12.1,12.2,11.21,11.61,11.61,1136139,1136100,-0.49,-4.05,11.54,"February 22, 23",-0.0405,DH
2023-02-21,12.01,12.32,11.93,12.14,12.14,830334,830300,0.13,1.08,12.16,"February 21, 23",0.0108,DH
2023-02-17,13.52,13.52,11.75,12.28,12.28,2313382,2313300,-1.24,-9.17,12.41,"February 17, 23",-0.0917,DH
2023-02-16,13.72,13.89,13.18,13.62,13.62,844950,845000,-0.1,-0.72886,13.65,"February 16, 23",-0.0072886,DH
2023-02-15,13.23,14.02,13.17,14.01,14.01,885929,885900,0.78,5.9,13.7,"February 15, 23",0.059,DH
2023-02-14,12.87,13.38,12.665,13.35,13.35,508743,508700,0.48,3.73,13.15,"February 14, 23",0.0373,DH
2023-02-13,12.64,13.025,12.4,12.97,12.97,450228,450200,0.33,2.61,12.9,"February 13, 23",0.0261,DH
2023-02-10,12.64,12.89,12.27,12.6,12.6,556776,556800,-0.04,-0.31646,12.61,"February 10, 23",-0.0031646,DH
2023-02-09,13.25,13.33,12.64,12.73,12.73,467800,467800,-0.52,-3.92,12.96,"February 09, 23",-0.0392,DH
2023-02-08,13.2,13.46,12.97,13.05,13.05,268248,268200,-0.15,-1.14,13.09,"February 08, 23",-0.0114,DH
