date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.02,2.02,1.8801,1.97,1.97,27235,27160,-0.05,-2.48,1.94,"July 11, 23",-0.0248,DYAI
2023-07-10,1.9276,2.05,1.9276,1.98,1.98,11641,11600,0.0524,2.72,2.01,"July 10, 23",0.0272,DYAI
2023-07-07,1.86,1.9497,1.86,1.92,1.92,17627,17600,0.06,3.23,1.93,"July 07, 23",0.0323,DYAI
2023-07-06,1.9449,1.9449,1.86,1.86,1.86,27244,27200,-0.0849,-4.37,1.9,"July 06, 23",-0.0437,DYAI
2023-07-05,1.97,1.99,1.941,1.96,1.96,15118,15100,-0.01,-0.50761,1.98,"July 05, 23",-0.0050761,DYAI
2023-07-03,1.98,1.98,1.94,1.98,1.98,7375,7400,0.0,0.0,1.95,"July 03, 23",0.0,DYAI
2023-06-30,1.945,1.945,1.85,1.93,1.93,31698,31700,-0.015,-0.77121,1.9,"June 30, 23",-0.0077121,DYAI
2023-06-29,2.01,2.0772,1.9,1.98,1.98,23084,23100,-0.03,-1.49,2.0,"June 29, 23",-0.0149,DYAI
2023-06-28,1.8201,2.03,1.8201,1.98,1.98,16104,16100,0.1599,8.79,1.91,"June 28, 23",0.0879,DYAI
2023-06-27,1.97,2.001,1.8901,1.98,1.98,14348,14300,0.01,0.50761,1.92,"June 27, 23",0.0050761,DYAI
2023-06-26,2.07,2.07,1.93,1.99,1.99,31061,31000,-0.08,-3.86,2.01,"June 26, 23",-0.0386,DYAI
2023-06-23,1.9901,2.09,1.835,2.08,2.08,32981,33000,0.0899,4.52,1.97,"June 23, 23",0.0452,DYAI
2023-06-22,2.0201,2.0561,2.0201,2.035,2.04,1441,1400,0.0149,0.73759,2.04,"June 22, 23",0.0073759,DYAI
2023-06-21,2.1159,2.1406,1.99,2.07,2.07,30165,30200,-0.0459,-2.17,2.03,"June 21, 23",-0.0217,DYAI
2023-06-20,2.17,2.17,2.05,2.06,2.06,9778,9800,-0.11,-5.07,2.1,"June 20, 23",-0.0507,DYAI
2023-06-16,2.05,2.2,1.95,2.2,2.2,67162,67200,0.15,7.32,2.11,"June 16, 23",0.0732,DYAI
2023-06-15,2.06,2.08,2.01,2.03,2.03,12483,12500,-0.03,-1.46,2.05,"June 15, 23",-0.0146,DYAI
2023-06-14,2.12,2.21,1.97,2.04,2.04,48315,48300,-0.08,-3.77,2.03,"June 14, 23",-0.0377,DYAI
2023-06-13,2.2,2.22,2.15,2.15,2.15,8211,8200,-0.05,-2.27,2.17,"June 13, 23",-0.0227,DYAI
2023-06-12,2.25,2.28,2.15,2.17,2.17,8348,8300,-0.08,-3.56,2.2,"June 12, 23",-0.0356,DYAI
2023-06-09,2.22,2.27,2.21,2.22,2.22,19533,19500,0.0,0.0,2.22,"June 09, 23",0.0,DYAI
2023-06-08,2.16,2.26,2.16,2.18,2.18,10601,10600,0.02,0.92593,2.2,"June 08, 23",0.0092593,DYAI
2023-06-07,2.18,2.19,2.13,2.17,2.17,15784,15800,-0.01,-0.45872,2.17,"June 07, 23",-0.0045872,DYAI
2023-06-06,2.2299,2.23,2.15,2.17,2.17,7905,7900,-0.0599,-2.69,2.19,"June 06, 23",-0.0269,DYAI
2023-06-05,2.3201,2.3201,2.1799,2.18,2.18,20215,20000,-0.1401,-6.04,2.23,"June 05, 23",-0.0604,DYAI
2023-06-02,2.35,2.4,2.3,2.35,2.35,34994,35000,0.0,0.0,2.35,"June 02, 23",0.0,DYAI
2023-06-01,2.25,2.38,2.22,2.38,2.38,66305,66300,0.13,5.78,2.32,"June 01, 23",0.0578,DYAI
