date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,15.65,15.71,15.65,15.69,15.69,164845,164845,0.04,0.25559,15.67,"July 11, 23",0.0025559,ECAT
2023-07-10,15.64,15.69,15.6,15.66,15.66,225551,225600,0.02,0.12788,15.66,"July 10, 23",0.0012788,ECAT
2023-07-07,15.55,15.74,15.55,15.63,15.63,178346,178300,0.08,0.51447,15.65,"July 07, 23",0.0051447,ECAT
2023-07-06,15.68,15.71,15.6,15.61,15.61,234839,234800,-0.07,-0.44643,15.61,"July 06, 23",-0.0044643,ECAT
2023-07-05,15.65,15.82,15.64,15.74,15.74,518167,518100,0.09,0.57508,15.73,"July 05, 23",0.0057508,ECAT
2023-07-03,15.72,15.75,15.64,15.64,15.64,99450,99500,-0.08,-0.50891,15.69,"July 03, 23",-0.0050891,ECAT
2023-06-30,15.69,15.75,15.63,15.66,15.66,493010,493000,-0.03,-0.1912,15.66,"June 30, 23",-0.001912,ECAT
2023-06-29,15.64,15.64,15.53,15.55,15.55,255795,255800,-0.09,-0.57545,15.59,"June 29, 23",-0.0057545,ECAT
2023-06-28,15.61,15.6384,15.53,15.6,15.6,324154,324200,-0.01,-0.0640615,15.57,"June 28, 23",-0.000640615,ECAT
2023-06-27,15.54,15.56,15.41,15.55,15.55,282090,282100,0.01,0.06435006,15.5,"June 27, 23",0.0006435006,ECAT
2023-06-26,15.56,15.61,15.46,15.46,15.46,263244,263200,-0.1,-0.64267,15.52,"June 26, 23",-0.0064267,ECAT
2023-06-23,15.63,15.72,15.53,15.53,15.53,176529,176500,-0.1,-0.6398,15.6,"June 23, 23",-0.006398,ECAT
2023-06-22,15.71,15.75,15.651,15.73,15.73,415126,415100,0.02,0.12731,15.7,"June 22, 23",0.0012731,ECAT
2023-06-21,15.72,15.79,15.6838,15.78,15.78,186848,186800,0.06,0.38168,15.74,"June 21, 23",0.0038168,ECAT
2023-06-20,15.8,15.82,15.705,15.8,15.8,470618,470600,0.0,0.0,15.77,"June 20, 23",0.0,ECAT
2023-06-16,15.91,15.955,15.84,15.89,15.89,236417,236400,-0.02,-0.12571,15.92,"June 16, 23",-0.0012571,ECAT
2023-06-15,15.58,15.92,15.58,15.9,15.9,303126,303100,0.32,2.05,15.84,"June 15, 23",0.0205,ECAT
2023-06-14,15.83,15.87,15.5401,15.65,15.65,262830,262800,-0.18,-1.14,15.69,"June 14, 23",-0.0114,ECAT
2023-06-13,15.9,15.99,15.895,15.93,15.805,277563,277600,0.03,0.18868,15.93,"June 13, 23",0.0018868,ECAT
2023-06-12,15.73,15.83,15.73,15.82,15.695863,244587,244600,0.09,0.57216,15.79,"June 12, 23",0.0057216,ECAT
2023-06-09,15.77,15.82,15.7,15.74,15.61649,145718,145700,-0.03,-0.19023,15.74,"June 09, 23",-0.0019023,ECAT
2023-06-08,15.73,15.83,15.7,15.8,15.676021,346760,346800,0.07,0.44501,15.79,"June 08, 23",0.0044501,ECAT
2023-06-07,15.77,15.79,15.655,15.69,15.69,177739,177700,-0.08,-0.50729,15.69,"June 07, 23",-0.0050729,ECAT
2023-06-06,15.66,15.78,15.64,15.72,15.72,371756,371800,0.06,0.38314,15.73,"June 06, 23",0.0038314,ECAT
2023-06-05,15.62,15.7599,15.5,15.56,15.56,254093,241200,-0.06,-0.38412,15.61,"June 05, 23",-0.0038412,ECAT
2023-06-02,15.46,15.705,15.46,15.67,15.67,256383,256400,0.21,1.36,15.62,"June 02, 23",0.0136,ECAT
2023-06-01,15.27,15.46,15.25,15.44,15.44,194000,194000,0.17,1.11,15.39,"June 01, 23",0.0111,ECAT
2023-05-31,15.37,15.3799,15.22,15.31,15.31,268080,268100,-0.06,-0.39037,15.29,"May 31, 23",-0.0039037,ECAT
2023-05-30,15.5,15.52,15.295,15.33,15.33,527895,527900,-0.17,-1.1,15.37,"May 30, 23",-0.011,ECAT
