date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,8.75,8.77,8.67,8.75,8.75,110971,106533,0.0,0.0,8.72,"July 11, 23",0.0,EMD
2023-07-10,8.73,8.73,8.645,8.69,8.69,155737,155700,-0.04,-0.45819,8.69,"July 10, 23",-0.0045819,EMD
2023-07-07,8.65,8.76,8.65,8.69,8.69,96294,96300,0.04,0.46243,8.71,"July 07, 23",0.0046243,EMD
2023-07-06,8.77,8.775,8.625,8.65,8.65,199082,199100,-0.12,-1.37,8.69,"July 06, 23",-0.0137,EMD
2023-07-05,8.66,8.8699,8.65,8.77,8.77,374222,374200,0.11,1.27,8.77,"July 05, 23",0.0127,EMD
2023-07-03,8.62,8.77,8.59,8.74,8.74,204647,204600,0.12,1.39,8.71,"July 03, 23",0.0139,EMD
2023-06-30,8.64,8.705,8.52,8.62,8.62,260467,260500,-0.02,-0.23148,8.64,"June 30, 23",-0.0023148,EMD
2023-06-29,8.68,8.69,8.62,8.62,8.62,134865,134900,-0.06,-0.69124,8.65,"June 29, 23",-0.0069124,EMD
2023-06-28,8.66,8.695,8.65,8.69,8.69,181163,181200,0.03,0.34642,8.67,"June 28, 23",0.0034642,EMD
2023-06-27,8.73,8.755,8.66,8.67,8.67,241111,241100,-0.06,-0.68729,8.69,"June 27, 23",-0.0068729,EMD
2023-06-26,8.79,8.8201,8.73,8.74,8.74,156380,156400,-0.05,-0.56883,8.76,"June 26, 23",-0.0056883,EMD
2023-06-23,8.71,8.83,8.71,8.79,8.79,122218,122200,0.08,0.91848,8.79,"June 23, 23",0.0091848,EMD
2023-06-22,8.74,8.79,8.7,8.71,8.71,116149,116100,-0.03,-0.34325,8.74,"June 22, 23",-0.0034325,EMD
2023-06-21,8.82,8.875,8.77,8.84,8.77,113127,113100,0.02,0.22676,8.82,"June 21, 23",0.0022676,EMD
2023-06-20,8.76,8.82,8.76,8.79,8.720396,153945,153900,0.03,0.34247,8.78,"June 20, 23",0.0034247,EMD
2023-06-16,8.88,8.88,8.76,8.77,8.700555,99873,99900,-0.11,-1.24,8.79,"June 16, 23",-0.0124,EMD
2023-06-15,8.76,8.88,8.72,8.84,8.84,172722,172700,0.08,0.91324,8.81,"June 15, 23",0.0091324,EMD
2023-06-14,8.67,8.8,8.67,8.77,8.77,201464,201500,0.1,1.15,8.73,"June 14, 23",0.0115,EMD
2023-06-13,8.73,8.76,8.67,8.69,8.69,141188,141100,-0.04,-0.45819,8.73,"June 13, 23",-0.0045819,EMD
2023-06-12,8.64,8.71,8.64,8.7,8.7,65554,65600,0.06,0.69444,8.67,"June 12, 23",0.0069444,EMD
2023-06-09,8.72,8.73,8.615,8.67,8.67,115139,115100,-0.05,-0.57339,8.68,"June 09, 23",-0.0057339,EMD
2023-06-08,8.62,8.71,8.61,8.7,8.7,190010,190000,0.08,0.92807,8.66,"June 08, 23",0.0092807,EMD
2023-06-07,8.57,8.66,8.56,8.57,8.57,129651,129700,0.0,0.0,8.6,"June 07, 23",0.0,EMD
2023-06-06,8.46,8.57,8.46,8.55,8.55,107358,107400,0.09,1.06,8.53,"June 06, 23",0.0106,EMD
2023-06-05,8.46,8.54,8.44,8.46,8.46,173136,173100,0.0,0.0,8.46,"June 05, 23",0.0,EMD
2023-06-02,8.51,8.55,8.44,8.45,8.45,218402,218400,-0.06,-0.70505,8.47,"June 02, 23",-0.0070505,EMD
2023-06-01,8.49,8.58,8.4627,8.5,8.5,159355,159400,0.01,0.11779,8.52,"June 01, 23",0.0011779,EMD
2023-05-31,8.43,8.49,8.43,8.45,8.45,112847,112800,0.02,0.23725,8.45,"May 31, 23",0.0023725,EMD
2023-05-30,8.43,8.47,8.375,8.45,8.45,163997,164000,0.02,0.23725,8.44,"May 30, 23",0.0023725,EMD
2023-05-26,8.34,8.43,8.32,8.38,8.38,98674,98700,0.04,0.47962,8.39,"May 26, 23",0.0047962,EMD
2023-05-25,8.37,8.39,8.29,8.31,8.31,238677,238700,-0.06,-0.71685,8.33,"May 25, 23",-0.0071685,EMD
2023-05-24,8.5,8.56,8.39,8.39,8.39,107628,107600,-0.11,-1.29,8.48,"May 24, 23",-0.0129,EMD
2023-05-23,8.62,8.645,8.5,8.54,8.54,74577,74600,-0.08,-0.92807,8.57,"May 23, 23",-0.0092807,EMD
2023-05-22,8.42,8.6,8.42,8.59,8.59,372370,372400,0.17,2.02,8.55,"May 22, 23",0.0202,EMD
2023-05-19,8.65,8.67,8.46,8.46,8.389999,211896,211900,-0.19,-2.2,8.57,"May 19, 23",-0.022,EMD
2023-05-18,8.63,8.675,8.55,8.67,8.598262,214891,214900,0.04,0.4635,8.63,"May 18, 23",0.004635,EMD
2023-05-17,8.61,8.67,8.61,8.65,8.578427,66701,66700,0.04,0.46458,8.65,"May 17, 23",0.0046458,EMD
2023-05-16,8.56,8.67,8.56,8.6,8.528842,83903,83900,0.04,0.46729,8.62,"May 16, 23",0.0046729,EMD
