date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,15.36,15.65,15.315,15.6,15.6,806059,802165,0.24,1.56,15.54,"July 11, 23",0.0156,EURN
2023-07-10,15.18,15.395,15.05,15.24,15.24,1005019,1005000,0.06,0.39526,15.24,"July 10, 23",0.0039526,EURN
2023-07-07,14.91,15.195,14.87,15.1,15.1,972246,972200,0.19,1.27,15.07,"July 07, 23",0.0127,EURN
2023-07-06,15.09,15.27,14.835,14.88,14.88,1377778,1377800,-0.21,-1.39,15.0,"July 06, 23",-0.0139,EURN
2023-07-05,15.25,15.55,15.055,15.37,15.37,1017730,1017700,0.12,0.78689,15.39,"July 05, 23",0.0078689,EURN
2023-07-03,15.46,15.73,15.34,15.35,15.35,477303,477300,-0.11,-0.71151,15.47,"July 03, 23",-0.0071151,EURN
2023-06-30,15.32,15.395,15.155,15.22,15.22,1061308,1061200,-0.1,-0.65274,15.26,"June 30, 23",-0.0065274,EURN
2023-06-29,14.81,15.23,14.8,14.97,14.97,1982476,1982500,0.16,1.08,15.03,"June 29, 23",0.0108,EURN
2023-06-28,14.9,14.98,14.71,14.77,14.77,785773,785700,-0.13,-0.87248,14.82,"June 28, 23",-0.0087248,EURN
2023-06-27,15.06,15.225,14.97,14.97,14.97,1033703,1033700,-0.09,-0.59761,15.08,"June 27, 23",-0.0059761,EURN
2023-06-26,15.5,15.51,15.09,15.09,15.09,586197,586200,-0.41,-2.65,15.3,"June 26, 23",-0.0265,EURN
2023-06-23,15.7,15.845,15.52,15.59,15.59,951370,951300,-0.11,-0.70064,15.65,"June 23, 23",-0.0070064,EURN
2023-06-22,16.0,16.24,15.815,16.24,16.24,1119839,1119700,0.24,1.5,16.13,"June 22, 23",0.015,EURN
2023-06-21,16.23,16.42,16.11,16.16,16.16,1026914,1026900,-0.07,-0.4313,16.21,"June 21, 23",-0.004313,EURN
