date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,9.33,9.44,8.91,9.2,9.2,616408,615257,-0.13,-1.39,9.21,"July 11, 23",-0.0139,EYPT
2023-07-10,8.04,9.2,7.98,9.11,9.11,832728,832700,1.07,13.31,8.95,"July 10, 23",0.1331,EYPT
2023-07-07,8.62,8.82,7.91,8.04,8.04,324169,324000,-0.58,-6.73,8.28,"July 07, 23",-0.0673,EYPT
2023-07-06,8.44,8.63,8.0,8.61,8.61,392418,390500,0.17,2.01,8.42,"July 06, 23",0.0201,EYPT
2023-07-05,8.07,8.6499,7.91,8.63,8.63,272135,272000,0.56,6.94,8.48,"July 05, 23",0.0694,EYPT
2023-07-03,8.8,8.865,7.75,8.1,8.1,391660,391700,-0.7,-7.95,8.06,"July 03, 23",-0.0795,EYPT
2023-06-30,8.28,9.03,8.1576,8.7,8.7,537625,536000,0.42,5.07,8.66,"June 30, 23",0.0507,EYPT
2023-06-29,7.91,8.33,7.81,8.22,8.22,499041,499000,0.31,3.92,8.07,"June 29, 23",0.0392,EYPT
2023-06-28,7.65,8.08,7.26,7.87,7.87,456638,456500,0.22,2.88,7.83,"June 28, 23",0.0288,EYPT
2023-06-27,7.06,7.8,6.84,7.66,7.66,645238,645200,0.6,8.5,7.53,"June 27, 23",0.085,EYPT
2023-06-26,6.72,7.05,6.65,7.0,7.0,298500,298300,0.28,4.17,6.89,"June 26, 23",0.0417,EYPT
2023-06-23,6.11,6.85,6.045,6.77,6.77,1013071,1013000,0.66,10.8,6.58,"June 23, 23",0.108,EYPT
2023-06-22,6.6,6.6,6.175,6.22,6.22,256730,256700,-0.38,-5.76,6.33,"June 22, 23",-0.0576,EYPT
2023-06-21,6.81,6.89,6.31,6.61,6.61,410406,410200,-0.2,-2.94,6.56,"June 21, 23",-0.0294,EYPT
2023-06-20,6.6,6.99,6.59,6.9,6.9,316144,316000,0.3,4.55,6.83,"June 20, 23",0.0455,EYPT
2023-06-16,6.86,6.87,6.52,6.54,6.54,350845,350700,-0.32,-4.66,6.65,"June 16, 23",-0.0466,EYPT
2023-06-15,7.0,7.1974,6.73,6.79,6.79,337775,337700,-0.21,-3.0,6.91,"June 15, 23",-0.03,EYPT
2023-06-14,6.99,7.299,6.78,7.03,7.03,642686,642700,0.04,0.57225,7.04,"June 14, 23",0.0057225,EYPT
2023-06-13,6.37,6.83,6.2729,6.64,6.64,705678,705700,0.27,4.24,6.74,"June 13, 23",0.0424,EYPT
