date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,4.428,4.5499,4.36,4.42,4.42,26051,26051,-0.008,-0.18067,4.48,"July 11, 23",-0.0018067,FLUX
2023-07-10,4.3,4.56,4.26,4.46,4.46,59433,59400,0.16,3.72,4.47,"July 10, 23",0.0372,FLUX
2023-07-07,4.12,4.3,4.07,4.27,4.27,30984,31000,0.15,3.64,4.22,"July 07, 23",0.0364,FLUX
2023-07-06,4.15,4.2,3.86,4.06,4.06,41201,41200,-0.09,-2.17,3.98,"July 06, 23",-0.0217,FLUX
2023-07-05,4.48,4.48,4.13,4.14,4.14,23923,23900,-0.34,-7.59,4.27,"July 05, 23",-0.0759,FLUX
2023-07-03,4.26,4.48,4.26,4.4675,4.468,22696,22700,0.2075,4.87,4.41,"July 03, 23",0.0487,FLUX
2023-06-30,4.25,4.4228,4.155,4.31,4.31,44262,44300,0.06,1.41,4.32,"June 30, 23",0.0141,FLUX
2023-06-29,4.11,4.2,4.0001,4.18,4.18,12884,12900,0.07,1.7,4.16,"June 29, 23",0.017,FLUX
2023-06-28,4.04,4.2,4.02,4.11,4.11,50438,50400,0.07,1.73,4.11,"June 28, 23",0.0173,FLUX
2023-06-27,3.84,4.04,3.81,4.04,4.04,16550,16600,0.2,5.21,3.96,"June 27, 23",0.0521,FLUX
2023-06-26,3.945,3.945,3.82,3.83,3.83,22530,22500,-0.115,-2.92,3.86,"June 26, 23",-0.0292,FLUX
2023-06-23,3.91,4.0,3.86,3.91,3.91,21505,21500,0.0,0.0,3.92,"June 23, 23",0.0,FLUX
2023-06-22,3.9236,4.03,3.895,3.961,3.961,31615,30900,0.0374,0.95321,3.97,"June 22, 23",0.0095321,FLUX
2023-06-21,4.0,4.0,3.89,3.91,3.91,16557,16600,-0.09,-2.25,3.92,"June 21, 23",-0.0225,FLUX
2023-06-20,4.1,4.106,3.91,3.98,3.98,51845,51800,-0.12,-2.93,4.01,"June 20, 23",-0.0293,FLUX
2023-06-16,4.16,4.19,4.04,4.05,4.05,25008,25000,-0.11,-2.64,4.1,"June 16, 23",-0.0264,FLUX
2023-06-15,4.0105,4.1253,4.0,4.1,4.1,21758,21800,0.0895,2.23,4.06,"June 15, 23",0.0223,FLUX
2023-06-14,4.14,4.14,4.01,4.01,4.01,26610,26600,-0.13,-3.14,4.06,"June 14, 23",-0.0314,FLUX
2023-06-13,4.16,4.18,4.06,4.06,4.06,37537,37500,-0.1,-2.4,4.14,"June 13, 23",-0.024,FLUX
2023-06-12,4.1,4.259,4.05,4.13,4.13,36382,36400,0.03,0.73171,4.15,"June 12, 23",0.0073171,FLUX
2023-06-09,4.1,4.16,4.03,4.11,4.11,46619,46600,0.01,0.2439,4.09,"June 09, 23",0.002439,FLUX
2023-06-08,4.05,4.1409,3.91,4.1,4.1,46697,46700,0.05,1.23,4.07,"June 08, 23",0.0123,FLUX
2023-06-07,3.78,3.99,3.705,3.94,3.94,20559,20600,0.16,4.23,3.89,"June 07, 23",0.0423,FLUX
2023-06-06,3.58,3.78,3.55,3.73,3.73,17575,17600,0.15,4.19,3.7,"June 06, 23",0.0419,FLUX
2023-06-05,3.65,3.75,3.55,3.55,3.55,22527,22500,-0.1,-2.74,3.67,"June 05, 23",-0.0274,FLUX
2023-06-02,3.58,3.68,3.5279,3.68,3.68,11564,11600,0.1,2.79,3.61,"June 02, 23",0.0279,FLUX
2023-06-01,3.46,3.6743,3.43,3.53,3.53,23898,23900,0.07,2.02,3.52,"June 01, 23",0.0202,FLUX
2023-05-31,3.66,3.8538,3.45,3.45,3.45,42712,42700,-0.21,-5.74,3.51,"May 31, 23",-0.0574,FLUX
2023-05-30,3.7812,3.7812,3.735,3.7398,3.655,320,18400,-0.0414,-1.09,3.75,"May 30, 23",-0.0109,FLUX
2023-05-26,3.66,3.765,3.6,3.65,3.65,21090,21100,-0.01,-0.27322,3.63,"May 26, 23",-0.0027322,FLUX
2023-05-25,3.76,3.84,3.59,3.6,3.6,22096,22100,-0.16,-4.26,3.67,"May 25, 23",-0.0426,FLUX
2023-05-24,3.8,3.92,3.6,3.7,3.7,33865,33900,-0.1,-2.63,3.7,"May 24, 23",-0.0263,FLUX
2023-05-23,3.92,4.06,3.81,3.82,3.82,28188,28200,-0.1,-2.55,3.96,"May 23, 23",-0.0255,FLUX
2023-05-22,3.93,4.02,3.8,4.015,4.015,25622,25600,0.085,2.16,3.91,"May 22, 23",0.0216,FLUX
2023-05-19,4.0,4.0,3.9,3.93,3.93,21335,21300,-0.07,-1.75,3.94,"May 19, 23",-0.0175,FLUX
2023-05-18,3.71,4.0442,3.61,3.95,3.95,51956,52000,0.24,6.47,3.88,"May 18, 23",0.0647,FLUX
2023-05-17,3.41,3.63,3.31,3.63,3.63,26925,26900,0.22,6.45,3.53,"May 17, 23",0.0645,FLUX
2023-05-16,3.33,3.625,3.28,3.42,3.42,45141,45100,0.09,2.7,3.41,"May 16, 23",0.027,FLUX
2023-05-15,3.685,3.685,3.3201,3.36,3.36,93118,93100,-0.325,-8.82,3.46,"May 15, 23",-0.0882,FLUX
2023-05-12,3.85,3.87,3.345,3.54,3.54,195598,195600,-0.31,-8.05,3.56,"May 12, 23",-0.0805,FLUX
2023-05-11,3.96,4.16,3.84,4.0,4.0,62052,62000,0.04,1.01,3.97,"May 11, 23",0.0101,FLUX
2023-05-10,4.005,4.1,3.83,3.97,3.97,62136,62100,-0.035,-0.87391,3.98,"May 10, 23",-0.0087391,FLUX
2023-05-09,3.84,4.08,3.84,3.91,3.91,54114,54100,0.07,1.82,3.99,"May 09, 23",0.0182,FLUX
2023-05-08,3.9,3.9218,3.76,3.84,3.84,16264,16300,-0.06,-1.54,3.87,"May 08, 23",-0.0154,FLUX
2023-05-05,3.66,4.0,3.61,3.88,3.88,28381,28400,0.22,6.01,3.81,"May 05, 23",0.0601,FLUX
2023-05-04,3.89,4.02,3.57,3.61,3.61,67941,67900,-0.28,-7.2,3.72,"May 04, 23",-0.072,FLUX
2023-05-03,3.96,3.9992,3.85,3.85,3.85,31090,31100,-0.11,-2.78,3.91,"May 03, 23",-0.0278,FLUX
2023-05-02,4.11,4.31,3.81,3.98,3.98,52585,52600,-0.13,-3.16,3.99,"May 02, 23",-0.0316,FLUX
2023-05-01,4.04,4.26,3.9839,4.18,4.18,71868,71900,0.14,3.47,4.14,"May 01, 23",0.0347,FLUX
2023-04-28,3.78,4.05,3.72,3.91,3.91,61085,61100,0.13,3.44,3.97,"April 28, 23",0.0344,FLUX
2023-04-27,3.54,3.9,3.5063,3.74,3.74,91087,91100,0.2,5.65,3.72,"April 27, 23",0.0565,FLUX
2023-04-26,3.08,3.46,3.05,3.43,3.43,91874,91900,0.35,11.36,3.29,"April 26, 23",0.1136,FLUX
2023-04-25,3.25,3.25,2.995,3.03,3.03,69567,69500,-0.22,-6.77,3.06,"April 25, 23",-0.0677,FLUX
2023-04-24,3.35,3.35,3.2,3.21,3.21,48248,48200,-0.14,-4.18,3.25,"April 24, 23",-0.0418,FLUX
2023-04-21,3.45,3.46,3.3,3.4,3.4,38796,38700,-0.05,-1.45,3.39,"April 21, 23",-0.0145,FLUX
2023-04-20,3.61,3.63,3.28,3.49,3.49,357622,357600,-0.12,-3.32,3.43,"April 20, 23",-0.0332,FLUX
2023-04-19,3.85,3.9451,3.63,3.67,3.67,52261,52300,-0.18,-4.68,3.76,"April 19, 23",-0.0468,FLUX
2023-04-18,4.14,4.17,3.83,3.83,3.83,53668,53700,-0.31,-7.49,3.93,"April 18, 23",-0.0749,FLUX
2023-04-17,3.98,4.27,3.9607,4.09,4.09,125411,125400,0.11,2.76,4.12,"April 17, 23",0.0276,FLUX
2023-04-14,4.14,4.27,3.96,4.05,4.05,37696,37500,-0.09,-2.17,4.05,"April 14, 23",-0.0217,FLUX
2023-04-13,4.0,4.17,3.96,4.1,4.1,77985,78000,0.1,2.5,4.1,"April 13, 23",0.025,FLUX
2023-04-12,4.11,4.32,3.95,4.0,4.0,75853,75900,-0.11,-2.68,4.05,"April 12, 23",-0.0268,FLUX
2023-04-11,4.355,4.38,4.05,4.1,4.1,73545,73500,-0.255,-5.86,4.23,"April 11, 23",-0.0586,FLUX
2023-04-10,4.31,4.479,4.26,4.35,4.35,26326,26300,0.04,0.92807,4.37,"April 10, 23",0.0092807,FLUX
2023-04-06,4.43,4.5469,4.18,4.31,4.31,88132,88100,-0.12,-2.71,4.39,"April 06, 23",-0.0271,FLUX
2023-04-05,4.51,4.64,4.3201,4.4,4.4,49732,49700,-0.11,-2.44,4.42,"April 05, 23",-0.0244,FLUX
2023-04-04,4.87,4.87,4.45,4.55,4.55,40836,40800,-0.32,-6.57,4.63,"April 04, 23",-0.0657,FLUX
2023-04-03,5.05,5.214,4.72,4.855,4.855,44730,44700,-0.195,-3.86,4.91,"April 03, 23",-0.0386,FLUX
2023-03-31,4.92,5.02,4.77,4.86,4.86,43189,43200,-0.06,-1.22,4.9,"March 31, 23",-0.0122,FLUX
2023-03-30,5.08,5.16,4.8,4.8,4.8,61640,61600,-0.28,-5.51,4.92,"March 30, 23",-0.0551,FLUX
2023-03-29,5.23,5.36,5.0,5.02,5.02,63337,63300,-0.21,-4.02,5.11,"March 29, 23",-0.0402,FLUX
2023-03-28,5.33,5.43,5.0647,5.11,5.11,31600,31600,-0.22,-4.13,5.18,"March 28, 23",-0.0413,FLUX
2023-03-27,5.26,5.48,5.26,5.3,5.3,38435,38400,0.04,0.76046,5.36,"March 27, 23",0.0076046,FLUX
2023-03-24,5.06,5.2422,5.02,5.24,5.24,33015,33000,0.18,3.56,5.12,"March 24, 23",0.0356,FLUX
2023-03-23,5.14,5.4,5.05,5.15,5.15,33434,33400,0.01,0.19455,5.24,"March 23, 23",0.0019455,FLUX
2023-03-22,5.16,5.49,5.05,5.15,5.15,57764,57700,-0.01,-0.1938,5.22,"March 22, 23",-0.001938,FLUX
