date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,53.22,54.08,52.9,53.89,53.889999,1095720,570413,0.67,1.26,53.73,"July 11, 23",0.0126,FR
2023-07-10,52.97,53.32,52.61,53.16,53.16,659559,659600,0.19,0.35869,53.11,"July 10, 23",0.0035869,FR
2023-07-07,53.24,53.6,52.43,53.11,53.110001,1040070,1040100,-0.13,-0.24418,53.07,"July 07, 23",-0.0024418,FR
2023-07-06,53.07,53.58,52.29,53.51,53.509998,1006550,1006600,0.44,0.82909,53.25,"July 06, 23",0.0082909,FR
2023-07-05,53.22,54.3039,52.98,53.73,53.73,1553930,1553900,0.51,0.95829,53.95,"July 05, 23",0.0095829,FR
2023-07-03,52.5,53.635,52.5,53.47,53.470001,392870,392900,0.97,1.85,53.37,"July 03, 23",0.0185,FR
2023-06-30,52.6,52.76,51.87,52.64,52.639999,1276070,1276100,0.04,0.07604563,52.46,"June 30, 23",0.0007604563,FR
2023-06-29,51.33,52.43,51.295,52.28,52.279999,686233,686200,0.95,1.85,52.15,"June 29, 23",0.0185,FR
2023-06-28,51.81,52.045,51.22,51.74,51.420002,670311,670300,-0.07,-0.13511,51.63,"June 28, 23",-0.0013511,FR
2023-06-27,51.32,52.04,51.1,51.88,51.559135,656427,656400,0.56,1.09,51.81,"June 27, 23",0.0109,FR
2023-06-26,50.01,51.42,50.01,51.06,50.744209,1075438,1075300,1.05,2.1,51.02,"June 26, 23",0.021,FR
2023-06-23,50.98,51.65,49.89,50.09,49.780205,1328443,1328400,-0.89,-1.75,50.36,"June 23, 23",-0.0175,FR
2023-06-22,52.51,52.85,51.12,51.2,50.883343,925471,925500,-1.31,-2.49,51.51,"June 22, 23",-0.0249,FR
2023-06-21,52.17,52.43,51.75,52.39,52.065979,732092,732100,0.22,0.4217,52.29,"June 21, 23",0.004217,FR
2023-06-20,52.69,52.69,51.6,52.39,52.065979,1034516,1034500,-0.3,-0.56937,52.33,"June 20, 23",-0.0056937,FR
2023-06-16,52.88,53.27,52.63,52.86,52.533073,1042997,1043000,-0.02,-0.03782148,52.87,"June 16, 23",-0.0003782148,FR
2023-06-15,52.14,52.71,51.835,52.68,52.354187,584489,584500,0.54,1.04,52.46,"June 15, 23",0.0104,FR
2023-06-14,51.87,52.645,51.8,52.3,51.976536,939224,939200,0.43,0.829,52.3,"June 14, 23",0.00829,FR
2023-06-13,51.34,51.98,51.18,51.82,51.499504,720079,720100,0.48,0.93494,51.78,"June 13, 23",0.0093494,FR
2023-06-12,51.33,51.68,50.69,51.55,51.231174,1046493,1046500,0.22,0.4286,51.32,"June 12, 23",0.004286,FR
2023-06-09,52.61,52.89,51.16,51.39,51.072166,887678,887700,-1.22,-2.32,51.6,"June 09, 23",-0.0232,FR
2023-06-08,53.21,53.38,52.64,52.73,52.403877,619078,619100,-0.48,-0.90209,52.85,"June 08, 23",-0.0090209,FR
2023-06-07,53.44,53.84,53.01,53.55,53.218807,764332,764300,0.11,0.20584,53.51,"June 07, 23",0.0020584,FR
2023-06-06,52.87,53.42,52.565,53.2,52.870972,512257,512300,0.33,0.62417,53.16,"June 06, 23",0.0062417,FR
2023-06-05,53.22,53.46,52.32,52.62,52.294556,752446,725600,-0.6,-1.13,52.76,"June 05, 23",-0.0113,FR
2023-06-02,52.32,53.52,52.32,53.48,53.149239,726012,726000,1.16,2.22,53.2,"June 02, 23",0.0222,FR
2023-06-01,51.88,52.49,51.26,51.78,51.459751,458972,459000,-0.1,-0.19275,51.72,"June 01, 23",-0.0019275,FR
2023-05-31,52.39,52.91,51.86,51.98,51.658516,1015663,1015700,-0.41,-0.78259,52.08,"May 31, 23",-0.0078259,FR
2023-05-30,52.73,53.14,52.32,52.33,52.006355,581076,652600,-0.4,-0.75858,52.5,"May 30, 23",-0.0075858,FR
2023-05-26,51.39,52.24,51.17,52.05,51.728081,604528,604500,0.66,1.28,51.95,"May 26, 23",0.0128,FR
2023-05-25,51.48,51.83,51.02,51.24,50.923096,1144552,1144600,-0.24,-0.4662,51.26,"May 25, 23",-0.004662,FR
2023-05-24,51.42,51.75,51.06,51.26,50.942966,500367,500400,-0.16,-0.31116,51.28,"May 24, 23",-0.0031116,FR
2023-05-23,52.03,52.85,51.66,51.7,51.380249,659885,659900,-0.33,-0.63425,51.93,"May 23, 23",-0.0063425,FR
2023-05-22,52.1,52.84,51.97,52.33,52.006355,464313,464300,0.23,0.44146,52.49,"May 22, 23",0.0044146,FR
2023-05-19,52.74,52.9,51.94,52.08,51.7579,515245,515200,-0.66,-1.25,52.21,"May 19, 23",-0.0125,FR
2023-05-18,51.91,52.61,51.895,52.28,51.956661,894926,894900,0.37,0.71277,52.31,"May 18, 23",0.0071277,FR
2023-05-17,51.81,52.25,51.37,52.23,51.906971,679526,679500,0.42,0.81065,51.97,"May 17, 23",0.0081065,FR
2023-05-16,52.89,53.06,51.49,51.5,51.181484,687946,687900,-1.39,-2.63,51.93,"May 16, 23",-0.0263,FR
2023-05-15,53.37,53.54,53.0,53.06,52.731838,493041,493000,-0.31,-0.58085,53.19,"May 15, 23",-0.0058085,FR
2023-05-12,53.35,53.7,52.955,53.3,52.970352,483446,483400,-0.05,-0.09372071,53.26,"May 12, 23",-0.0009372071,FR
2023-05-11,53.9,54.0,52.79,53.4,53.069736,961098,961100,-0.5,-0.92764,53.19,"May 11, 23",-0.0092764,FR
2023-05-10,54.11,54.53,53.56,54.33,53.993984,630164,630200,0.22,0.40658,54.22,"May 10, 23",0.0040658,FR
2023-05-09,53.76,53.995,53.2,53.54,53.20887,678851,678900,-0.22,-0.40923,53.64,"May 09, 23",-0.0040923,FR
2023-05-08,54.06,54.31,53.76,54.11,53.775345,797190,797200,0.05,0.09248983,54.12,"May 08, 23",0.0009248983,FR
2023-05-05,53.64,54.46,53.5,54.36,54.023796,719297,719300,0.72,1.34,54.28,"May 05, 23",0.0134,FR
2023-05-04,52.9,53.77,52.62,53.45,53.119427,687690,687700,0.55,1.04,53.37,"May 04, 23",0.0104,FR
2023-05-03,52.45,53.64,52.29,52.82,52.49332,696734,696700,0.37,0.70543,52.93,"May 03, 23",0.0070543,FR
2023-05-02,52.02,52.66,51.73,52.2,51.877155,865631,865600,0.18,0.34602,52.19,"May 02, 23",0.0034602,FR
2023-05-01,52.27,52.6925,51.52,51.9,51.579014,765902,765900,-0.37,-0.70786,51.81,"May 01, 23",-0.0070786,FR
2023-04-28,51.71,52.64,51.71,52.47,52.145489,767905,767900,0.76,1.47,52.42,"April 28, 23",0.0147,FR
2023-04-27,50.97,51.98,50.71,51.64,51.320618,943194,943200,0.67,1.31,51.54,"April 27, 23",0.0131,FR
2023-04-26,51.1,51.52,50.51,50.78,50.465939,639618,639600,-0.32,-0.62622,50.86,"April 26, 23",-0.0062622,FR
2023-04-25,51.7,52.09,51.11,51.4,51.082104,624664,624700,-0.3,-0.58027,51.41,"April 25, 23",-0.0058027,FR
2023-04-24,52.8,52.835,51.54,51.83,51.509445,558632,558600,-0.97,-1.84,51.9,"April 24, 23",-0.0184,FR
2023-04-21,52.86,53.19,52.325,52.69,52.364124,850900,850900,-0.17,-0.3216,52.72,"April 21, 23",-0.003216,FR
2023-04-20,52.0,52.96,51.405,52.49,52.165363,826870,826900,0.49,0.94231,52.48,"April 20, 23",0.0094231,FR
2023-04-19,51.05,51.9,50.735,51.85,51.52932,646096,646100,0.8,1.57,51.62,"April 19, 23",0.0157,FR
2023-04-18,51.41,51.72,50.99,51.25,50.933033,1373679,1373600,-0.16,-0.31122,51.3,"April 18, 23",-0.0031122,FR
2023-04-17,50.56,51.4,50.395,51.38,51.062229,660119,660100,0.82,1.62,51.08,"April 17, 23",0.0162,FR
2023-04-14,50.99,51.59,50.1,50.44,50.12804,696131,696100,-0.55,-1.08,50.63,"April 14, 23",-0.0108,FR
2023-04-13,51.17,51.4,50.45,51.01,50.694515,1023019,1023000,-0.16,-0.31268,50.97,"April 13, 23",-0.0031268,FR
2023-04-12,52.49,52.49,51.0,51.12,50.803833,814588,814600,-1.37,-2.61,51.62,"April 12, 23",-0.0261,FR
2023-04-11,52.31,52.53,51.92,52.05,51.728081,726899,726900,-0.26,-0.49704,52.12,"April 11, 23",-0.0049704,FR
2023-04-10,51.75,52.23,51.45,52.21,51.887093,469277,469300,0.46,0.88889,51.97,"April 10, 23",0.0088889,FR
2023-04-06,52.09,52.21,51.65,52.13,51.80759,339532,339500,0.04,0.07679017,52.03,"April 06, 23",0.0007679017,FR
2023-04-05,52.12,52.37,51.63,51.85,51.52932,794448,794400,-0.27,-0.51804,51.89,"April 05, 23",-0.0051804,FR
2023-04-04,52.65,52.675,51.92,52.27,51.946724,535012,535000,-0.38,-0.72175,52.2,"April 04, 23",-0.0072175,FR
2023-04-03,53.05,53.525,52.33,52.65,52.324375,662716,662700,-0.4,-0.75401,52.77,"April 03, 23",-0.0075401,FR
2023-03-31,52.5,53.3,52.37,53.2,52.870972,880268,880300,0.7,1.33,53.04,"March 31, 23",0.0133,FR
2023-03-30,52.03,52.25,51.725,52.06,51.738022,534407,534400,0.03,0.05765904,51.97,"March 30, 23",0.0005765904,FR
2023-03-29,51.37,51.92,51.17,51.9,51.260994,526095,526100,0.53,1.03,51.67,"March 29, 23",0.0103,FR
2023-03-28,50.68,51.11,50.485,50.84,50.214039,349997,350000,0.16,0.31571,50.78,"March 28, 23",0.0031571,FR
2023-03-27,51.07,51.39,50.765,51.03,50.401699,405009,405000,-0.04,-0.07832387,51.08,"March 27, 23",-0.0007832387,FR
2023-03-24,49.2,50.73,49.17,50.62,49.99675,713059,713100,1.42,2.89,50.3,"March 24, 23",0.0289,FR
2023-03-23,49.7,50.37,49.09,49.44,48.831276,733488,733500,-0.26,-0.52314,49.64,"March 23, 23",-0.0052314,FR
2023-03-22,50.96,51.0075,49.38,49.43,48.8214,696713,696700,-1.53,-3.0,50.08,"March 22, 23",-0.03,FR
2023-03-21,51.36,52.02,50.76,51.25,50.618996,1471275,1471300,-0.11,-0.21417,51.25,"March 21, 23",-0.0021417,FR
2023-03-20,51.16,51.89,50.75,51.69,51.053577,1337153,1337200,0.53,1.04,51.66,"March 20, 23",0.0104,FR
2023-03-17,51.87,51.87,50.76,50.79,50.164658,1270070,1270100,-1.08,-2.08,51.04,"March 17, 23",-0.0208,FR
2023-03-16,51.56,52.64,51.29,51.9,51.260994,815891,815900,0.34,0.65943,51.96,"March 16, 23",0.0065943,FR
2023-03-15,51.61,52.18,51.12,52.06,51.419025,645732,645700,0.45,0.87192,51.83,"March 15, 23",0.0087192,FR
2023-03-14,51.72,52.32,51.28,52.28,51.636311,1036608,1036600,0.56,1.08,51.91,"March 14, 23",0.0108,FR
2023-03-13,50.2,51.73,50.08,51.02,50.391827,898821,898800,0.82,1.63,51.01,"March 13, 23",0.0163,FR
2023-03-10,52.69,52.8,50.28,50.58,49.957245,690322,690300,-2.11,-4.0,50.97,"March 10, 23",-0.04,FR
2023-03-09,53.47,53.71,52.415,52.63,51.982002,1104881,1104900,-0.84,-1.57,52.85,"March 09, 23",-0.0157,FR
2023-03-08,52.8,53.78,52.8,53.51,52.851166,778664,778700,0.71,1.34,53.51,"March 08, 23",0.0134,FR
2023-03-07,53.91,54.01,52.58,52.85,52.199295,761875,761900,-1.06,-1.97,53.03,"March 07, 23",-0.0197,FR
2023-03-06,54.5,54.6,53.94,53.96,53.295628,513120,513100,-0.54,-0.99083,54.18,"March 06, 23",-0.0099083,FR
2023-03-03,53.92,54.38,53.76,54.3,53.631439,533023,533000,0.38,0.70475,54.15,"March 03, 23",0.0070475,FR
2023-03-02,52.22,53.645,52.06,53.57,52.910431,525484,525500,1.35,2.59,53.2,"March 02, 23",0.0259,FR
2023-03-01,52.3,52.46,51.805,52.46,51.814095,668070,668100,0.16,0.30593,52.32,"March 01, 23",0.0030593,FR
2023-02-28,52.94,53.76,52.72,52.75,52.100525,932908,932900,-0.19,-0.3589,52.95,"February 28, 23",-0.003589,FR
2023-02-27,53.01,53.22,52.56,52.86,52.209175,972357,972400,-0.15,-0.28297,52.86,"February 27, 23",-0.0028297,FR
2023-02-24,52.79,52.925,52.46,52.52,51.873356,475098,475100,-0.27,-0.51146,52.66,"February 24, 23",-0.0051146,FR
2023-02-23,53.07,53.45,52.48,53.24,52.584492,528160,528200,0.17,0.32033,53.06,"February 23, 23",0.0032033,FR
2023-02-22,53.57,53.69,52.58,52.8,52.14991,837711,837700,-0.77,-1.44,52.97,"February 22, 23",-0.0144,FR
2023-02-21,53.51,53.81,53.23,53.36,52.703014,859872,859900,-0.15,-0.28032,53.41,"February 21, 23",-0.0028032,FR
