date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.195,0.195,0.183,0.1851,0.1851,126785,126785,-0.0099,-5.08,0.1851,"July 11, 23",-0.0508,FREEW
2023-07-10,0.205,0.205,0.18,0.1899,0.1899,421917,421917,-0.0151,-7.37,0.1898,"July 10, 23",-0.0737,FREEW
2023-07-07,0.19,0.19,0.185,0.19,0.19,173923,173923,0.0,0.0,0.1898,"July 07, 23",0.0,FREEW
2023-07-06,0.19,0.19,0.19,0.19,0.19,167,167,0.0,0.0,0.19,"July 06, 23",0.0,FREEW
2023-07-05,0.1969,0.1969,0.195,0.195,0.195,375,375,-0.0019,-0.96496,0.1955,"July 05, 23",-0.0096496,FREEW
2023-07-03,0.1911,0.1911,0.1911,0.1911,0.1911,1273,1273,0.0,0.0,0.1913,"July 03, 23",0.0,FREEW
2023-06-30,0.2039,0.215,0.19,0.2001,0.2001,2111926,2111926,-0.0038,-1.86,0.2004,"June 30, 23",-0.0186,FREEW
2023-06-29,0.20325,0.2125,0.2,0.2125,0.2125,141505,141505,0.00925,4.55,0.2019,"June 29, 23",0.0455,FREEW
2023-06-28,0.2025,0.202548,0.2001,0.2015,0.2015,116646,116646,-0.001,-0.49383,0.2014,"June 28, 23",-0.0049383,FREEW
2023-06-27,0.1927,0.21,0.1901,0.2025,0.2025,161219,161219,0.0098,5.09,0.196,"June 27, 23",0.0509,FREEW
2023-06-26,0.15,0.215,0.15,0.198,0.198,1593746,1593746,0.048,32.0,0.1989,"June 26, 23",0.32,FREEW
2023-06-22,0.0817,0.146,0.0725,0.1255,0.1255,4016,4016,0.0438,53.61,0.0963,"June 22, 23",0.5361,FREEW
2023-06-21,0.0884,0.1158,0.08,0.1158,0.1158,3607,3607,0.0274,31.0,0.0939,"June 21, 23",0.31,FREEW
2023-06-20,0.1001,0.1207,0.1001,0.1207,0.1207,4751,4751,0.0206,20.58,0.1162,"June 20, 23",0.2058,FREEW
2023-06-16,0.1436,0.1436,0.1,0.11,0.11,5969,5969,-0.0336,-23.4,0.1137,"June 16, 23",-0.234,FREEW
2023-06-15,0.1,0.15,0.1,0.15,0.15,3029,3029,0.05,50.0,0.118,"June 15, 23",0.5,FREEW
2023-06-14,0.099899,0.1575,0.099899,0.15,0.15,196035,196035,0.050101,50.15,0.1429,"June 14, 23",0.5015,FREEW
2023-06-13,0.084,0.0941,0.072,0.09,0.09,2535,2535,0.006,7.14,0.0844,"June 13, 23",0.0714,FREEW
