date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,43.51,43.97,42.78,43.18,43.18,392582,277580,-0.33,-0.75845,43.19,"July 11, 23",-0.0075845,GBX
2023-07-10,42.66,43.52,42.47,43.29,43.290001,399259,399300,0.63,1.48,43.18,"July 10, 23",0.0148,GBX
2023-07-07,43.0,43.5,42.48,42.58,42.580002,385724,385700,-0.42,-0.97674,42.91,"July 07, 23",-0.0097674,GBX
2023-07-06,42.38,42.655,41.34,42.63,42.630001,444091,444100,0.25,0.5899,42.19,"July 06, 23",0.005899,GBX
2023-07-05,42.8,42.85,41.93,42.64,42.639999,775188,775200,-0.16,-0.37383,42.41,"July 05, 23",-0.0037383,GBX
2023-07-03,43.1,43.7,42.35,43.1,43.099998,396328,396300,0.0,0.0,43.07,"July 03, 23",0.0,GBX
2023-06-30,43.77,44.7,42.92,43.1,43.099998,974880,972300,-0.67,-1.53,43.62,"June 30, 23",-0.0153,GBX
2023-06-29,37.96,42.8795,37.58,42.82,42.82,2123242,2123200,4.86,12.8,41.07,"June 29, 23",0.128,GBX
2023-06-28,32.28,32.72,31.96,32.48,32.48,182435,182400,0.2,0.61958,32.45,"June 28, 23",0.0061958,GBX
2023-06-27,32.06,32.48,31.5701,32.28,32.279999,244009,244000,0.22,0.68621,32.3,"June 27, 23",0.0068621,GBX
2023-06-26,31.69,32.32,31.46,32.04,32.040001,254010,253800,0.35,1.1,32.06,"June 26, 23",0.011,GBX
2023-06-23,31.77,32.28,31.23,31.41,31.41,430151,430200,-0.36,-1.13,31.57,"June 23, 23",-0.0113,GBX
2023-06-22,32.07,32.43,31.9,32.22,32.220001,205598,205600,0.15,0.46773,32.14,"June 22, 23",0.0046773,GBX
2023-06-21,31.75,32.81,31.67,32.15,32.150002,263010,263000,0.4,1.26,32.33,"June 21, 23",0.0126,GBX
2023-06-20,31.64,32.12,31.235,31.85,31.85,252323,252300,0.21,0.66372,31.86,"June 20, 23",0.0066372,GBX
2023-06-16,31.51,32.09,31.09,31.78,31.780001,995506,995500,0.27,0.85687,31.71,"June 16, 23",0.0085687,GBX
2023-06-15,30.7,31.28,30.43,31.27,31.27,274516,274500,0.57,1.86,30.97,"June 15, 23",0.0186,GBX
2023-06-14,30.82,31.26,30.56,30.74,30.74,318030,318000,-0.08,-0.25957,30.87,"June 14, 23",-0.0025957,GBX
2023-06-13,30.32,30.82,30.13,30.63,30.629999,204207,204200,0.31,1.02,30.61,"June 13, 23",0.0102,GBX
2023-06-12,30.15,30.405,29.72,30.22,30.219999,208725,208700,0.07,0.23217,30.17,"June 12, 23",0.0023217,GBX
2023-06-09,30.8,30.8,29.99,30.22,30.219999,163935,163900,-0.58,-1.88,30.26,"June 09, 23",-0.0188,GBX
2023-06-08,30.24,30.73,29.75,30.71,30.709999,206783,206800,0.47,1.55,30.43,"June 08, 23",0.0155,GBX
2023-06-07,29.8,30.52,29.57,30.38,30.379999,249534,249500,0.58,1.95,30.35,"June 07, 23",0.0195,GBX
2023-06-06,28.59,29.78,28.59,29.46,29.459999,316406,316400,0.87,3.04,29.51,"June 06, 23",0.0304,GBX
2023-06-05,29.37,29.39,28.33,28.69,28.690001,262085,255200,-0.68,-2.32,28.81,"June 05, 23",-0.0232,GBX
2023-06-02,28.51,29.83,28.39,29.65,29.65,320875,320900,1.14,4.0,29.26,"June 02, 23",0.04,GBX
2023-06-01,27.23,27.94,26.96,27.88,27.879999,271755,271800,0.65,2.39,27.68,"June 01, 23",0.0239,GBX
2023-05-31,27.27,27.58,26.94,27.17,27.17,175666,175700,-0.1,-0.3667,27.2,"May 31, 23",-0.003667,GBX
2023-05-30,27.65,27.9998,27.3,27.44,27.440001,174156,174200,-0.21,-0.75949,27.56,"May 30, 23",-0.0075949,GBX
2023-05-26,27.66,28.15,27.6,27.73,27.73,228239,228200,0.07,0.25307,27.83,"May 26, 23",0.0025307,GBX
2023-05-25,27.24,27.689,26.97,27.58,27.58,157238,157200,0.34,1.25,27.43,"May 25, 23",0.0125,GBX
2023-05-24,27.6,28.06,27.3921,27.56,27.559999,194358,194400,-0.04,-0.14493,27.67,"May 24, 23",-0.0014493,GBX
2023-05-23,27.73,28.36,27.71,27.76,27.76,237437,237400,0.03,0.10819,27.96,"May 23, 23",0.0010819,GBX
2023-05-22,27.72,27.92,27.275,27.81,27.809999,142190,142200,0.09,0.32468,27.72,"May 22, 23",0.0032468,GBX
2023-05-19,27.99,27.99,27.17,27.61,27.610001,172055,172100,-0.38,-1.36,27.53,"May 19, 23",-0.0136,GBX
2023-05-18,26.99,27.57,26.89,27.51,27.51,223042,223000,0.52,1.93,27.38,"May 18, 23",0.0193,GBX
2023-05-17,26.57,27.35,26.57,27.14,27.139999,228904,228900,0.57,2.15,27.14,"May 17, 23",0.0215,GBX
2023-05-16,26.17,26.83,26.06,26.38,26.379999,232247,232200,0.21,0.80245,26.46,"May 16, 23",0.0080245,GBX
2023-05-15,26.67,26.88,26.39,26.44,26.440001,344093,344100,-0.23,-0.86239,26.59,"May 15, 23",-0.0086239,GBX
2023-05-12,26.88,27.13,26.09,26.54,26.540001,205682,205700,-0.34,-1.26,26.49,"May 12, 23",-0.0126,GBX
2023-05-11,26.16,26.75,26.04,26.74,26.74,233820,233800,0.58,2.22,26.54,"May 11, 23",0.0222,GBX
2023-05-10,26.82,26.85,26.09,26.5,26.5,198502,198500,-0.32,-1.19,26.42,"May 10, 23",-0.0119,GBX
2023-05-09,26.5,26.79,26.33,26.45,26.450001,211141,211100,-0.05,-0.18868,26.55,"May 09, 23",-0.0018868,GBX
2023-05-08,27.14,27.2,26.53,26.69,26.690001,206908,206900,-0.45,-1.66,26.7,"May 08, 23",-0.0166,GBX
2023-05-05,26.09,26.96,26.09,26.9,26.9,274543,274500,0.81,3.1,26.8,"May 05, 23",0.031,GBX
2023-05-04,26.12,26.3,25.41,25.68,25.68,261597,261600,-0.44,-1.68,25.67,"May 04, 23",-0.0168,GBX
2023-05-03,26.49,26.87,26.39,26.4,26.4,252922,252900,-0.09,-0.33975,26.62,"May 03, 23",-0.0033975,GBX
2023-05-02,26.54,26.5896,25.41,26.5,26.5,425417,425400,-0.04,-0.15072,26.17,"May 02, 23",-0.0015072,GBX
2023-05-01,26.57,27.2999,26.47,26.6,26.6,348454,348500,0.03,0.11291,26.76,"May 01, 23",0.0011291,GBX
2023-04-28,26.42,26.92,26.2,26.45,26.450001,309567,318000,0.03,0.11355,26.49,"April 28, 23",0.0011355,GBX
2023-04-27,26.71,26.89,25.86,26.54,26.540001,345079,345100,-0.17,-0.63647,26.5,"April 27, 23",-0.0063647,GBX
2023-04-26,27.17,27.67,26.6,26.74,26.74,480536,480500,-0.43,-1.58,26.96,"April 26, 23",-0.0158,GBX
2023-04-25,27.69,27.85,26.95,27.32,27.32,334941,334900,-0.37,-1.34,27.36,"April 25, 23",-0.0134,GBX
2023-04-24,28.56,29.13,28.06,28.09,28.09,385981,386000,-0.47,-1.65,28.33,"April 24, 23",-0.0165,GBX
2023-04-21,29.34,29.45,28.84,29.13,28.859999,402579,402600,-0.21,-0.71575,29.03,"April 21, 23",-0.0071575,GBX
2023-04-20,29.6,29.96,29.22,29.45,29.177034,405972,405900,-0.15,-0.50676,29.59,"April 20, 23",-0.0050676,GBX
2023-04-19,29.33,29.89,28.9,29.68,29.404902,390313,390300,0.35,1.19,29.56,"April 19, 23",0.0119,GBX
2023-04-18,29.97,29.97,29.06,29.6,29.325644,404527,404500,-0.37,-1.23,29.46,"April 18, 23",-0.0123,GBX
2023-04-17,29.52,30.06,29.22,29.77,29.494068,668933,668900,0.25,0.84688,29.64,"April 17, 23",0.0084688,GBX
2023-04-14,30.49,30.88,29.16,29.4,29.127497,650529,650400,-1.09,-3.57,29.81,"April 14, 23",-0.0357,GBX
2023-04-13,32.41,32.41,30.38,30.76,30.474892,683630,683600,-1.65,-5.09,30.9,"April 13, 23",-0.0509,GBX
2023-04-12,33.15,33.76,32.12,32.36,32.060062,774842,774800,-0.79,-2.38,32.61,"April 12, 23",-0.0238,GBX
2023-04-11,34.02,34.71,32.87,33.11,32.803108,935315,935200,-0.91,-2.67,33.44,"April 11, 23",-0.0267,GBX
2023-04-10,33.97,34.14,31.9,33.27,32.961628,1817716,1817700,-0.7,-2.06,32.94,"April 10, 23",-0.0206,GBX
2023-04-06,30.24,30.76,30.05,30.21,29.929989,811493,811500,-0.03,-0.09920635,30.3,"April 06, 23",-0.0009920635,GBX
2023-04-05,31.42,31.43,30.34,30.39,30.10832,364413,364300,-1.03,-3.28,30.61,"April 05, 23",-0.0328,GBX
2023-04-04,32.6,32.6399,31.3222,31.67,31.376457,208382,208400,-0.93,-2.85,31.63,"April 04, 23",-0.0285,GBX
2023-04-03,32.62,32.62,31.8599,32.47,32.169044,279264,279300,-0.15,-0.45984,32.29,"April 03, 23",-0.0045984,GBX
2023-03-31,32.07,32.32,31.9,32.17,31.87182,305383,305400,0.1,0.31182,32.14,"March 31, 23",0.0031182,GBX
2023-03-30,32.28,32.36,31.62,31.93,31.634047,161621,161600,-0.35,-1.08,31.87,"March 30, 23",-0.0108,GBX
2023-03-29,32.2,32.48,31.6,31.87,31.574604,218666,218700,-0.33,-1.02,31.88,"March 29, 23",-0.0102,GBX
2023-03-28,31.51,32.05,31.33,31.84,31.544882,219903,219900,0.33,1.05,31.79,"March 28, 23",0.0105,GBX
2023-03-27,31.55,31.78,31.19,31.52,31.227848,241140,241100,-0.03,-0.09508716,31.53,"March 27, 23",-0.0009508716,GBX
2023-03-24,30.28,31.299,29.9,31.24,30.950441,341311,341300,0.96,3.17,30.96,"March 24, 23",0.0317,GBX
2023-03-23,30.62,31.9,30.39,30.99,30.702759,462657,462700,0.37,1.21,31.03,"March 23, 23",0.0121,GBX
2023-03-22,32.42,32.57,30.28,30.34,30.058784,881861,881800,-2.08,-6.42,31.14,"March 22, 23",-0.0642,GBX
2023-03-21,28.96,29.26,27.845,28.39,28.126858,473523,473500,-0.57,-1.97,28.39,"March 21, 23",-0.0197,GBX
2023-03-20,27.27,28.48,27.19,28.27,28.007971,512380,512400,1.0,3.67,28.2,"March 20, 23",0.0367,GBX
2023-03-17,27.75,28.21,26.74,26.87,26.620947,1234923,1234900,-0.88,-3.17,27.12,"March 17, 23",-0.0317,GBX
2023-03-16,27.34,28.705,26.73,28.29,28.027786,393472,393500,0.95,3.47,28.04,"March 16, 23",0.0347,GBX
2023-03-15,27.47,27.72,26.7827,27.71,27.453159,368863,368900,0.24,0.87368,27.36,"March 15, 23",0.0087368,GBX
2023-03-14,29.01,29.46,28.1,28.37,28.107044,238456,238500,-0.64,-2.21,28.62,"March 14, 23",-0.0221,GBX
2023-03-13,29.45,29.64,27.96,28.11,27.849455,343836,343800,-1.34,-4.55,28.41,"March 13, 23",-0.0455,GBX
2023-03-10,30.74,30.85,29.81,30.07,29.791286,189700,189700,-0.67,-2.18,30.2,"March 10, 23",-0.0218,GBX
2023-03-09,32.06,32.37,30.96,31.03,30.74239,153222,153200,-1.03,-3.21,31.32,"March 09, 23",-0.0321,GBX
2023-03-08,31.94,32.3,31.49,31.95,31.653862,141568,141600,0.01,0.0313087,31.82,"March 08, 23",0.000313087,GBX
2023-03-07,32.39,32.39,31.43,31.81,31.515158,195018,195000,-0.58,-1.79,31.75,"March 07, 23",-0.0179,GBX
2023-03-06,33.15,33.15,31.96,32.41,32.109596,235145,235100,-0.74,-2.23,32.38,"March 06, 23",-0.0223,GBX
2023-03-03,32.95,33.18,32.615,33.09,32.783295,178461,178500,0.14,0.42489,32.96,"March 03, 23",0.0042489,GBX
2023-03-02,32.22,32.77,31.62,32.75,32.446445,174405,174400,0.53,1.64,32.41,"March 02, 23",0.0164,GBX
2023-03-01,32.01,32.96,31.7136,32.66,32.357281,260929,260900,0.65,2.03,32.63,"March 01, 23",0.0203,GBX
2023-02-28,30.8,32.14,30.8,32.11,31.812378,335033,335000,1.31,4.25,31.9,"February 28, 23",0.0425,GBX
2023-02-27,31.25,31.86,30.77,30.78,30.494707,293535,293500,-0.47,-1.5,31.19,"February 27, 23",-0.015,GBX
2023-02-24,30.2,31.21,30.16,30.94,30.653223,264520,264500,0.74,2.45,30.87,"February 24, 23",0.0245,GBX
2023-02-23,29.4,30.7,29.31,30.68,30.395634,312052,312100,1.28,4.35,30.31,"February 23, 23",0.0435,GBX
2023-02-22,28.53,29.42,28.53,29.22,28.949165,383495,383500,0.69,2.42,29.17,"February 22, 23",0.0242,GBX
2023-02-21,28.76,29.055,28.095,28.46,28.196209,266592,266600,-0.3,-1.04,28.5,"February 21, 23",-0.0104,GBX
2023-02-17,29.75,29.78,29.33,29.36,29.087868,311110,311100,-0.39,-1.31,29.6,"February 17, 23",-0.0131,GBX
2023-02-16,29.32,29.97,29.01,29.42,29.147312,359536,359500,0.1,0.34106,29.44,"February 16, 23",0.0034106,GBX
2023-02-15,29.03,29.98,28.975,29.77,29.494068,176343,176300,0.74,2.55,29.64,"February 15, 23",0.0255,GBX
2023-02-14,29.69,29.69,28.87,29.25,28.978888,212508,212500,-0.44,-1.48,29.27,"February 14, 23",-0.0148,GBX
2023-02-13,29.42,29.94,29.08,29.79,29.513884,156257,156300,0.37,1.26,29.74,"February 13, 23",0.0126,GBX
2023-02-10,29.61,29.835,29.415,29.58,29.305828,171367,171400,-0.03,-0.10132,29.66,"February 10, 23",-0.0010132,GBX
2023-02-09,31.11,31.18,29.67,29.68,29.404902,248270,248300,-1.43,-4.6,30.03,"February 09, 23",-0.046,GBX
2023-02-08,31.43,31.57,30.72,30.85,30.564056,203949,203900,-0.58,-1.85,31.11,"February 08, 23",-0.0185,GBX
2023-02-07,30.83,31.86,30.6,31.72,31.425993,257053,257100,0.89,2.89,31.39,"February 07, 23",0.0289,GBX
2023-02-06,31.51,31.51,30.95,31.07,30.782017,169247,169200,-0.44,-1.4,31.16,"February 06, 23",-0.014,GBX
2023-02-03,31.58,32.0,31.47,31.68,31.386364,260959,261000,0.1,0.31666,31.7,"February 03, 23",0.0031666,GBX
2023-02-02,30.69,31.864,30.56,31.8,31.505251,369810,369800,1.11,3.62,31.49,"February 02, 23",0.0362,GBX
2023-02-01,30.73,30.84,29.54,30.41,30.128136,451826,451800,-0.32,-1.04,30.14,"February 01, 23",-0.0104,GBX
2023-01-31,29.56,31.13,29.492,30.92,30.633408,612105,612100,1.36,4.6,30.75,"January 31, 23",0.046,GBX
2023-01-30,29.39,29.965,29.17,29.56,29.286013,230086,230100,0.17,0.57843,29.67,"January 30, 23",0.0057843,GBX
2023-01-27,28.76,29.8,28.63,29.58,29.305828,323394,323400,0.82,2.85,29.47,"January 27, 23",0.0285,GBX
2023-01-26,28.01,28.89,27.62,28.88,28.612316,265223,265200,0.87,3.11,28.49,"January 26, 23",0.0311,GBX
2023-01-25,27.68,27.99,27.33,27.79,27.532421,342466,342500,0.11,0.3974,27.69,"January 25, 23",0.003974,GBX
2023-01-24,28.4,28.4,27.6827,28.03,27.502697,452492,452500,-0.37,-1.3,28.07,"January 24, 23",-0.013,GBX
2023-01-23,28.34,28.5415,27.9,28.32,27.787243,415042,415000,-0.02,-0.07057163,28.18,"January 23, 23",-0.0007057163,GBX
2023-01-20,28.54,28.89,28.03,28.22,27.689123,611244,611200,-0.32,-1.12,28.32,"January 20, 23",-0.0112,GBX
2023-01-19,28.72,28.8432,28.16,28.26,27.728371,279299,279300,-0.46,-1.6,28.43,"January 19, 23",-0.016,GBX
2023-01-18,28.75,29.56,28.571,28.91,28.366142,300429,300400,0.16,0.55652,29.13,"January 18, 23",0.0055652,GBX
2023-01-17,28.38,29.3,28.38,28.51,27.973667,462564,462400,0.13,0.45807,28.69,"January 17, 23",0.0045807,GBX
2023-01-13,29.64,29.81,29.15,29.31,28.758617,239373,239400,-0.33,-1.11,29.38,"January 13, 23",-0.0111,GBX
2023-01-12,28.96,30.5,28.8015,30.0,29.435637,462138,462000,1.04,3.59,29.85,"January 12, 23",0.0359,GBX
2023-01-11,29.03,29.51,28.36,28.63,28.09141,350224,350200,-0.4,-1.38,28.77,"January 11, 23",-0.0138,GBX
2023-01-10,27.5,29.25,27.23,28.74,28.199341,577598,577600,1.24,4.51,28.73,"January 10, 23",0.0451,GBX
2023-01-09,28.9,29.6616,27.4,27.48,26.963043,819872,819900,-1.42,-4.91,28.41,"January 09, 23",-0.0491,GBX
2023-01-06,30.125,31.05,28.55,28.66,28.120846,1649575,1649400,-1.465,-4.86,29.64,"January 06, 23",-0.0486,GBX
2023-01-05,34.44,35.21,33.65,34.91,34.253269,287000,287000,0.47,1.36,34.87,"January 05, 23",0.0136,GBX
2023-01-04,34.39,35.38,34.19,34.6,33.9491,221885,221900,0.21,0.61064,34.82,"January 04, 23",0.0061064,GBX
2023-01-03,33.9,34.23,33.26,33.96,33.32114,212657,212700,0.06,0.17699,33.76,"January 03, 23",0.0017699,GBX
2022-12-30,34.0,34.12,33.215,33.53,32.899231,153091,153100,-0.47,-1.38,33.54,"December 30, 22",-0.0138,GBX
2022-12-29,33.67,34.385,33.41,34.33,33.684185,231658,231600,0.66,1.96,34.16,"December 29, 22",0.0196,GBX
2022-12-28,34.61,34.6699,33.33,33.34,32.712807,175157,175200,-1.27,-3.67,33.64,"December 28, 22",-0.0367,GBX
2022-12-27,34.76,34.915,34.41,34.48,33.83136,112841,112800,-0.28,-0.80552,34.6,"December 27, 22",-0.0080552,GBX
2022-12-23,34.81,35.06,34.62,34.63,33.978539,148036,148000,-0.18,-0.51709,34.83,"December 23, 22",-0.0051709,GBX
