date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.085,0.0892,0.085,0.0892,0.0892,2211,2211,0.0042,4.94,0.0859,"July 11, 23",0.0494,GFGDW
2023-07-05,0.0793,0.0794,0.0684,0.078,0.078,2040,2040,-0.0013,-1.64,0.0768,"July 05, 23",-0.0164,GFGDW
2023-06-29,0.0615,0.0802,0.0615,0.0802,0.0802,1110,1110,0.0187,30.41,0.0758,"June 29, 23",0.3041,GFGDW
2023-06-27,0.0709,0.0709,0.0709,0.0709,0.0709,161,161,0.0,0.0,0.0699,"June 27, 23",0.0,GFGDW
2023-06-26,0.07,0.07,0.068,0.0691,0.0691,91200,91200,-0.0009,-1.29,0.07,"June 26, 23",-0.0129,GFGDW
2023-06-22,0.07,0.07,0.0601,0.0601,0.0601,500,500,-0.0099,-14.14,0.066,"June 22, 23",-0.1414,GFGDW
2023-06-16,0.065,0.0654,0.065,0.065,0.065,76480,76480,0.0,0.0,0.065,"June 16, 23",0.0,GFGDW
2023-06-08,0.06,0.06,0.0575,0.0575,0.0575,5058,5058,-0.0025,-4.16667,0.05833333,"June 08, 23",-0.0416667,GFGDW
2023-06-07,0.06,0.06,0.06,0.06,0.06,1900,1900,0.0,0.0,0.06,"June 07, 23",0.0,GFGDW
2023-06-05,0.06,0.061,0.0575,0.0575,0.0575,7602,7602,-0.0025,-4.17,0.0597,"June 05, 23",-0.0417,GFGDW
2023-06-02,0.06,0.06,0.0575,0.057516,0.0575,144023,144023,-0.002484,-4.14,0.0599,"June 02, 23",-0.0414,GFGDW
2023-06-01,0.06,0.0686,0.05985,0.0677,0.0677,18544,18544,0.0077,12.83,0.0649,"June 01, 23",0.1283,GFGDW
2023-05-30,0.06,0.0636,0.045,0.06,0.06,72193,72193,0.0,0.0,0.0529,"May 30, 23",0.0,GFGDW
2023-05-22,0.03,0.06,0.03,0.06,0.06,21011,20911,0.03,100.0,0.0304,"May 22, 23",1.0,GFGDW
2023-05-16,0.0248,0.03,0.0245,0.03,0.03,33267,33267,0.0052,20.97,0.0251,"May 16, 23",0.2097,GFGDW
2023-05-12,0.02055,0.02055,0.02055,0.02055,0.0205,1050,1050,0.0,0.0,0.0203,"May 12, 23",0.0,GFGDW
2023-05-10,0.0163,0.0303,0.0156,0.0303,0.0303,4314,4314,0.014,85.89,0.0202,"May 10, 23",0.8589,GFGDW
2023-05-03,0.0465,0.0465,0.0465,0.0465,0.0465,4100,4100,0.0,0.0,0.0465,"May 03, 23",0.0,GFGDW
2023-05-02,0.0284,0.0459,0.0284,0.0459,0.0459,200,200,0.0175,61.62,0.0372,"May 02, 23",0.6162,GFGDW
