date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,13.1,13.3,12.92,13.13,13.13,11086,10747,0.03,0.22901,13.11,"July 11, 23",0.0022901,GHM
2023-07-10,13.06,13.155,12.3401,13.04,13.04,10527,10500,-0.02,-0.15314,13.01,"July 10, 23",-0.0015314,GHM
2023-07-07,12.81,13.39,12.72,13.02,13.02,35616,35600,0.21,1.64,13.09,"July 07, 23",0.0164,GHM
2023-07-06,12.88,12.88,12.69,12.81,12.81,8063,8100,-0.07,-0.54348,12.77,"July 06, 23",-0.0054348,GHM
2023-07-05,13.2,13.21,12.5,13.0,13.0,23373,23400,-0.2,-1.52,12.95,"July 05, 23",-0.0152,GHM
2023-07-03,13.2,13.39,12.88,13.38,13.38,12646,12600,0.18,1.36,13.15,"July 03, 23",0.0136,GHM
2023-06-30,12.97,13.4,12.97,13.28,13.28,6192,6200,0.31,2.39,13.17,"June 30, 23",0.0239,GHM
2023-06-29,13.32,13.49,13.13,13.32,13.32,11496,11500,0.0,0.0,13.31,"June 29, 23",0.0,GHM
2023-06-28,13.04,13.48,12.86,13.31,13.31,22549,22500,0.27,2.07,13.16,"June 28, 23",0.0207,GHM
2023-06-27,12.8,13.26,12.29,12.94,12.94,18175,18200,0.14,1.09,12.91,"June 27, 23",0.0109,GHM
2023-06-26,12.88,13.031,12.8,12.8,12.8,11391,11400,-0.08,-0.62112,12.94,"June 26, 23",-0.0062112,GHM
2023-06-23,12.97,13.25,12.76,12.87,12.87,50951,51000,-0.1,-0.77101,13.11,"June 23, 23",-0.0077101,GHM
2023-06-22,12.86,13.06,12.775,12.93,12.93,10904,10900,0.07,0.54432,12.86,"June 22, 23",0.0054432,GHM
2023-06-21,12.9,13.375,12.825,13.03,13.03,23271,23300,0.13,1.01,13.12,"June 21, 23",0.0101,GHM
2023-06-20,13.14,13.26,12.765,13.03,13.03,31020,31000,-0.11,-0.83714,13.0,"June 20, 23",-0.0083714,GHM
2023-06-16,13.45,13.45,13.02,13.23,13.23,34368,34400,-0.22,-1.64,13.19,"June 16, 23",-0.0164,GHM
2023-06-15,13.32,13.4,13.04,13.29,13.29,17256,17300,-0.03,-0.22523,13.26,"June 15, 23",-0.0022523,GHM
2023-06-14,13.1,13.39,12.82,13.3,13.3,36259,36300,0.2,1.53,13.08,"June 14, 23",0.0153,GHM
2023-06-13,12.88,13.45,12.845,13.0,13.0,145644,145600,0.12,0.93168,13.03,"June 13, 23",0.0093168,GHM
2023-06-12,12.9,13.14,12.7,13.0,13.0,48186,48200,0.1,0.77519,12.92,"June 12, 23",0.0077519,GHM
2023-06-09,13.0,13.17,12.81,13.0,13.0,56284,56300,0.0,0.0,12.99,"June 09, 23",0.0,GHM
2023-06-08,13.0,13.25,12.48,13.0,13.0,110327,109000,0.0,0.0,12.95,"June 08, 23",0.0,GHM
2023-06-07,11.825,11.9,11.49,11.7,11.7,29160,29200,-0.125,-1.06,11.68,"June 07, 23",-0.0106,GHM
2023-06-06,11.525,11.7735,11.4,11.49,11.49,29056,29100,-0.035,-0.30369,11.6,"June 06, 23",-0.0030369,GHM
2023-06-05,11.43,11.94,11.355,11.66,11.66,23342,22700,0.23,2.01,11.68,"June 05, 23",0.0201,GHM
2023-06-02,11.2752,11.48,11.16,11.36,11.36,48095,48100,0.0848,0.75209,11.31,"June 02, 23",0.0075209,GHM
2023-06-01,11.16,11.4699,11.03,11.04,11.04,23030,23000,-0.12,-1.08,11.24,"June 01, 23",-0.0108,GHM
2023-05-31,11.33,11.465,11.09,11.09,11.09,13216,13200,-0.24,-2.12,11.27,"May 31, 23",-0.0212,GHM
2023-05-30,11.55,11.63,11.25,11.25,11.25,14004,14000,-0.3,-2.6,11.4,"May 30, 23",-0.026,GHM
2023-05-26,11.26,11.56,11.26,11.535,11.54,4949,4900,0.275,2.44,11.39,"May 26, 23",0.0244,GHM
2023-05-25,12.0,12.0,11.31,11.31,11.31,19717,19700,-0.69,-5.75,11.62,"May 25, 23",-0.0575,GHM
2023-05-24,11.76,12.05,11.76,11.94,11.94,6569,6600,0.18,1.53,11.95,"May 24, 23",0.0153,GHM
2023-05-23,11.8,12.17,11.78,11.78,11.78,23682,23700,-0.02,-0.16949,11.96,"May 23, 23",-0.0016949,GHM
2023-05-22,11.51,11.9316,11.51,11.85,11.85,8306,8300,0.34,2.95,11.81,"May 22, 23",0.0295,GHM
2023-05-19,11.55,11.66,11.34,11.45,11.45,16708,16700,-0.1,-0.8658,11.51,"May 19, 23",-0.008658,GHM
