date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,38.0,38.0,37.62,37.75,37.75,498405,496257,-0.25,-0.65789,37.81,"July 11, 23",-0.0065789,GMAB
2023-07-10,37.55,37.98,37.53,37.86,37.860001,427944,427900,0.31,0.82557,37.77,"July 10, 23",0.0082557,GMAB
2023-07-07,37.93,38.03,37.6001,37.68,37.68,537370,537200,-0.25,-0.65911,37.85,"July 07, 23",-0.0065911,GMAB
2023-07-06,38.28,38.3,37.71,38.25,38.25,671612,671600,-0.03,-0.07836991,38.13,"July 06, 23",-0.0007836991,GMAB
2023-07-05,38.44,38.67,38.33,38.48,38.48,364509,364500,0.04,0.10406,38.47,"July 05, 23",0.0010406,GMAB
2023-07-03,38.03,38.21,37.9,38.16,38.16,237859,237900,0.13,0.34184,38.05,"July 03, 23",0.0034184,GMAB
2023-06-30,37.67,38.12,37.65,38.01,38.009998,681632,681600,0.34,0.90257,37.98,"June 30, 23",0.0090257,GMAB
2023-06-29,36.97,37.485,36.815,37.45,37.450001,767996,768000,0.48,1.3,37.25,"June 29, 23",0.013,GMAB
2023-06-28,37.08,37.4402,36.96,37.4,37.400002,526610,526600,0.32,0.863,37.27,"June 28, 23",0.00863,GMAB
2023-06-27,37.71,37.82,37.35,37.56,37.560001,512239,512200,-0.15,-0.39777,37.55,"June 27, 23",-0.0039777,GMAB
2023-06-26,38.33,38.35,37.86,38.2,38.200001,336833,336800,-0.13,-0.33916,38.13,"June 26, 23",-0.0033916,GMAB
2023-06-23,37.9,38.69,37.89,38.38,38.380001,365100,365100,0.48,1.27,38.41,"June 23, 23",0.0127,GMAB
2023-06-22,37.92,38.5,37.92,38.48,38.48,317095,317100,0.56,1.48,38.27,"June 22, 23",0.0148,GMAB
2023-06-21,38.08,38.355,37.6,38.2,38.200001,495282,495300,0.12,0.31513,38.05,"June 21, 23",0.0031513,GMAB
2023-06-20,38.25,38.52,37.95,38.42,38.419998,426205,426200,0.17,0.44444,38.28,"June 20, 23",0.0044444,GMAB
