date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,36.7,37.6,36.61,37.14,37.139999,229212,228672,0.44,1.2,37.1,"July 11, 23",0.012,HIBB
2023-07-10,36.03,36.815,36.02,36.61,36.610001,216136,216100,0.58,1.61,36.5,"July 10, 23",0.0161,HIBB
2023-07-07,35.26,36.4224,35.26,36.11,36.110001,251886,250600,0.85,2.41,36.07,"July 07, 23",0.0241,HIBB
2023-07-06,35.89,36.18,34.96,35.28,35.279999,216869,216500,-0.61,-1.7,35.36,"July 06, 23",-0.017,HIBB
2023-07-05,36.29,36.54,35.84,36.34,36.34,281023,281000,0.05,0.13778,36.29,"July 05, 23",0.0013778,HIBB
2023-07-03,36.63,37.04,36.195,36.61,36.610001,140164,140200,-0.02,-0.05460005,36.55,"July 03, 23",-0.0005460005,HIBB
2023-06-30,37.31,37.31,35.565,36.29,36.290001,394106,394100,-1.02,-2.73,36.17,"June 30, 23",-0.0273,HIBB
2023-06-29,36.2,37.52,36.2,37.25,37.25,332910,332900,1.05,2.9,37.17,"June 29, 23",0.029,HIBB
2023-06-28,36.75,36.75,35.73,36.34,36.34,266169,266200,-0.41,-1.12,36.17,"June 28, 23",-0.0112,HIBB
2023-06-27,36.7,37.365,36.06,36.86,36.860001,315894,315900,0.16,0.43597,36.9,"June 27, 23",0.0043597,HIBB
2023-06-26,36.02,37.44,36.02,36.81,36.810001,223752,223700,0.79,2.19,36.89,"June 26, 23",0.0219,HIBB
2023-06-23,37.13,37.8,36.18,36.29,36.290001,466800,466800,-0.84,-2.26,36.67,"June 23, 23",-0.0226,HIBB
2023-06-22,37.1,37.59,36.3,37.41,37.41,287158,287200,0.31,0.83558,37.12,"June 22, 23",0.0083558,HIBB
2023-06-21,37.09,37.545,36.67,37.2,37.200001,270875,270900,0.11,0.29658,37.16,"June 21, 23",0.0029658,HIBB
2023-06-20,37.94,38.095,37.04,37.24,37.240002,360910,360900,-0.7,-1.85,37.41,"June 20, 23",-0.0185,HIBB
2023-06-16,39.01,39.01,38.025,38.24,38.240002,950216,950200,-0.77,-1.97,38.31,"June 16, 23",-0.0197,HIBB
2023-06-15,38.01,39.13,37.88,38.67,38.669998,325226,325200,0.66,1.74,38.63,"June 15, 23",0.0174,HIBB
2023-06-14,38.3,38.74,37.86,38.26,38.259998,305726,305700,-0.04,-0.10444,38.16,"June 14, 23",-0.0010444,HIBB
2023-06-13,37.93,38.74,37.855,38.21,38.209999,339148,339100,0.28,0.7382,38.31,"June 13, 23",0.007382,HIBB
2023-06-12,36.67,37.94,36.12,37.63,37.630001,423755,423800,0.96,2.62,37.48,"June 12, 23",0.0262,HIBB
2023-06-09,36.91,37.2,36.22,36.35,36.349998,393349,393300,-0.56,-1.52,36.45,"June 09, 23",-0.0152,HIBB
2023-06-08,38.07,38.505,36.68,37.04,37.040001,335336,335200,-1.03,-2.71,37.19,"June 08, 23",-0.0271,HIBB
2023-06-07,37.25,38.98,37.22,38.39,38.389999,481588,481600,1.14,3.06,38.33,"June 07, 23",0.0306,HIBB
2023-06-06,36.01,38.65,36.01,37.37,37.119999,582281,582200,1.36,3.78,37.53,"June 06, 23",0.0378,HIBB
2023-06-05,37.73,38.94,36.19,36.21,35.967758,520162,520200,-1.52,-4.03,36.98,"June 05, 23",-0.0403,HIBB
2023-06-02,36.5,37.31,35.6,36.61,36.365086,560624,560200,0.11,0.30137,36.3,"June 02, 23",0.0030137,HIBB
2023-06-01,35.83,36.15,34.86,35.84,35.600235,497358,497400,0.01,0.02790957,35.74,"June 01, 23",0.0002790957,HIBB
2023-05-31,38.65,38.86,35.8,36.02,35.779034,724049,724000,-2.63,-6.8,36.55,"May 31, 23",-0.068,HIBB
2023-05-30,39.5,39.695,38.03,38.32,38.6199,17433,731100,-1.18,-2.99,38.58,"May 30, 23",-0.0299,HIBB
2023-05-26,41.07,42.6799,38.45,39.19,38.927822,1202450,1202400,-1.88,-4.58,39.79,"May 26, 23",-0.0458,HIBB
2023-05-25,44.84,45.43,43.69,44.16,43.864574,715118,715100,-0.68,-1.52,44.2,"May 25, 23",-0.0152,HIBB
2023-05-24,47.07,47.7,45.145,45.32,45.016815,219967,219900,-1.75,-3.72,45.64,"May 24, 23",-0.0372,HIBB
2023-05-23,45.74,47.4,45.2,46.28,45.970394,291983,292000,0.54,1.18,46.52,"May 23, 23",0.0118,HIBB
2023-05-22,46.94,47.29,44.84,45.66,45.354542,447866,447800,-1.28,-2.73,45.69,"May 22, 23",-0.0273,HIBB
2023-05-19,49.24,49.24,46.32,47.53,47.212029,561957,561800,-1.71,-3.47,47.76,"May 19, 23",-0.0347,HIBB
2023-05-18,50.99,51.11,50.0,50.7,50.360825,161836,161800,-0.29,-0.56874,50.62,"May 18, 23",-0.0056874,HIBB
2023-05-17,49.15,51.14,48.6,51.03,50.688618,241496,241500,1.88,3.83,50.53,"May 17, 23",0.0383,HIBB
2023-05-16,49.71,49.76,48.65,48.74,48.41394,305902,305900,-0.97,-1.95,49.16,"May 16, 23",-0.0195,HIBB
2023-05-15,50.3,50.44,49.26,50.16,49.824436,236422,236400,-0.14,-0.27833,49.98,"May 15, 23",-0.0027833,HIBB
2023-05-12,51.59,51.76,49.89,50.13,49.79464,156328,156300,-1.46,-2.83,50.38,"May 12, 23",-0.0283,HIBB
2023-05-11,51.71,52.48,51.14,51.26,50.917076,181529,181500,-0.45,-0.87024,51.49,"May 11, 23",-0.0087024,HIBB
2023-05-10,52.98,53.23,51.05,51.95,51.602463,187268,187300,-1.03,-1.94,51.88,"May 10, 23",-0.0194,HIBB
2023-05-09,52.7,52.77,51.92,52.26,51.910385,156383,156400,-0.44,-0.83491,52.38,"May 09, 23",-0.0083491,HIBB
2023-05-08,54.29,54.85,52.73,52.75,52.39711,211984,212000,-1.54,-2.84,53.18,"May 08, 23",-0.0284,HIBB
2023-05-05,52.68,54.26,52.15,53.95,53.589085,189598,189600,1.27,2.41,53.65,"May 05, 23",0.0241,HIBB
2023-05-04,52.82,52.84,51.43,51.84,51.493198,180222,180200,-0.98,-1.86,51.9,"May 04, 23",-0.0186,HIBB
