date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,14.23,14.24,14.06,14.18,14.18,33003,33003,-0.05,-0.35137,14.15,"July 11, 23",-0.0035137,HPS
2023-07-10,14.07,14.1821,14.0,14.12,14.12,47976,48000,0.05,0.35537,14.11,"July 10, 23",0.0035537,HPS
2023-07-07,13.85,14.0399,13.8101,14.03,14.03,36501,36500,0.18,1.3,13.97,"July 07, 23",0.013,HPS
2023-07-06,13.98,14.0156,13.75,13.89,13.89,43743,43700,-0.09,-0.64378,13.88,"July 06, 23",-0.0064378,HPS
2023-07-05,14.07,14.1,14.0,14.08,14.08,59880,59900,0.01,0.07107321,14.06,"July 05, 23",0.0007107321,HPS
2023-07-03,14.06,14.1,13.98,14.045,14.05,37268,37300,-0.015,-0.10669,14.04,"July 03, 23",-0.0010669,HPS
2023-06-30,13.81,14.03,13.7784,14.01,14.01,99056,99100,0.2,1.45,13.96,"June 30, 23",0.0145,HPS
2023-06-29,13.69,13.69,13.58,13.61,13.61,40084,40100,-0.08,-0.58437,13.63,"June 29, 23",-0.0058437,HPS
2023-06-28,13.51,13.7,13.4,13.7,13.7,67741,67700,0.19,1.41,13.56,"June 28, 23",0.0141,HPS
2023-06-27,13.36,13.48,13.26,13.39,13.39,54095,54100,0.03,0.22455,13.38,"June 27, 23",0.0022455,HPS
2023-06-26,13.55,13.61,13.23,13.28,13.28,130671,130700,-0.27,-1.99,13.39,"June 26, 23",-0.0199,HPS
2023-06-23,13.41,13.58,13.4,13.5,13.5,38137,38100,0.09,0.67114,13.5,"June 23, 23",0.0067114,HPS
2023-06-22,13.51,13.59,13.4101,13.43,13.43,40104,40100,-0.08,-0.59215,13.49,"June 22, 23",-0.0059215,HPS
2023-06-21,13.5,13.5296,13.45,13.46,13.46,35447,35400,-0.04,-0.2963,13.47,"June 21, 23",-0.002963,HPS
2023-06-20,13.45,13.58,13.45,13.53,13.53,69457,69500,0.08,0.5948,13.52,"June 20, 23",0.005948,HPS
2023-06-16,13.69,13.69,13.43,13.43,13.43,39491,39500,-0.26,-1.9,13.54,"June 16, 23",-0.019,HPS
2023-06-15,13.51,13.73,13.51,13.66,13.66,49621,49600,0.15,1.11,13.63,"June 15, 23",0.0111,HPS
2023-06-14,13.54,13.685,13.46,13.57,13.57,58057,58100,0.03,0.22157,13.54,"June 14, 23",0.0022157,HPS
2023-06-13,13.75,13.8,13.54,13.56,13.56,46205,46200,-0.19,-1.38,13.64,"June 13, 23",-0.0138,HPS
2023-06-12,13.94,13.9516,13.71,13.74,13.74,66123,66100,-0.2,-1.43,13.81,"June 12, 23",-0.0143,HPS
2023-06-09,13.88,14.12,13.88,13.95,13.95,44675,44700,0.07,0.50432,14.01,"June 09, 23",0.0050432,HPS
2023-06-08,14.07,14.07,13.99,14.05,13.940001,23688,23700,-0.02,-0.14215,14.03,"June 08, 23",-0.0014215,HPS
2023-06-07,14.0,14.08,13.9902,14.04,13.930079,50378,50400,0.04,0.28571,14.04,"June 07, 23",0.0028571,HPS
2023-06-06,13.69,13.9599,13.6801,13.91,13.801096,52251,52300,0.22,1.61,13.86,"June 06, 23",0.0161,HPS
2023-06-05,13.97,13.98,13.81,13.83,13.721723,40885,33700,-0.14,-1.0,13.89,"June 05, 23",-0.01,HPS
2023-06-02,13.9,13.98,13.84,13.89,13.89,30157,30200,-0.01,-0.07194245,13.92,"June 02, 23",-0.0007194245,HPS
