date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,16.4,16.4,16.32,16.34,16.34,24043,24043,-0.06,-0.36585,16.35,"July 11, 23",-0.0036585,IGI
2023-07-10,16.39,16.455,16.33,16.38,16.379999,12122,12100,-0.01,-0.06101281,16.39,"July 10, 23",-0.0006101281,IGI
2023-07-07,16.45,16.5963,16.3,16.36,16.360001,49446,49400,-0.09,-0.54711,16.48,"July 07, 23",-0.0054711,IGI
2023-07-06,16.34,16.5999,16.3,16.5999,16.6,30139,30100,0.2599,1.59,16.41,"July 06, 23",0.0159,IGI
2023-07-05,16.38,16.39,16.3,16.39,16.389999,21795,21800,0.01,0.06105006,16.35,"July 05, 23",0.0006105006,IGI
2023-07-03,16.38,16.38,16.26,16.325,16.33,16099,16100,-0.055,-0.33578,16.33,"July 03, 23",-0.0033578,IGI
2023-06-30,16.34,16.37,16.212,16.32,16.32,39249,39200,-0.02,-0.1224,16.31,"June 30, 23",-0.001224,IGI
2023-06-29,16.35,16.35,16.25,16.3,16.299999,38282,38300,-0.05,-0.30581,16.29,"June 29, 23",-0.0030581,IGI
2023-06-28,16.35,16.47,16.35,16.38,16.379999,37983,38000,0.03,0.18349,16.39,"June 28, 23",0.0018349,IGI
2023-06-27,16.38,16.46,16.36,16.36,16.360001,22225,22200,-0.02,-0.1221,16.38,"June 27, 23",-0.001221,IGI
2023-06-26,16.35,16.45,16.33,16.37,16.370001,33370,33400,0.02,0.12232,16.36,"June 26, 23",0.0012232,IGI
2023-06-23,16.45,16.45,16.3,16.33,16.33,29501,29500,-0.12,-0.72948,16.34,"June 23, 23",-0.0072948,IGI
2023-06-22,16.3,16.44,16.3,16.39,16.389999,29273,29300,0.09,0.55215,16.37,"June 22, 23",0.0055215,IGI
2023-06-21,16.39,16.39,16.335,16.38,16.313,14607,14600,-0.01,-0.06101281,16.36,"June 21, 23",-0.0006101281,IGI
2023-06-20,16.31,16.475,16.31,16.37,16.303041,31295,31300,0.06,0.36787,16.37,"June 20, 23",0.0036787,IGI
2023-06-16,16.37,16.4,16.3,16.33,16.263205,54274,54300,-0.04,-0.24435,16.34,"June 16, 23",-0.0024435,IGI
2023-06-15,16.49,16.55,16.38,16.4,16.4,12519,12500,-0.09,-0.54579,16.45,"June 15, 23",-0.0054579,IGI
2023-06-14,16.39,16.624,16.27,16.36,16.360001,9131,9100,-0.03,-0.18304,16.47,"June 14, 23",-0.0018304,IGI
2023-06-13,16.53,16.605,16.3701,16.43,16.43,10034,10000,-0.1,-0.60496,16.48,"June 13, 23",-0.0060496,IGI
2023-06-12,16.31,16.8,16.31,16.57,16.57,23816,23800,0.26,1.59,16.54,"June 12, 23",0.0159,IGI
2023-06-09,16.42,16.52,16.25,16.33,16.33,39801,39800,-0.09,-0.54811,16.33,"June 09, 23",-0.0054811,IGI
2023-06-08,16.31,16.4397,16.275,16.375,16.379999,12609,12600,0.065,0.39853,16.35,"June 08, 23",0.0039853,IGI
2023-06-07,16.4,16.55,16.3168,16.37,16.370001,20362,20400,-0.03,-0.18293,16.38,"June 07, 23",-0.0018293,IGI
2023-06-06,16.27,16.49,16.27,16.42,16.42,11067,11100,0.15,0.92194,16.38,"June 06, 23",0.0092194,IGI
2023-06-05,16.27,16.36,16.26,16.32,16.32,31986,27100,0.05,0.30731,16.31,"June 05, 23",0.0030731,IGI
2023-06-02,16.29,16.43,16.27,16.35,16.35,28065,28100,0.06,0.36832,16.34,"June 02, 23",0.0036832,IGI
2023-06-01,16.27,16.5477,16.27,16.34,16.34,42270,42300,0.07,0.43024,16.33,"June 01, 23",0.0043024,IGI
2023-05-31,16.25,16.39,16.25,16.33,16.33,34048,34000,0.08,0.49231,16.29,"May 31, 23",0.0049231,IGI
2023-05-30,16.19,16.3,16.19,16.25,16.25,14402,14400,0.06,0.3706,16.25,"May 30, 23",0.003706,IGI
2023-05-26,16.26,16.3,16.17,16.18,16.18,24990,25000,-0.08,-0.492,16.23,"May 26, 23",-0.00492,IGI
2023-05-25,16.16,16.37,16.13,16.29,16.290001,15948,15900,0.13,0.80446,16.27,"May 25, 23",0.0080446,IGI
2023-05-24,16.11,16.26,16.11,16.195,16.200001,32659,32700,0.085,0.52762,16.16,"May 24, 23",0.0052762,IGI
2023-05-23,16.24,16.3799,16.19,16.19,16.190001,25468,25500,-0.05,-0.30788,16.24,"May 23, 23",-0.0030788,IGI
2023-05-22,16.27,16.3899,16.27,16.31,16.309999,25515,25500,0.04,0.24585,16.31,"May 22, 23",0.0024585,IGI
2023-05-19,16.34,16.45,16.32,16.32,16.253,18182,18200,-0.02,-0.1224,16.36,"May 19, 23",-0.001224,IGI
2023-05-18,16.35,16.48,16.35,16.39,16.322712,15895,15900,0.04,0.24465,16.39,"May 18, 23",0.0024465,IGI
2023-05-17,16.52,16.68,16.36,16.38,16.312754,12009,12000,-0.14,-0.84746,16.5,"May 17, 23",-0.0084746,IGI
2023-05-16,16.58,16.7,16.5,16.5,16.432261,22811,22800,-0.08,-0.48251,16.57,"May 16, 23",-0.0048251,IGI
2023-05-15,16.73,16.77,16.48,16.56,16.492014,27394,27400,-0.17,-1.02,16.66,"May 15, 23",-0.0102,IGI
2023-05-12,16.6,16.7699,16.5803,16.73,16.661316,22034,22000,0.13,0.78313,16.65,"May 12, 23",0.0078313,IGI
2023-05-11,16.64,16.7149,16.56,16.56,16.492014,15267,15300,-0.08,-0.48077,16.67,"May 11, 23",-0.0048077,IGI
2023-05-10,16.47,16.79,16.47,16.64,16.571686,32337,32300,0.17,1.03,16.61,"May 10, 23",0.0103,IGI
2023-05-09,16.72,16.79,16.44,16.49,16.422302,22348,22300,-0.23,-1.38,16.59,"May 09, 23",-0.0138,IGI
