date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,13.82,13.94,13.79,13.93,13.93,2911632,2898211,0.11,0.79595,13.86,"July 11, 23",0.0079595,ING
2023-07-10,13.5,13.59,13.45,13.54,13.54,2972080,2972100,0.04,0.2963,13.52,"July 10, 23",0.002963,ING
2023-07-07,13.39,13.5988,13.39,13.54,13.54,1928957,1929000,0.15,1.12,13.52,"July 07, 23",0.0112,ING
2023-07-06,13.34,13.35,13.16,13.3,13.3,2511032,2511000,-0.04,-0.29985,13.27,"July 06, 23",-0.0029985,ING
2023-07-05,13.58,13.595,13.49,13.5,13.5,2119763,2119800,-0.08,-0.5891,13.53,"July 05, 23",-0.005891,ING
2023-07-03,13.61,13.68,13.5929,13.66,13.66,1329034,1329000,0.05,0.36738,13.64,"July 03, 23",0.0036738,ING
2023-06-30,13.53,13.57,13.425,13.47,13.47,2512013,2509300,-0.06,-0.44346,13.48,"June 30, 23",-0.0044346,ING
2023-06-29,13.18,13.28,13.16,13.25,13.25,3806980,3806800,0.07,0.53111,13.24,"June 29, 23",0.0053111,ING
2023-06-28,13.08,13.11,13.03,13.06,13.06,2927901,2927900,-0.02,-0.15291,13.06,"June 28, 23",-0.0015291,ING
2023-06-27,13.0,13.12,12.945,13.11,13.11,4157393,4157400,0.11,0.84615,13.06,"June 27, 23",0.0084615,ING
2023-06-26,12.82,12.925,12.8,12.82,12.82,2913073,2913100,0.0,0.0,12.83,"June 26, 23",0.0,ING
2023-06-23,12.7,12.73,12.64,12.64,12.64,3754452,3754400,-0.06,-0.47244,12.69,"June 23, 23",-0.0047244,ING
2023-06-22,13.22,13.22,13.1,13.13,13.13,3433961,3434000,-0.09,-0.68079,13.14,"June 22, 23",-0.0068079,ING
2023-06-21,13.35,13.475,13.315,13.43,13.43,2166127,2166100,0.08,0.59925,13.42,"June 21, 23",0.0059925,ING
2023-06-20,13.38,13.385,13.28,13.35,13.35,2148398,2148400,-0.03,-0.22422,13.33,"June 20, 23",-0.0022422,ING
2023-06-16,13.44,13.45,13.35,13.4,13.4,2444847,2444800,-0.04,-0.29762,13.39,"June 16, 23",-0.0029762,ING
2023-06-15,13.25,13.37,13.25,13.36,13.36,2399958,2400000,0.11,0.83019,13.31,"June 15, 23",0.0083019,ING
2023-06-14,13.34,13.4,13.15,13.2,13.2,3409294,3409200,-0.14,-1.05,13.3,"June 14, 23",-0.0105,ING
2023-06-13,13.04,13.13,13.04,13.08,13.08,2341858,2341800,0.04,0.30675,13.09,"June 13, 23",0.0030675,ING
2023-06-12,12.99,13.045,12.91,12.98,12.98,2306155,2306200,-0.01,-0.07698229,12.97,"June 12, 23",-0.0007698229,ING
2023-06-09,12.96,13.01,12.93,12.96,12.96,2922862,2922900,0.0,0.0,12.97,"June 09, 23",0.0,ING
2023-06-08,13.11,13.17,13.015,13.14,13.14,2511108,2511100,0.03,0.22883,13.11,"June 08, 23",0.0022883,ING
2023-06-07,12.92,12.98,12.865,12.93,12.93,1929840,1929700,0.01,0.07739938,12.92,"June 07, 23",0.0007739938,ING
2023-06-06,12.74,12.93,12.725,12.93,12.93,2271562,2271600,0.19,1.49,12.87,"June 06, 23",0.0149,ING
2023-06-05,12.76,12.77,12.61,12.67,12.67,2496538,2287700,-0.09,-0.70533,12.68,"June 05, 23",-0.0070533,ING
2023-06-02,12.78,12.88,12.76,12.86,12.86,2308743,2308700,0.08,0.62598,12.82,"June 02, 23",0.0062598,ING
2023-06-01,12.44,12.58,12.415,12.54,12.54,2112179,2112200,0.1,0.80386,12.52,"June 01, 23",0.0080386,ING
2023-05-31,12.4,12.41,12.21,12.27,12.27,2651204,2651200,-0.13,-1.05,12.29,"May 31, 23",-0.0105,ING
2023-05-30,12.68,12.7,12.47,12.58,12.58,2946274,2946300,-0.1,-0.78864,12.57,"May 30, 23",-0.0078864,ING
2023-05-26,12.93,13.01,12.89,12.98,12.98,3490415,3490400,0.05,0.3867,12.97,"May 26, 23",0.003867,ING
2023-05-25,12.83,12.875,12.74,12.82,12.82,2798986,2799000,-0.01,-0.07794232,12.81,"May 25, 23",-0.0007794232,ING
2023-05-24,12.94,12.95,12.82,12.83,12.83,2462427,2462400,-0.11,-0.85008,12.87,"May 24, 23",-0.0085008,ING
2023-05-23,13.11,13.19,13.03,13.03,13.03,2127119,2127100,-0.08,-0.61022,13.11,"May 23, 23",-0.0061022,ING
2023-05-22,12.99,13.07,12.97,13.03,13.03,2169626,2169600,0.04,0.30793,13.03,"May 22, 23",0.0030793,ING
2023-05-19,13.1,13.135,12.9599,13.01,13.01,2188542,2188500,-0.09,-0.68702,13.04,"May 19, 23",-0.0068702,ING
2023-05-18,13.05,13.07,12.91,13.03,13.03,2867633,2867600,-0.02,-0.15326,13.01,"May 18, 23",-0.0015326,ING
2023-05-17,12.89,13.055,12.85,13.01,13.01,3097872,3097900,0.12,0.93095,12.95,"May 17, 23",0.0093095,ING
2023-05-16,12.94,12.96,12.715,12.73,12.73,3087516,3087500,-0.21,-1.62,12.82,"May 16, 23",-0.0162,ING
2023-05-15,12.6,12.79,12.58,12.73,12.73,3273245,3273200,0.13,1.03,12.68,"May 15, 23",0.0103,ING
2023-05-12,12.83,12.86,12.61,12.69,12.69,3710444,3710400,-0.14,-1.09,12.72,"May 12, 23",-0.0109,ING
2023-05-11,12.4,12.6775,12.36,12.66,12.66,3845837,3845800,0.26,2.1,12.55,"May 11, 23",0.021,ING
2023-05-10,12.3,12.31,12.02,12.14,12.14,3367960,3368000,-0.16,-1.3,12.15,"May 10, 23",-0.013,ING
2023-05-09,12.21,12.33,12.175,12.29,12.29,2691423,2691400,0.08,0.6552,12.25,"May 09, 23",0.006552,ING
2023-05-08,12.53,12.55,12.4315,12.45,12.45,3038313,3038300,-0.08,-0.63847,12.48,"May 08, 23",-0.0063847,ING
2023-05-05,12.27,12.455,12.245,12.43,12.43,3567280,3567100,0.16,1.3,12.35,"May 05, 23",0.013,ING
2023-05-04,12.0,12.085,11.78,11.98,11.98,6048524,6048500,-0.02,-0.16667,11.92,"May 04, 23",-0.0016667,ING
2023-05-03,12.07,12.315,12.05,12.11,12.11,6167405,6167400,0.04,0.3314,12.18,"May 03, 23",0.003314,ING
2023-05-02,12.4,12.4,12.05,12.17,12.17,3947853,3947900,-0.23,-1.85,12.17,"May 02, 23",-0.0185,ING
2023-05-01,12.4,12.525,12.3,12.3,12.3,2611525,2611500,-0.1,-0.80645,12.4,"May 01, 23",-0.0080645,ING
2023-04-28,12.18,12.38,12.15,12.38,12.38,3881761,3881800,0.2,1.64,12.32,"April 28, 23",0.0164,ING
2023-04-27,12.46,12.67,12.44,12.64,12.64,2790901,2790900,0.18,1.44,12.56,"April 27, 23",0.0144,ING
2023-04-26,12.26,12.3975,12.2014,12.25,12.25,3730214,3730200,-0.01,-0.08156607,12.28,"April 26, 23",-0.0008156607,ING
2023-04-25,12.66,12.675,12.36,12.38,11.97,3827591,3827600,-0.28,-2.21,12.51,"April 25, 23",-0.0221,ING
2023-04-24,12.9,13.04,12.89,13.03,12.598473,2186342,2186300,0.13,1.01,13.0,"April 24, 23",0.0101,ING
2023-04-21,12.82,12.9,12.785,12.9,12.472778,2100930,2100900,0.08,0.62402,12.86,"April 21, 23",0.0062402,ING
2023-04-20,13.04,13.115,12.99,13.06,12.62748,2770201,2770200,0.02,0.15337,13.05,"April 20, 23",0.0015337,ING
2023-04-19,13.14,13.345,13.14,13.33,12.888537,5007688,5007600,0.19,1.45,13.25,"April 19, 23",0.0145,ING
2023-04-18,13.22,13.25,13.15,13.22,12.782181,5591957,5592000,0.0,0.0,13.2,"April 18, 23",0.0,ING
2023-04-17,12.88,12.98,12.825,12.96,12.530791,3864160,3864200,0.08,0.62112,12.91,"April 17, 23",0.0062112,ING
2023-04-14,13.14,13.2,13.09,13.17,12.733837,3454460,3454500,0.03,0.22831,13.15,"April 14, 23",0.0022831,ING
2023-04-13,12.73,12.82,12.7,12.81,12.385759,2730039,2730000,0.08,0.62844,12.78,"April 13, 23",0.0062844,ING
2023-04-12,12.65,12.699,12.535,12.62,12.202051,4748906,4748900,-0.03,-0.23715,12.63,"April 12, 23",-0.0023715,ING
2023-04-11,12.53,12.595,12.515,12.55,12.13437,3653950,3654000,0.02,0.15962,12.56,"April 11, 23",0.0015962,ING
2023-04-10,12.35,12.4275,12.27,12.38,11.97,3184463,3184500,0.03,0.24291,12.35,"April 10, 23",0.0024291,ING
2023-04-06,12.3,12.5,12.285,12.43,12.018344,2880923,2880900,0.13,1.06,12.41,"April 06, 23",0.0106,ING
2023-04-05,12.13,12.22,12.035,12.15,11.747617,3301825,3301800,0.02,0.16488,12.11,"April 05, 23",0.0016488,ING
2023-04-04,12.35,12.38,12.14,12.26,11.853974,7524886,7524900,-0.09,-0.72874,12.23,"April 04, 23",-0.0072874,ING
2023-04-03,12.17,12.26,12.05,12.13,11.728279,3238591,3238600,-0.04,-0.32868,12.14,"April 03, 23",-0.0032868,ING
2023-03-31,11.8,11.9,11.79,11.87,11.47689,3524018,3524000,0.07,0.59322,11.84,"March 31, 23",0.0059322,ING
2023-03-30,12.06,12.06,11.8101,11.86,11.46722,3801828,3801800,-0.2,-1.66,11.91,"March 30, 23",-0.0166,ING
2023-03-29,11.83,11.83,11.705,11.79,11.399539,3061783,3061800,-0.04,-0.33812,11.77,"March 29, 23",-0.0033812,ING
2023-03-28,11.44,11.64,11.38,11.56,11.177156,4373554,4373600,0.12,1.05,11.56,"March 28, 23",0.0105,ING
2023-03-27,11.52,11.585,11.315,11.47,11.090137,8494676,8494700,-0.05,-0.43403,11.44,"March 27, 23",-0.0043403,ING
2023-03-24,11.14,11.31,11.0,11.29,10.916099,5546102,5546100,0.15,1.35,11.15,"March 24, 23",0.0135,ING
2023-03-23,11.86,11.88,11.38,11.45,11.070799,4925443,4925400,-0.41,-3.46,11.63,"March 23, 23",-0.0346,ING
2023-03-22,12.06,12.115,11.77,11.77,11.380202,4698080,4698100,-0.29,-2.4,11.96,"March 22, 23",-0.024,ING
2023-03-21,11.95,12.065,11.875,11.95,11.55424,5597593,5597600,0.0,0.0,11.97,"March 21, 23",0.0,ING
2023-03-20,11.04,11.388,11.015,11.28,10.906429,11401454,11401500,0.24,2.17,11.21,"March 20, 23",0.0217,ING
2023-03-17,11.45,11.5,11.075,11.21,10.838748,7911772,7911800,-0.24,-2.1,11.22,"March 17, 23",-0.021,ING
2023-03-16,11.35,11.885,11.32,11.83,11.438214,11723046,11654800,0.48,4.23,11.64,"March 16, 23",0.0423,ING
2023-03-15,11.32,11.668,11.26,11.59,11.206163,9463592,9463600,0.27,2.39,11.49,"March 15, 23",0.0239,ING
2023-03-14,12.86,12.905,12.59,12.69,12.269732,9313396,9313400,-0.17,-1.32,12.77,"March 14, 23",-0.0132,ING
2023-03-13,12.31,12.69,12.24,12.42,12.008676,14621706,14621700,0.11,0.89358,12.5,"March 13, 23",0.0089358,ING
2023-03-10,13.19,13.245,12.885,12.98,12.550129,7488458,7488400,-0.21,-1.59,13.08,"March 10, 23",-0.0159,ING
2023-03-09,13.73,13.795,13.5,13.51,13.062576,5034433,5034400,-0.22,-1.6,13.64,"March 09, 23",-0.016,ING
2023-03-08,13.88,13.98,13.85,13.91,13.449329,2408195,2408200,0.03,0.21614,13.9,"March 08, 23",0.0021614,ING
2023-03-07,14.12,14.12,13.86,13.88,13.420323,2744909,2744800,-0.24,-1.7,13.95,"March 07, 23",-0.017,ING
2023-03-06,14.31,14.38,14.28,14.33,13.85542,1550365,1550400,0.02,0.13976,14.33,"March 06, 23",0.0013976,ING
2023-03-03,14.09,14.32,14.07,14.32,13.845751,2696729,2696700,0.23,1.63,14.23,"March 03, 23",0.0163,ING
2023-03-02,13.84,13.955,13.8,13.94,13.478335,2367292,2367300,0.1,0.72254,13.88,"March 02, 23",0.0072254,ING
2023-03-01,14.24,14.28,14.03,14.09,13.623368,3396144,3396100,-0.15,-1.05,14.14,"March 01, 23",-0.0105,ING
2023-02-28,14.21,14.22,13.97,13.97,13.507342,3049196,3049200,-0.24,-1.69,14.08,"February 28, 23",-0.0169,ING
2023-02-27,13.93,13.98,13.86,13.9,13.43966,2162230,2162200,-0.03,-0.21536,13.9,"February 27, 23",-0.0021536,ING
2023-02-24,13.69,13.765,13.62,13.67,13.217278,3243569,3243500,-0.02,-0.14609,13.68,"February 24, 23",-0.0014609,ING
2023-02-23,13.76,13.85,13.7325,13.83,13.371979,3390027,3390000,0.07,0.50872,13.79,"February 23, 23",0.0050872,ING
2023-02-22,13.61,13.675,13.52,13.61,13.159265,3026962,3027000,0.0,0.0,13.6,"February 22, 23",0.0,ING
2023-02-21,13.92,14.035,13.81,13.85,13.391316,3383618,3383600,-0.07,-0.50287,13.9,"February 21, 23",-0.0050287,ING
