date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.22,3.25,3.0501,3.08,3.08,2055716,1985320,-0.14,-4.35,3.13,"July 11, 23",-0.0435,KIND
2023-07-10,3.24,3.26,3.18,3.23,3.23,1211676,1211700,-0.01,-0.30864,3.23,"July 10, 23",-0.0030864,KIND
2023-07-07,3.16,3.25,3.16,3.24,3.24,1344720,1344700,0.08,2.53,3.23,"July 07, 23",0.0253,KIND
2023-07-06,3.19,3.22,3.145,3.2,3.2,1206830,1206400,0.01,0.31348,3.19,"July 06, 23",0.0031348,KIND
2023-07-05,3.3,3.315,3.1998,3.24,3.24,1555579,1555600,-0.06,-1.82,3.25,"July 05, 23",-0.0182,KIND
2023-07-03,3.29,3.38,3.29,3.31,3.31,909768,909800,0.02,0.6079,3.33,"July 03, 23",0.006079,KIND
2023-06-30,3.35,3.415,3.235,3.26,3.26,2507671,2506900,-0.09,-2.69,3.31,"June 30, 23",-0.0269,KIND
2023-06-29,3.26,3.35,3.2,3.35,3.35,2763195,2763200,0.09,2.76,3.3,"June 29, 23",0.0276,KIND
2023-06-28,3.0,3.3,2.98,3.22,3.22,7146575,7146600,0.22,7.33,3.15,"June 28, 23",0.0733,KIND
2023-06-27,2.95,3.025,2.9,2.98,2.98,1738880,1738900,0.03,1.02,2.97,"June 27, 23",0.0102,KIND
2023-06-26,3.04,3.15,2.99,3.01,3.01,3035336,3035300,-0.03,-0.98684,3.06,"June 26, 23",-0.0098684,KIND
2023-06-23,2.93,3.05,2.81,3.02,3.02,21421744,21421600,0.09,3.07,3.01,"June 23, 23",0.0307,KIND
2023-06-22,2.92,3.02,2.87,2.98,2.98,2438606,2438600,0.06,2.05,2.96,"June 22, 23",0.0205,KIND
2023-06-21,2.87,2.9,2.81,2.89,2.89,1312936,1312900,0.02,0.69686,2.87,"June 21, 23",0.0069686,KIND
2023-06-20,2.85,2.93,2.845,2.9,2.9,1172837,1172800,0.05,1.75,2.89,"June 20, 23",0.0175,KIND
2023-06-16,2.9,2.94,2.87,2.9,2.9,1693918,1693900,0.0,0.0,2.91,"June 16, 23",0.0,KIND
2023-06-15,2.83,2.95,2.765,2.92,2.92,1201312,1201300,0.09,3.18,2.89,"June 15, 23",0.0318,KIND
2023-06-14,2.91,2.91,2.78,2.84,2.84,1106612,1106400,-0.07,-2.41,2.85,"June 14, 23",-0.0241,KIND
2023-06-13,2.9,2.96,2.86,2.95,2.95,1031314,1031300,0.05,1.72,2.93,"June 13, 23",0.0172,KIND
