date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.92,0.9904,0.905,0.98,0.98,230733,230724,0.06,6.52,0.9503,"July 11, 23",0.0652,KPLT
2023-07-10,0.93,0.96,0.91,0.9247,0.925,110517,110500,-0.0053,-0.56989,0.9394,"July 10, 23",-0.0056989,KPLT
2023-07-07,0.9016,0.9439,0.89,0.93,0.93,94122,94100,0.0284,3.15,0.9167,"July 07, 23",0.0315,KPLT
2023-07-06,0.945,0.99,0.8682,0.9245,0.925,170391,170400,-0.0205,-2.17,0.94,"July 06, 23",-0.0217,KPLT
2023-07-05,0.8662,0.9889,0.8662,0.9399,0.94,230786,230600,0.0737,8.51,0.9332,"July 05, 23",0.0851,KPLT
2023-07-03,0.9,0.9128,0.803501,0.8645,0.865,59126,59100,-0.0355,-3.94,0.8589,"July 03, 23",-0.0394,KPLT
2023-06-30,0.9,0.9128,0.85,0.9,0.9,87760,86200,0.0,0.0,0.891,"June 30, 23",0.0,KPLT
2023-06-29,0.811813,0.9,0.8,0.9,0.9,74068,74000,0.088187,10.86,0.8574,"June 29, 23",0.1086,KPLT
2023-06-28,0.83,0.8599,0.8099,0.8099,0.81,83589,83600,-0.0201,-2.42,0.8317,"June 28, 23",-0.0242,KPLT
2023-06-27,0.8051,0.86,0.801,0.805,0.805,116385,116400,-0.0001,-0.01242082,0.8274,"June 27, 23",-0.0001242082,KPLT
2023-06-26,0.8202,0.86,0.8107,0.83,0.83,76645,76600,0.0098,1.19,0.8389,"June 26, 23",0.0119,KPLT
2023-06-23,0.87,0.8799,0.8202,0.8202,0.82,162519,162500,-0.0498,-5.72,0.8425,"June 23, 23",-0.0572,KPLT
2023-06-22,0.845,0.88,0.8052,0.86,0.86,107189,106700,0.015,1.78,0.8556,"June 22, 23",0.0178,KPLT
2023-06-21,0.81,0.88,0.81,0.85,0.85,100372,100400,0.04,4.94,0.8499,"June 21, 23",0.0494,KPLT
2023-06-20,0.867,0.8699,0.7613,0.8212,0.821,163848,163800,-0.0458,-5.28,0.8103,"June 20, 23",-0.0528,KPLT
2023-06-16,0.74,0.88,0.72,0.8748,0.875,279374,278100,0.1348,18.22,0.8201,"June 16, 23",0.1822,KPLT
2023-06-15,0.6301,0.76,0.63,0.75,0.75,257816,257800,0.1199,19.03,0.7034,"June 15, 23",0.1903,KPLT
2023-06-14,0.61,0.6473,0.61,0.6306,0.631,89777,89800,0.0206,3.38,0.6209,"June 14, 23",0.0338,KPLT
2023-06-13,0.5718,0.63,0.5718,0.61,0.61,154361,154400,0.0382,6.68,0.602,"June 13, 23",0.0668,KPLT
2023-06-12,0.61,0.648,0.58,0.61,0.61,122301,122300,0.0,0.0,0.6109,"June 12, 23",0.0,KPLT
2023-06-09,0.7,0.7099,0.601,0.62,0.62,248448,248400,-0.08,-11.43,0.6391,"June 09, 23",-0.1143,KPLT
2023-06-08,0.69,0.7133,0.6406,0.69,0.69,110144,110100,0.0,0.0,0.6711,"June 08, 23",0.0,KPLT
2023-06-07,0.655,0.7979,0.655,0.69,0.69,526544,526400,0.035,5.34,0.7216,"June 07, 23",0.0534,KPLT
2023-06-06,0.57,0.65,0.57,0.63,0.63,167401,167400,0.06,10.53,0.6151,"June 06, 23",0.1053,KPLT
2023-06-05,0.56,0.58,0.5406,0.5704,0.57,124525,124500,0.0104,1.86,0.5682,"June 05, 23",0.0186,KPLT
2023-06-02,0.5292,0.57,0.52,0.564,0.564,45926,45800,0.0348,6.58,0.5608,"June 02, 23",0.0658,KPLT
2023-06-01,0.51,0.5492,0.45,0.54,0.54,131111,131100,0.03,5.88,0.5148,"June 01, 23",0.0588,KPLT
2023-05-31,0.525,0.55,0.4912,0.4912,0.491,68567,68400,-0.0338,-6.44,0.5133,"May 31, 23",-0.0644,KPLT
2023-05-30,0.56,0.6,0.5102,0.525,0.525,79677,79600,-0.035,-6.25,0.5403,"May 30, 23",-0.0625,KPLT
2023-05-26,0.56,0.6,0.5402,0.55,0.55,70629,70600,-0.01,-1.79,0.5482,"May 26, 23",-0.0179,KPLT
2023-05-25,0.5975,0.6,0.54,0.5502,0.55,153178,153100,-0.0473,-7.92,0.5676,"May 25, 23",-0.0792,KPLT
2023-05-24,0.62,0.6333,0.57,0.6095,0.61,122013,122000,-0.0105,-1.69,0.5875,"May 24, 23",-0.0169,KPLT
2023-05-23,0.6017,0.6198,0.58,0.608,0.608,92602,92600,0.0063,1.05,0.6016,"May 23, 23",0.0105,KPLT
2023-05-22,0.629,0.63,0.5929,0.61,0.61,129365,129400,-0.019,-3.02,0.6024,"May 22, 23",-0.0302,KPLT
2023-05-19,0.62,0.64,0.580101,0.629,0.629,24792,24800,0.009,1.45,0.6047,"May 19, 23",0.0145,KPLT
2023-05-18,0.6,0.63,0.558,0.61,0.61,230787,230800,0.01,1.67,0.6003,"May 18, 23",0.0167,KPLT
2023-05-17,0.61,0.624399,0.59005,0.612,0.612,143314,143300,0.002,0.32787,0.6074,"May 17, 23",0.0032787,KPLT
2023-05-16,0.72,0.7201,0.565026,0.5863,0.586,368668,368500,-0.1337,-18.57,0.6237,"May 16, 23",-0.1857,KPLT
2023-05-15,0.7,0.7288,0.7,0.72,0.72,49851,49900,0.02,2.86,0.7115,"May 15, 23",0.0286,KPLT
2023-05-12,0.6681,0.7161,0.6411,0.69,0.69,175176,175200,0.0219,3.28,0.6893,"May 12, 23",0.0328,KPLT
2023-05-11,0.7,0.73,0.63,0.6701,0.67,552239,552100,-0.0299,-4.27,0.6962,"May 11, 23",-0.0427,KPLT
2023-05-10,0.6201,0.64,0.5861,0.631,0.631,279417,279400,0.0109,1.76,0.6253,"May 10, 23",0.0176,KPLT
2023-05-09,0.64,0.64,0.6015,0.6099,0.61,66529,66500,-0.0301,-4.7,0.6163,"May 09, 23",-0.047,KPLT
2023-05-08,0.64,0.65,0.5929,0.63,0.63,126851,126800,-0.01,-1.56,0.6327,"May 08, 23",-0.0156,KPLT
2023-05-05,0.5821,0.63,0.5719,0.6268,0.627,186180,186200,0.0447,7.68,0.6066,"May 05, 23",0.0768,KPLT
2023-05-04,0.61,0.65,0.5673,0.59,0.59,185395,185400,-0.02,-3.28,0.6077,"May 04, 23",-0.0328,KPLT
2023-05-03,0.51,0.65,0.488,0.5949,0.595,237622,237600,0.0849,16.65,0.5657,"May 03, 23",0.1665,KPLT
2023-05-02,0.477,0.513,0.46,0.5066,0.507,90853,90900,0.0296,6.21,0.4902,"May 02, 23",0.0621,KPLT
2023-05-01,0.49,0.5,0.45,0.4814,0.481,116490,116500,-0.0086,-1.76,0.4689,"May 01, 23",-0.0176,KPLT
2023-04-28,0.4765,0.495,0.45,0.45,0.45,257879,257900,-0.0265,-5.56,0.4612,"April 28, 23",-0.0556,KPLT
2023-04-27,0.5,0.51,0.4783,0.49,0.49,95229,95200,-0.01,-2.0,0.487,"April 27, 23",-0.02,KPLT
2023-04-26,0.49,0.515,0.461,0.51,0.51,88696,88700,0.02,4.08,0.4888,"April 26, 23",0.0408,KPLT
2023-04-25,0.487,0.51,0.487,0.51,0.51,95258,95300,0.023,4.72,0.4976,"April 25, 23",0.0472,KPLT
2023-04-24,0.4915,0.51,0.4577,0.497,0.497,75195,75200,0.0055,1.12,0.4955,"April 24, 23",0.0112,KPLT
2023-04-21,0.4946,0.5029,0.45,0.4964,0.496,184435,184400,0.0018,0.36393,0.481,"April 21, 23",0.0036393,KPLT
2023-04-20,0.4656,0.51,0.44,0.5099,0.51,142800,142800,0.0443,9.51,0.4854,"April 20, 23",0.0951,KPLT
2023-04-19,0.5,0.5098,0.4376,0.48,0.48,367418,367400,-0.02,-4.0,0.4618,"April 19, 23",-0.04,KPLT
2023-04-18,0.5,0.5443,0.5,0.51,0.51,220114,220100,0.01,2.0,0.5169,"April 18, 23",0.02,KPLT
2023-04-17,0.4651,0.5088,0.4651,0.4907,0.491,116794,116800,0.0256,5.5,0.4826,"April 17, 23",0.055,KPLT
2023-04-14,0.4799,0.4998,0.4624,0.4654,0.465,44415,44400,-0.0145,-3.02,0.4773,"April 14, 23",-0.0302,KPLT
2023-04-13,0.455,0.49,0.455,0.4799,0.48,47376,47400,0.0249,5.47,0.4708,"April 13, 23",0.0547,KPLT
2023-04-12,0.4658,0.4899,0.455,0.455,0.455,55100,55100,-0.0108,-2.32,0.4677,"April 12, 23",-0.0232,KPLT
2023-04-11,0.47,0.495,0.45,0.47,0.47,130444,130200,0.0,0.0,0.4767,"April 11, 23",0.0,KPLT
2023-04-10,0.42,0.48,0.42,0.466,0.466,175257,175300,0.046,10.95,0.4577,"April 10, 23",0.1095,KPLT
2023-04-06,0.42,0.44,0.42,0.4304,0.43,71697,71700,0.0104,2.48,0.4314,"April 06, 23",0.0248,KPLT
2023-04-05,0.43,0.4425,0.4201,0.421,0.421,92250,92200,-0.009,-2.09,0.4312,"April 05, 23",-0.0209,KPLT
2023-04-04,0.4346,0.4676,0.415,0.4301,0.43,234813,234800,-0.0045,-1.04,0.4463,"April 04, 23",-0.0104,KPLT
2023-04-03,0.46,0.465,0.4313,0.4443,0.444,169648,169600,-0.0157,-3.41,0.4472,"April 03, 23",-0.0341,KPLT
2023-03-31,0.41,0.455,0.41,0.4458,0.446,202330,202100,0.0358,8.73,0.4414,"March 31, 23",0.0873,KPLT
2023-03-30,0.4648,0.4678,0.4001,0.4224,0.422,261510,261500,-0.0424,-9.12,0.4381,"March 30, 23",-0.0912,KPLT
2023-03-29,0.4604,0.475,0.4604,0.461,0.461,145352,145300,0.0006,0.13032,0.464,"March 29, 23",0.0013032,KPLT
2023-03-28,0.46,0.49,0.46,0.465,0.465,75315,75300,0.005,1.09,0.4727,"March 28, 23",0.0109,KPLT
2023-03-27,0.47,0.5078,0.47,0.47,0.47,57099,57100,0.0,0.0,0.493,"March 27, 23",0.0,KPLT
2023-03-24,0.4919,0.4919,0.4277,0.4701,0.47,94819,94800,-0.0218,-4.43,0.4581,"March 24, 23",-0.0443,KPLT
2023-03-23,0.4935,0.5443,0.47,0.4833,0.483,255172,255200,-0.0102,-2.07,0.493,"March 23, 23",-0.0207,KPLT
2023-03-22,0.5,0.514,0.47,0.4711,0.471,238514,238500,-0.0289,-5.78,0.5031,"March 22, 23",-0.0578,KPLT
2023-03-21,0.49,0.5166,0.4601,0.5,0.5,165986,166000,0.01,2.04,0.4956,"March 21, 23",0.0204,KPLT
2023-03-20,0.4915,0.4999,0.45,0.4602,0.46,282718,282600,-0.0313,-6.37,0.4677,"March 20, 23",-0.0637,KPLT
2023-03-17,0.54,0.575,0.4776,0.4801,0.48,372700,371500,-0.0599,-11.09,0.5164,"March 17, 23",-0.1109,KPLT
2023-03-16,0.556,0.58,0.55,0.5501,0.55,209858,207200,-0.0059,-1.06,0.5585,"March 16, 23",-0.0106,KPLT
2023-03-15,0.646,0.646,0.523,0.54,0.54,313116,313100,-0.106,-16.41,0.563,"March 15, 23",-0.1641,KPLT
2023-03-14,0.65,0.68,0.6127,0.6424,0.642,245831,245700,-0.0076,-1.17,0.6462,"March 14, 23",-0.0117,KPLT
2023-03-13,0.7075,0.71,0.55,0.6348,0.635,872657,872700,-0.0727,-10.28,0.6103,"March 13, 23",-0.1028,KPLT
2023-03-10,0.79,0.8168,0.7,0.7131,0.713,1120787,1120600,-0.0769,-9.73,0.7338,"March 10, 23",-0.0973,KPLT
2023-03-09,0.995,1.0,0.8,0.8001,0.8,1285963,1286000,-0.1949,-19.59,0.829,"March 09, 23",-0.1959,KPLT
2023-03-08,1.0,1.03,1.0,1.01,1.01,162756,162800,0.01,1.0,1.0,"March 08, 23",0.01,KPLT
2023-03-07,1.0134,1.02,0.98,1.0,1.0,147245,147100,-0.0134,-1.32,1.01,"March 07, 23",-0.0132,KPLT
2023-03-06,1.02,1.06,1.0,1.02,1.02,216547,216500,0.0,0.0,1.04,"March 06, 23",0.0,KPLT
2023-03-03,1.01,1.02,0.98,1.02,1.02,99853,99800,0.01,0.9901,1.01,"March 03, 23",0.009901,KPLT
2023-03-02,0.97,1.02,0.97,1.0,1.0,184398,184400,0.03,3.09,0.9957,"March 02, 23",0.0309,KPLT
2023-03-01,0.97,1.0,0.9409,0.985,0.985,78469,78500,0.015,1.55,0.9669,"March 01, 23",0.0155,KPLT
2023-02-28,0.95,0.98,0.933,0.9674,0.967,131407,131400,0.0174,1.83,0.9635,"February 28, 23",0.0183,KPLT
2023-02-27,0.9299,0.97,0.9115,0.95,0.95,78909,78900,0.0201,2.16,0.9364,"February 27, 23",0.0216,KPLT
2023-02-24,0.92,0.97,0.9,0.9285,0.929,156223,156200,0.0085,0.92391,0.9214,"February 24, 23",0.0092391,KPLT
2023-02-23,0.95,1.01,0.92,0.93,0.93,168184,168200,-0.02,-2.11,0.9604,"February 23, 23",-0.0211,KPLT
2023-02-22,0.9331,1.06,0.9331,0.95,0.95,243564,243600,0.0169,1.81,0.9979,"February 22, 23",0.0181,KPLT
2023-02-21,0.94,0.98,0.92,0.92,0.92,132023,132000,-0.02,-2.13,0.9475,"February 21, 23",-0.0213,KPLT
2023-02-17,0.9574,0.965,0.935,0.948,0.948,57292,57200,-0.0094,-0.98183,0.9519,"February 17, 23",-0.0098183,KPLT
2023-02-16,0.94,1.0,0.94,0.9574,0.957,113248,113200,0.0174,1.85,0.9808,"February 16, 23",0.0185,KPLT
2023-02-15,0.9631,1.0,0.9,0.96,0.96,315439,315400,-0.0031,-0.32188,0.9454,"February 15, 23",-0.0032188,KPLT
2023-02-14,0.98,0.98,0.91,0.9631,0.963,158143,158100,-0.0169,-1.72,0.9388,"February 14, 23",-0.0172,KPLT
2023-02-13,1.0,1.0,0.96,0.9763,0.976,133688,133700,-0.0237,-2.37,0.9729,"February 13, 23",-0.0237,KPLT
2023-02-10,1.02,1.02,0.95,0.9625,0.963,116609,116600,-0.0575,-5.64,0.9891,"February 10, 23",-0.0564,KPLT
2023-02-09,1.07,1.09,1.01,1.05,1.05,211873,211900,-0.02,-1.87,1.03,"February 09, 23",-0.0187,KPLT
2023-02-08,1.09,1.09,1.03,1.06,1.06,372335,372300,-0.03,-2.75,1.05,"February 08, 23",-0.0275,KPLT
2023-02-07,1.05,1.09,1.02,1.06,1.06,332132,332100,0.01,0.95238,1.06,"February 07, 23",0.0095238,KPLT
2023-02-06,1.06,1.09,1.03,1.05,1.05,101477,101500,-0.01,-0.9434,1.05,"February 06, 23",-0.009434,KPLT
2023-02-03,1.05,1.09,1.05,1.07,1.07,314367,314400,0.02,1.9,1.08,"February 03, 23",0.019,KPLT
2023-02-02,1.04,1.09,1.04,1.06,1.06,225222,225200,0.02,1.92,1.07,"February 02, 23",0.0192,KPLT
2023-02-01,0.99,1.05,0.9575,1.03,1.03,224841,224800,0.04,4.04,1.0,"February 01, 23",0.0404,KPLT
2023-01-31,0.955,1.0,0.945,0.98,0.98,146251,146200,0.025,2.62,0.9722,"January 31, 23",0.0262,KPLT
2023-01-30,0.9372,0.985,0.915,0.955,0.955,110721,110700,0.0178,1.9,0.9628,"January 30, 23",0.019,KPLT
2023-01-27,0.91,0.95,0.861,0.95,0.95,193007,193000,0.04,4.4,0.9139,"January 27, 23",0.044,KPLT
2023-01-26,0.93,0.985,0.8811,0.883,0.883,214740,214500,-0.047,-5.05,0.9253,"January 26, 23",-0.0505,KPLT
2023-01-25,1.02,1.022,0.9203,0.9345,0.935,356653,356700,-0.0855,-8.38,0.9553,"January 25, 23",-0.0838,KPLT
2023-01-24,1.07,1.08,1.02,1.02,1.02,141367,141400,-0.05,-4.67,1.05,"January 24, 23",-0.0467,KPLT
2023-01-23,1.01,1.09,1.0,1.07,1.07,143121,143100,0.06,5.94,1.04,"January 23, 23",0.0594,KPLT
2023-01-20,1.02,1.07,0.97,1.01,1.01,275724,275700,-0.01,-0.98039,1.02,"January 20, 23",-0.0098039,KPLT
2023-01-19,1.03,1.05,1.0,1.01,1.01,148968,149000,-0.02,-1.94,1.01,"January 19, 23",-0.0194,KPLT
2023-01-18,1.09,1.1107,1.0,1.03,1.03,274256,274200,-0.06,-5.5,1.04,"January 18, 23",-0.055,KPLT
2023-01-17,1.08,1.11,1.01,1.07,1.07,248140,247900,-0.01,-0.92593,1.07,"January 17, 23",-0.0092593,KPLT
2023-01-13,1.05,1.15,1.05,1.09,1.09,162394,162000,0.04,3.81,1.1,"January 13, 23",0.0381,KPLT
2023-01-12,1.02,1.07,1.02,1.07,1.07,99631,99600,0.05,4.9,1.05,"January 12, 23",0.049,KPLT
2023-01-11,1.03,1.1,1.02,1.03,1.03,213780,213800,0.0,0.0,1.06,"January 11, 23",0.0,KPLT
2023-01-10,1.06,1.09,0.9858,1.05,1.05,221633,221600,-0.01,-0.9434,1.03,"January 10, 23",-0.009434,KPLT
2023-01-09,0.9843,1.11,0.98,1.07,1.07,373670,373700,0.0857,8.71,1.05,"January 09, 23",0.0871,KPLT
2023-01-06,0.985,1.06,0.9813,0.9813,0.981,163566,163600,-0.0037,-0.37563,1.02,"January 06, 23",-0.0037563,KPLT
2023-01-05,0.9,1.03,0.885,1.01,1.01,345006,345000,0.11,12.22,0.9743,"January 05, 23",0.1222,KPLT
2023-01-04,0.89,0.945,0.865,0.9,0.9,480397,480400,0.01,1.12,0.8991,"January 04, 23",0.0112,KPLT
2023-01-03,0.9592,0.9895,0.8401,0.8849,0.885,335228,335200,-0.0743,-7.75,0.8791,"January 03, 23",-0.0775,KPLT
2022-12-30,0.831,0.9569,0.82,0.9567,0.957,643102,639200,0.1257,15.13,0.8637,"December 30, 22",0.1513,KPLT
2022-12-29,0.75,0.84,0.7468,0.8301,0.83,662953,663000,0.0801,10.68,0.801,"December 29, 22",0.1068,KPLT
2022-12-28,0.7902,0.7979,0.74,0.7468,0.747,288540,288500,-0.0434,-5.49,0.7591,"December 28, 22",-0.0549,KPLT
2022-12-27,0.835,0.835483,0.7849,0.7849,0.785,371462,371500,-0.0501,-6.0,0.8056,"December 27, 22",-0.06,KPLT
2022-12-23,0.8517,0.8799,0.802,0.8408,0.841,220351,220400,-0.0109,-1.28,0.8414,"December 23, 22",-0.0128,KPLT
2022-12-22,0.9,0.9429,0.855,0.8691,0.869,256222,256200,-0.0309,-3.43,0.8922,"December 22, 22",-0.0343,KPLT
2022-12-21,0.85,0.95,0.85,0.8948,0.895,225386,225400,0.0448,5.27,0.8994,"December 21, 22",0.0527,KPLT
2022-12-20,0.86,0.885,0.8402,0.855,0.855,187597,187600,-0.005,-0.5814,0.859,"December 20, 22",-0.005814,KPLT
2022-12-19,0.8501,0.9,0.83,0.83,0.83,449944,449900,-0.0201,-2.36,0.8684,"December 19, 22",-0.0236,KPLT
2022-12-16,0.882,0.915,0.842,0.8501,0.85,388253,388300,-0.0319,-3.62,0.8771,"December 16, 22",-0.0362,KPLT
2022-12-15,0.95,0.97,0.86,0.86,0.86,349475,349200,-0.09,-9.47,0.902,"December 15, 22",-0.0947,KPLT
2022-12-14,1.01,1.07,0.943,0.95,0.95,292896,292900,-0.06,-5.94,1.01,"December 14, 22",-0.0594,KPLT
2022-12-13,1.11,1.15,1.0,1.01,1.01,355487,355500,-0.1,-9.01,1.05,"December 13, 22",-0.0901,KPLT
2022-12-12,1.18,1.21,1.08,1.08,1.08,173419,173400,-0.1,-8.47,1.12,"December 12, 22",-0.0847,KPLT
2022-12-09,1.21,1.25,1.18,1.18,1.18,211211,211200,-0.03,-2.48,1.19,"December 09, 22",-0.0248,KPLT
2022-12-08,1.2,1.26,1.18,1.24,1.24,209482,209500,0.04,3.33,1.21,"December 08, 22",0.0333,KPLT
2022-12-07,1.22,1.24,1.17,1.22,1.22,64009,64000,0.0,0.0,1.21,"December 07, 22",0.0,KPLT
2022-12-06,1.2,1.22,1.165,1.2,1.2,220434,220400,0.0,0.0,1.19,"December 06, 22",0.0,KPLT
2022-12-05,1.28,1.3,1.21,1.21,1.21,220123,220100,-0.07,-5.47,1.25,"December 05, 22",-0.0547,KPLT
2022-12-02,1.23,1.35,1.23,1.3,1.3,201644,201500,0.07,5.69,1.3,"December 02, 22",0.0569,KPLT
2022-12-01,1.1938,1.33,1.18,1.27,1.27,558724,558700,0.0762,6.38,1.28,"December 01, 22",0.0638,KPLT
2022-11-30,1.23,1.25,1.09,1.2,1.2,704878,704900,-0.03,-2.44,1.2,"November 30, 22",-0.0244,KPLT
2022-11-29,1.13,1.26,1.09,1.16,1.16,442559,442600,0.03,2.65,1.16,"November 29, 22",0.0265,KPLT
2022-11-28,0.945,1.18,0.945,1.18,1.18,950503,949600,0.235,24.87,1.12,"November 28, 22",0.2487,KPLT
2022-11-25,0.9167,0.9599,0.902,0.9599,0.96,226706,226700,0.0432,4.71,0.9272,"November 25, 22",0.0471,KPLT
2022-11-23,0.91,0.925,0.88,0.8975,0.898,248241,248200,-0.0125,-1.37,0.9011,"November 23, 22",-0.0137,KPLT
2022-11-22,0.91,0.9299,0.8801,0.9001,0.9,566229,566200,-0.0099,-1.09,0.9084,"November 22, 22",-0.0109,KPLT
2022-11-21,0.93,0.955,0.91,0.9201,0.92,98666,98700,-0.0099,-1.06,0.9353,"November 21, 22",-0.0106,KPLT
