date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,18.16,18.37,17.79,18.29,18.290001,22587,22397,0.13,0.71586,18.08,"July 11, 23",0.0071586,KRT
2023-07-10,18.09,18.215,17.7301,17.98,17.98,13027,13000,-0.11,-0.60807,18.04,"July 10, 23",-0.0060807,KRT
2023-07-07,18.17,18.5,17.94,18.09,18.09,40892,40900,-0.08,-0.44029,18.17,"July 07, 23",-0.0044029,KRT
2023-07-06,18.1,18.4,16.9,18.01,18.01,20923,20900,-0.09,-0.49724,17.85,"July 06, 23",-0.0049724,KRT
2023-07-05,18.45,18.45,18.08,18.09,18.09,15037,15000,-0.36,-1.95,18.17,"July 05, 23",-0.0195,KRT
2023-07-03,18.25,18.98,18.1082,18.5,18.5,11766,11800,0.25,1.37,18.22,"July 03, 23",0.0137,KRT
2023-06-30,18.26,18.475,18.175,18.25,18.25,13740,13700,-0.01,-0.05476451,18.26,"June 30, 23",-0.0005476451,KRT
2023-06-29,18.0,18.335,18.0,18.25,18.25,13666,13700,0.25,1.39,18.22,"June 29, 23",0.0139,KRT
2023-06-28,17.89,18.3,17.89,17.94,17.940001,17695,17700,0.05,0.27949,17.98,"June 28, 23",0.0027949,KRT
2023-06-27,18.0,18.15,17.96,18.02,18.02,20309,20300,0.02,0.11111,18.08,"June 27, 23",0.0011111,KRT
2023-06-26,17.53,18.555,17.53,18.04,18.040001,31519,31500,0.51,2.91,18.03,"June 26, 23",0.0291,KRT
2023-06-23,17.6,18.1964,17.11,17.76,17.76,66885,66900,0.16,0.90909,17.68,"June 23, 23",0.0090909,KRT
2023-06-22,18.1,18.1,17.31,17.6,17.6,18779,18800,-0.5,-2.76,17.65,"June 22, 23",-0.0276,KRT
2023-06-21,17.515,18.29,17.515,17.98,17.98,53650,53700,0.465,2.65,18.0,"June 21, 23",0.0265,KRT
2023-06-20,18.29,18.44,17.51,17.59,17.59,45179,45200,-0.7,-3.83,17.98,"June 20, 23",-0.0383,KRT
2023-06-16,18.2,18.32,17.88,18.29,18.290001,30444,30400,0.09,0.49451,18.19,"June 16, 23",0.0049451,KRT
2023-06-15,17.9,18.34,17.82,18.09,18.09,26374,26300,0.19,1.06,18.07,"June 15, 23",0.0106,KRT
2023-06-14,17.85,18.5,17.8151,17.93,17.93,39218,39200,0.08,0.44818,18.08,"June 14, 23",0.0044818,KRT
2023-06-13,17.55,18.0,17.34,17.84,17.84,23726,23700,0.29,1.65,17.71,"June 13, 23",0.0165,KRT
2023-06-12,16.91,17.58,16.82,17.55,17.549999,44967,45000,0.64,3.78,17.25,"June 12, 23",0.0378,KRT
2023-06-09,16.07,16.81,16.01,16.64,16.639999,29810,29800,0.57,3.55,16.49,"June 09, 23",0.0355,KRT
2023-06-08,16.1,16.1,15.73,16.08,16.08,38171,38200,-0.02,-0.12422,16.0,"June 08, 23",-0.0012422,KRT
2023-06-07,15.99,16.21,15.7,15.98,15.98,82311,82300,-0.01,-0.06253909,16.0,"June 07, 23",-0.0006253909,KRT
2023-06-06,16.0,16.73,15.75,15.95,15.95,131433,131400,-0.05,-0.3125,16.04,"June 06, 23",-0.003125,KRT
2023-06-05,16.08,16.08,15.85,15.93,15.93,18090,18100,-0.15,-0.93284,15.98,"June 05, 23",-0.0093284,KRT
