date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.73,0.77,0.7222,0.7575,0.7575,179637,178433,0.0275,3.77,0.7517,"July 11, 23",0.0377,KULR
2023-07-10,0.7547,0.78,0.72,0.7444,0.74,325088,325100,-0.0103,-1.36,0.7557,"July 10, 23",-0.0136,KULR
2023-07-07,0.74,0.773,0.66,0.7598,0.76,520072,518000,0.0198,2.68,0.7186,"July 07, 23",0.0268,KULR
2023-07-06,0.6873,0.87,0.67215,0.74,0.74,2570438,2570400,0.0527,7.67,0.7772,"July 06, 23",0.0767,KULR
2023-07-05,0.7105,0.7174,0.68,0.6873,0.69,128896,128900,-0.0232,-3.27,0.7015,"July 05, 23",-0.0327,KULR
2023-07-03,0.65,0.7101,0.6401,0.7101,0.71,272585,272600,0.0601,9.25,0.6788,"July 03, 23",0.0925,KULR
2023-06-30,0.6332,0.649,0.62,0.64,0.64,182659,180500,0.0068,1.07,0.6349,"June 30, 23",0.0107,KULR
2023-06-29,0.63,0.64,0.609,0.6332,0.63,206720,206700,0.0032,0.50794,0.627,"June 29, 23",0.0050794,KULR
2023-06-28,0.65,0.6597,0.63,0.63,0.63,181489,181500,-0.02,-3.08,0.6456,"June 28, 23",-0.0308,KULR
2023-06-27,0.6521,0.6689,0.64,0.65,0.65,132164,132100,-0.0021,-0.32204,0.6445,"June 27, 23",-0.0032204,KULR
2023-06-26,0.669,0.67,0.64,0.661,0.66,202145,202100,-0.008,-1.2,0.6514,"June 26, 23",-0.012,KULR
2023-06-23,0.67,0.69,0.6475,0.6475,0.65,235882,235900,-0.0225,-3.36,0.6625,"June 23, 23",-0.0336,KULR
2023-06-22,0.694,0.694,0.65,0.67,0.67,255920,255900,-0.024,-3.46,0.675,"June 22, 23",-0.0346,KULR
2023-06-21,0.7,0.704,0.6668,0.6794,0.68,205453,205500,-0.0206,-2.94,0.6864,"June 21, 23",-0.0294,KULR
2023-06-20,0.6767,0.6899,0.66,0.66,0.66,176027,174800,-0.0167,-2.47,0.6732,"June 20, 23",-0.0247,KULR
2023-06-16,0.6927,0.7199,0.683,0.6916,0.69,168159,168100,-0.0011,-0.1588,0.6926,"June 16, 23",-0.001588,KULR
2023-06-15,0.6856,0.74,0.68,0.6963,0.7,286872,286900,0.0107,1.56,0.7186,"June 15, 23",0.0156,KULR
2023-06-14,0.702,0.719899,0.6856,0.6989,0.7,216922,216900,-0.0031,-0.4416,0.7033,"June 14, 23",-0.004416,KULR
2023-06-13,0.7,0.715,0.685,0.7006,0.7,183254,183300,0.0006,0.08571429,0.7018,"June 13, 23",0.0008571429,KULR
2023-06-12,0.685,0.7128,0.67,0.6992,0.7,206173,206000,0.0142,2.07,0.6919,"June 12, 23",0.0207,KULR
2023-06-09,0.69,0.7,0.6551,0.68,0.68,281716,281300,-0.01,-1.45,0.6769,"June 09, 23",-0.0145,KULR
2023-06-08,0.73,0.73,0.670085,0.67425,0.67,155244,154400,-0.05575,-7.64,0.689,"June 08, 23",-0.0764,KULR
2023-06-07,0.7,0.725,0.69,0.71,0.71,327362,327400,0.01,1.43,0.7085,"June 07, 23",0.0143,KULR
2023-06-06,0.7061,0.7061,0.6711,0.6939,0.69,170255,170200,-0.0122,-1.73,0.6914,"June 06, 23",-0.0173,KULR
2023-06-05,0.67,0.6899,0.66,0.68,0.68,130759,108600,0.01,1.49,0.673,"June 05, 23",0.0149,KULR
2023-06-02,0.7,0.72,0.6501,0.6686,0.67,313413,310200,-0.0314,-4.49,0.6725,"June 02, 23",-0.0449,KULR
2023-06-01,0.69,0.705,0.68,0.7,0.7,111610,111600,0.01,1.45,0.6915,"June 01, 23",0.0145,KULR
2023-05-31,0.72,0.7284,0.67,0.67,0.67,246488,246500,-0.05,-6.94,0.6947,"May 31, 23",-0.0694,KULR
2023-05-30,0.7442,0.748,0.719,0.74,0.74,194759,194800,-0.0042,-0.56436,0.7291,"May 30, 23",-0.0056436,KULR
2023-05-26,0.73,0.749,0.72,0.749,0.75,155888,153900,0.019,2.6,0.7285,"May 26, 23",0.026,KULR
2023-05-25,0.73,0.75,0.712,0.72,0.72,269448,269400,-0.01,-1.37,0.7367,"May 25, 23",-0.0137,KULR
