date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,10.99,11.11,10.94,11.06,11.06,477006,416685,0.07,0.63694,11.05,"July 11, 23",0.0063694,LADR
2023-07-10,10.76,10.97,10.76,10.94,10.94,567822,567700,0.18,1.67,10.92,"July 10, 23",0.0167,LADR
2023-07-07,10.64,10.84,10.635,10.77,10.77,428954,429000,0.13,1.22,10.77,"July 07, 23",0.0122,LADR
2023-07-06,10.67,10.67,10.37,10.61,10.61,548300,547800,-0.06,-0.56232,10.55,"July 06, 23",-0.0056232,LADR
2023-07-05,10.91,10.91,10.7,10.77,10.77,571089,571100,-0.14,-1.28,10.8,"July 05, 23",-0.0128,LADR
2023-07-03,10.79,10.95,10.79,10.94,10.94,428164,428200,0.15,1.39,10.89,"July 03, 23",0.0139,LADR
2023-06-30,10.84,10.87,10.73,10.85,10.85,657048,656900,0.01,0.09225092,10.83,"June 30, 23",0.0009225092,LADR
2023-06-29,10.59,10.73,10.51,10.73,10.73,494919,494900,0.14,1.32,10.68,"June 29, 23",0.0132,LADR
2023-06-28,10.68,10.8,10.57,10.79,10.559999,456316,456200,0.11,1.03,10.73,"June 28, 23",0.0103,LADR
2023-06-27,10.54,10.705,10.46,10.69,10.462131,402365,402400,0.15,1.42,10.65,"June 27, 23",0.0142,LADR
2023-06-26,10.33,10.57,10.33,10.52,10.295755,736151,736100,0.19,1.84,10.5,"June 26, 23",0.0184,LADR
2023-06-23,10.36,10.4,10.25,10.31,10.090232,1128071,1128100,-0.05,-0.48263,10.32,"June 23, 23",-0.0048263,LADR
2023-06-22,10.66,10.67,10.45,10.47,10.246821,498850,498800,-0.19,-1.78,10.51,"June 22, 23",-0.0178,LADR
2023-06-21,10.61,10.78,10.53,10.73,10.501278,610624,610600,0.12,1.13,10.72,"June 21, 23",0.0113,LADR
2023-06-20,10.66,10.67,10.53,10.61,10.383837,450212,450200,-0.05,-0.46904,10.59,"June 20, 23",-0.0046904,LADR
2023-06-16,10.81,10.825,10.64,10.68,10.452345,1007906,1007700,-0.13,-1.2,10.71,"June 16, 23",-0.012,LADR
2023-06-15,10.49,10.76,10.49,10.75,10.520852,586723,586700,0.26,2.48,10.7,"June 15, 23",0.0248,LADR
2023-06-14,10.62,10.69,10.45,10.57,10.344689,694689,694700,-0.05,-0.47081,10.58,"June 14, 23",-0.0047081,LADR
2023-06-13,10.65,10.68,10.57,10.61,10.383837,716265,716300,-0.04,-0.37559,10.63,"June 13, 23",-0.0037559,LADR
2023-06-12,10.52,10.65,10.452,10.62,10.393623,685757,685800,0.1,0.95057,10.57,"June 12, 23",0.0095057,LADR
2023-06-09,10.51,10.53,10.38,10.51,10.285969,475192,475100,0.0,0.0,10.48,"June 09, 23",0.0,LADR
2023-06-08,10.48,10.57,10.33,10.56,10.334903,680735,680700,0.08,0.76336,10.5,"June 08, 23",0.0076336,LADR
2023-06-07,10.3,10.535,10.3,10.5,10.276181,657863,657900,0.2,1.94,10.45,"June 07, 23",0.0194,LADR
2023-06-06,9.9,10.33,9.89,10.27,10.051085,568381,568300,0.37,3.74,10.24,"June 06, 23",0.0374,LADR
2023-06-05,10.01,10.045,9.88,9.96,9.747692,555736,527300,-0.05,-0.4995,9.97,"June 05, 23",-0.004995,LADR
2023-06-02,9.78,10.11,9.7708,10.08,9.865134,753654,753700,0.3,3.07,10.01,"June 02, 23",0.0307,LADR
2023-06-01,9.58,9.66,9.47,9.64,9.434514,668826,668800,0.06,0.6263,9.6,"June 01, 23",0.006263,LADR
2023-05-31,9.6,9.65,9.52,9.53,9.326858,904690,904700,-0.07,-0.72917,9.56,"May 31, 23",-0.0072917,LADR
2023-05-30,9.62,9.735,9.555,9.65,9.4443,642922,642900,0.03,0.31185,9.65,"May 30, 23",0.0031185,LADR
2023-05-26,9.37,9.63,9.29,9.58,9.375793,511668,510900,0.21,2.24,9.5,"May 26, 23",0.0224,LADR
2023-05-25,9.47,9.52,9.265,9.4,9.199629,501645,501600,-0.07,-0.73918,9.39,"May 25, 23",-0.0073918,LADR
2023-05-24,9.68,9.735,9.505,9.54,9.336645,712397,712400,-0.14,-1.45,9.57,"May 24, 23",-0.0145,LADR
2023-05-23,9.69,9.97,9.69,9.78,9.571528,628062,628100,0.09,0.92879,9.83,"May 23, 23",0.0092879,LADR
2023-05-22,9.64,9.775,9.6,9.73,9.522594,550609,550600,0.09,0.93361,9.7,"May 22, 23",0.0093361,LADR
2023-05-19,9.77,9.7901,9.56,9.62,9.41494,571436,571400,-0.15,-1.54,9.64,"May 19, 23",-0.0154,LADR
2023-05-18,9.47,9.71,9.46,9.67,9.463874,316254,316100,0.2,2.11,9.62,"May 18, 23",0.0211,LADR
2023-05-17,9.26,9.53,9.225,9.5,9.297498,513775,513800,0.24,2.59,9.43,"May 17, 23",0.0259,LADR
2023-05-16,9.33,9.34,9.18,9.19,8.994105,333099,333000,-0.14,-1.5,9.23,"May 16, 23",-0.015,LADR
2023-05-15,9.3,9.42,9.27,9.32,9.121334,583719,583600,0.02,0.21505,9.32,"May 15, 23",0.0021505,LADR
2023-05-12,9.25,9.3,9.15,9.24,9.043039,419526,419500,-0.01,-0.10811,9.21,"May 12, 23",-0.0010811,LADR
2023-05-11,9.14,9.25,9.06,9.25,9.052827,405369,405400,0.11,1.2,9.21,"May 11, 23",0.012,LADR
2023-05-10,9.28,9.3049,9.125,9.19,8.994105,470483,470400,-0.09,-0.96983,9.21,"May 10, 23",-0.0096983,LADR
2023-05-09,9.14,9.26,9.11,9.2,9.003892,427250,427200,0.06,0.65646,9.19,"May 09, 23",0.0065646,LADR
2023-05-08,9.35,9.38,9.15,9.22,9.023466,562694,562700,-0.13,-1.39,9.23,"May 08, 23",-0.0139,LADR
2023-05-05,9.25,9.36,9.13,9.29,9.091974,600305,600300,0.04,0.43243,9.27,"May 05, 23",0.0043243,LADR
2023-05-04,9.11,9.17,8.9389,9.04,8.847302,989029,989000,-0.07,-0.76839,9.04,"May 04, 23",-0.0076839,LADR
2023-05-03,9.15,9.345,9.125,9.14,8.945171,863777,863800,-0.01,-0.10929,9.21,"May 03, 23",-0.0010929,LADR
2023-05-02,9.27,9.315,8.84,9.12,8.925597,1062596,1062600,-0.15,-1.62,9.05,"May 02, 23",-0.0162,LADR
2023-05-01,9.36,9.465,9.19,9.27,9.072401,831132,831100,-0.09,-0.96154,9.3,"May 01, 23",-0.0096154,LADR
