date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,10.87,10.87,10.8601,10.865,10.865,2093,2089,-0.005,-0.04599816,10.87,"July 11, 23",-0.0004599816,LIBY
2023-07-10,10.85,10.85,10.85,10.85,10.85,0,0,0.0,0.0,10.85,"July 10, 23",0.0,LIBY
2023-07-07,10.85,10.85,10.85,10.85,10.85,0,0,0.0,0.0,10.85,"July 07, 23",0.0,LIBY
2023-07-06,10.85,10.85,10.845,10.85,10.85,8673,8700,0.0,0.0,10.85,"July 06, 23",0.0,LIBY
2023-07-05,10.84,10.84,10.84,10.84,10.84,3038,3000,0.0,0.0,10.84,"July 05, 23",0.0,LIBY
2023-07-03,10.84,10.84,10.84,10.84,10.84,0,0,0.0,0.0,10.84,"July 03, 23",0.0,LIBY
2023-06-30,10.84,10.845,10.84,10.84,10.84,32666,32700,0.0,0.0,10.84,"June 30, 23",0.0,LIBY
2023-06-29,10.81,10.81,10.81,10.81,10.81,5262,5300,0.0,0.0,10.81,"June 29, 23",0.0,LIBY
2023-06-28,10.8,10.81,10.8,10.81,10.81,6009,6000,0.01,0.09259259,10.81,"June 28, 23",0.0009259259,LIBY
2023-06-27,10.76,10.8,10.76,10.8,10.8,2594,2600,0.04,0.37175,10.8,"June 27, 23",0.0037175,LIBY
2023-06-26,10.82,10.82,10.82,10.82,10.82,0,0,0.0,0.0,10.82,"June 26, 23",0.0,LIBY
2023-06-23,10.77,10.82,10.77,10.82,10.82,10721,10700,0.05,0.46425,10.79,"June 23, 23",0.0046425,LIBY
2023-06-22,10.72,10.76,10.72,10.76,10.76,306,300,0.04,0.37313,10.75,"June 22, 23",0.0037313,LIBY
2023-06-21,10.82,10.82,10.82,10.82,10.82,0,0,0.0,0.0,10.82,"June 21, 23",0.0,LIBY
2023-06-20,10.815,10.82,10.815,10.82,10.82,568,600,0.005,0.04623209,10.82,"June 20, 23",0.0004623209,LIBY
2023-06-16,10.81,10.81,10.81,10.81,10.81,0,0,0.0,0.0,10.81,"June 16, 23",0.0,LIBY
