date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,95.38,95.9099,90.77,93.61,93.610001,1459553,1449780,-1.77,-1.86,92.9,"July 11, 23",-0.0186,LSCC
2023-07-10,91.66,95.5,91.65,95.24,95.239998,1483292,1483300,3.58,3.91,94.84,"July 10, 23",0.0391,LSCC
2023-07-07,92.16,93.845,91.5326,91.65,91.650002,948501,948500,-0.51,-0.55339,92.22,"July 07, 23",-0.0055339,LSCC
2023-07-06,91.62,91.82,90.07,91.76,91.760002,1567124,1567100,0.14,0.15281,91.27,"July 06, 23",0.0015281,LSCC
2023-07-05,94.57,95.44,93.31,93.31,93.309998,1615751,1615500,-1.26,-1.33,93.88,"July 05, 23",-0.0133,LSCC
2023-07-03,96.32,97.27,94.02,95.09,95.089996,908745,908700,-1.23,-1.28,95.23,"July 03, 23",-0.0128,LSCC
2023-06-30,94.3,96.91,93.36,96.07,96.07,2003644,2003600,1.77,1.88,95.91,"June 30, 23",0.0188,LSCC
2023-06-29,92.43,93.825,91.52,93.07,93.07,1609947,1609900,0.64,0.69242,92.93,"June 29, 23",0.0069242,LSCC
2023-06-28,89.01,92.39,88.725,91.68,91.68,1722051,1722000,2.67,3.0,91.45,"June 28, 23",0.03,LSCC
2023-06-27,86.69,91.07,85.97,90.99,90.989998,1432653,1432500,4.3,4.96,89.8,"June 27, 23",0.0496,LSCC
2023-06-26,85.58,88.27,85.58,86.28,86.279999,1400855,1400900,0.7,0.81795,86.57,"June 26, 23",0.0081795,LSCC
2023-06-23,86.64,87.38,85.13,85.35,85.349998,1852023,1852000,-1.29,-1.49,85.77,"June 23, 23",-0.0149,LSCC
2023-06-22,84.65,88.3775,83.66,88.3,88.300003,1824190,1823700,3.65,4.31,87.56,"June 22, 23",0.0431,LSCC
2023-06-21,86.57,87.6,85.17,85.24,85.239998,1343351,1343300,-1.33,-1.54,85.72,"June 21, 23",-0.0154,LSCC
2023-06-20,87.65,90.19,86.415,87.27,87.269997,1555857,1555900,-0.38,-0.43354,87.53,"June 20, 23",-0.0043354,LSCC
2023-06-16,91.12,91.13,87.86,88.66,88.660004,2997611,2997300,-2.46,-2.7,88.9,"June 16, 23",-0.027,LSCC
2023-06-15,90.45,91.565,89.3,89.65,89.650002,1633056,1633000,-0.8,-0.88447,89.98,"June 15, 23",-0.0088447,LSCC
2023-06-14,90.13,92.51,89.735,92.07,92.07,1658222,1658000,1.94,2.15,91.62,"June 14, 23",0.0215,LSCC
2023-06-13,89.28,94.25,89.12,90.81,90.809998,3431937,3431700,1.53,1.71,91.94,"June 13, 23",0.0171,LSCC
2023-06-12,82.27,87.31,81.875,87.2,87.199997,2789944,2789600,4.93,5.99,85.86,"June 12, 23",0.0599,LSCC
2023-06-09,81.95,82.63,80.08,80.55,80.550003,1505837,1505800,-1.4,-1.71,81.02,"June 09, 23",-0.0171,LSCC
2023-06-08,82.1,82.32,80.11,81.15,81.150002,1112508,1112500,-0.95,-1.16,81.22,"June 08, 23",-0.0116,LSCC
2023-06-07,81.47,83.61,80.87,81.25,81.25,1895450,1895400,-0.22,-0.27004,81.98,"June 07, 23",-0.0027004,LSCC
2023-06-06,77.6,81.1,77.5,80.95,80.949997,2023367,2023400,3.35,4.32,80.25,"June 06, 23",0.0432,LSCC
2023-06-05,79.0,79.41,76.9134,78.62,78.620003,2755329,2755300,-0.38,-0.48101,78.03,"June 05, 23",-0.0048101,LSCC
