date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,69.98,70.62,69.98,70.35,70.349998,44497,39488,0.37,0.52872,70.39,"July 11, 23",0.0052872,MCRI
2023-07-10,68.82,70.19,68.82,69.58,69.580002,64907,64900,0.76,1.1,69.65,"July 10, 23",0.011,MCRI
2023-07-07,67.22,68.97,67.22,68.7,68.699997,76511,76500,1.48,2.2,68.57,"July 07, 23",0.022,MCRI
2023-07-06,67.02,67.63,66.33,67.25,67.25,71903,71900,0.23,0.34318,67.06,"July 06, 23",0.0034318,MCRI
2023-07-05,70.41,70.41,67.08,67.67,67.669998,158791,158800,-2.74,-3.89,67.75,"July 05, 23",-0.0389,MCRI
2023-07-03,70.25,70.86,70.25,70.46,70.459999,36715,36700,0.21,0.29893,70.56,"July 03, 23",0.0029893,MCRI
2023-06-30,70.89,71.17,70.14,70.45,70.449997,83920,83900,-0.44,-0.62068,70.54,"June 30, 23",-0.0062068,MCRI
2023-06-29,69.1,70.595,68.635,70.44,70.440002,62676,62700,1.34,1.94,70.25,"June 29, 23",0.0194,MCRI
2023-06-28,70.25,70.28,68.67,68.87,68.870003,73586,73600,-1.38,-1.96,69.15,"June 28, 23",-0.0196,MCRI
2023-06-27,69.65,70.25,69.32,70.07,70.07,64735,64700,0.42,0.60302,69.99,"June 27, 23",0.0060302,MCRI
2023-06-26,68.74,69.89,68.74,69.18,69.18,77180,77100,0.44,0.64009,69.24,"June 26, 23",0.0064009,MCRI
2023-06-23,69.04,69.57,68.3,69.04,69.040001,243622,243600,0.0,0.0,69.03,"June 23, 23",0.0,MCRI
2023-06-22,70.76,70.89,69.715,69.87,69.870003,134601,134600,-0.89,-1.26,70.07,"June 22, 23",-0.0126,MCRI
2023-06-21,70.38,71.65,70.3,70.86,70.860001,68978,69000,0.48,0.68201,71.05,"June 21, 23",0.0068201,MCRI
2023-06-20,69.97,70.8,69.31,70.57,70.57,88138,88100,0.6,0.85751,70.42,"June 20, 23",0.0085751,MCRI
2023-06-16,70.8,71.122,69.84,70.2,70.199997,265262,265300,-0.6,-0.84746,70.26,"June 16, 23",-0.0084746,MCRI
2023-06-15,69.45,70.72,68.78,70.16,70.160004,122101,122100,0.71,1.02,70.02,"June 15, 23",0.0102,MCRI
2023-06-14,69.3,70.3,69.185,69.76,69.760002,132659,132700,0.46,0.66378,69.89,"June 14, 23",0.0066378,MCRI
2023-06-13,69.57,70.065,68.91,69.15,69.150002,80231,80200,-0.42,-0.60371,69.22,"June 13, 23",-0.0060371,MCRI
2023-06-12,69.17,69.48,68.73,69.2,69.199997,64033,64000,0.03,0.0433714,69.16,"June 12, 23",0.000433714,MCRI
2023-06-09,70.12,70.5,68.85,68.95,68.949997,38298,38300,-1.17,-1.67,69.13,"June 09, 23",-0.0167,MCRI
2023-06-08,69.95,70.15,69.1801,70.02,70.019997,95564,95600,0.07,0.10007,69.69,"June 08, 23",0.0010007,MCRI
2023-06-07,69.23,70.985,69.03,69.84,69.839996,133032,133000,0.61,0.88112,69.8,"June 07, 23",0.0088112,MCRI
2023-06-06,67.93,70.29,67.93,69.08,69.080002,115664,115700,1.15,1.69,69.28,"June 06, 23",0.0169,MCRI
2023-06-05,68.54,68.58,67.16,67.77,67.769997,73380,73400,-0.77,-1.12,67.84,"June 05, 23",-0.0112,MCRI
2023-06-02,66.83,69.37,66.83,69.24,69.239998,76369,76400,2.41,3.61,68.75,"June 02, 23",0.0361,MCRI
2023-06-01,64.78,66.52,64.205,65.99,65.989998,69491,69500,1.21,1.87,65.44,"June 01, 23",0.0187,MCRI
2023-05-31,64.81,65.18,63.9,64.89,64.889999,79043,79000,0.08,0.12344,64.72,"May 31, 23",0.0012344,MCRI
