date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,1.06,1.06,1.01,1.0499,1.0499,49464,48368,-0.0101,-0.95283,1.04,"July 11, 23",-0.0095283,MNK
2023-07-10,1.06,1.12,0.99,1.06,1.06,194862,194700,0.0,0.0,1.04,"July 10, 23",0.0,MNK
2023-07-07,1.14,1.15,1.0,1.06,1.06,330382,330300,-0.08,-7.02,1.06,"July 07, 23",-0.0702,MNK
2023-07-06,1.13,1.15,1.04,1.08,1.08,243920,243900,-0.05,-4.42,1.18,"July 06, 23",-0.0442,MNK
2023-07-05,1.21,1.21,1.1304,1.14,1.14,47946,47900,-0.07,-5.79,1.17,"July 05, 23",-0.0579,MNK
2023-07-03,1.18,1.28,1.18,1.2,1.2,74088,74100,0.02,1.69,1.21,"July 03, 23",0.0169,MNK
2023-06-30,1.22,1.2306,1.15,1.18,1.18,35626,35600,-0.04,-3.28,1.2,"June 30, 23",-0.0328,MNK
2023-06-29,1.29,1.319,1.2,1.23,1.23,80668,80700,-0.06,-4.65,1.26,"June 29, 23",-0.0465,MNK
2023-06-28,1.34,1.5,1.25,1.25,1.25,93859,93900,-0.09,-6.72,1.35,"June 28, 23",-0.0672,MNK
2023-06-27,1.31,1.43,1.26,1.35,1.35,114130,114000,0.04,3.05,1.34,"June 27, 23",0.0305,MNK
2023-06-26,1.3,1.46,1.26,1.34,1.34,390573,390600,0.04,3.08,1.34,"June 26, 23",0.0308,MNK
2023-06-23,1.31,1.33,1.1501,1.31,1.31,206744,206700,0.0,0.0,1.25,"June 23, 23",0.0,MNK
2023-06-22,1.47,1.47,1.16,1.29,1.29,415469,415100,-0.18,-12.24,1.23,"June 22, 23",-0.1224,MNK
2023-06-21,1.24,1.64,1.1801,1.53,1.53,1092252,1092300,0.29,23.39,1.46,"June 21, 23",0.2339,MNK
2023-06-20,1.26,1.35,1.1201,1.3,1.3,786764,784200,0.04,3.17,1.25,"June 20, 23",0.0317,MNK
2023-06-16,0.9299,1.33,0.9133,1.28,1.28,3786101,3762100,0.3501,37.65,1.16,"June 16, 23",0.3765,MNK
2023-06-15,1.14,1.16,0.8166,0.87,0.87,1015331,1015300,-0.27,-23.68,1.01,"June 15, 23",-0.2368,MNK
2023-06-14,1.15,1.28,0.913,1.26,1.26,433174,433200,0.11,9.57,1.11,"June 14, 23",0.0957,MNK
2023-06-13,1.27,1.27,1.1,1.12,1.12,244582,244500,-0.15,-11.81,1.15,"June 13, 23",-0.1181,MNK
2023-06-12,1.41,1.41,1.07,1.27,1.27,280191,280100,-0.14,-9.93,1.16,"June 12, 23",-0.0993,MNK
2023-06-09,1.4,1.42,1.28,1.31,1.31,249649,249100,-0.09,-6.43,1.38,"June 09, 23",-0.0643,MNK
2023-06-08,1.44,1.5,1.33,1.43,1.43,349353,349100,-0.01,-0.69444,1.37,"June 08, 23",-0.0069444,MNK
2023-06-07,1.42,1.43,1.32,1.41,1.41,88215,88200,-0.01,-0.70423,1.38,"June 07, 23",-0.0070423,MNK
2023-06-06,1.54,1.54,1.41,1.44,1.44,216216,216200,-0.1,-6.49,1.45,"June 06, 23",-0.0649,MNK
2023-06-05,1.98,2.0,1.4,1.47,1.47,803922,562900,-0.51,-25.76,1.71,"June 05, 23",-0.2576,MNK
2023-06-02,2.62,2.68,2.44,2.45,2.45,249647,248600,-0.17,-6.49,2.54,"June 02, 23",-0.0649,MNK
2023-06-01,2.79,2.88,2.59,2.5901,2.59,197418,197400,-0.1999,-7.16,2.77,"June 01, 23",-0.0716,MNK
2023-05-31,2.91,2.99,2.74,2.75,2.75,148511,148500,-0.16,-5.5,2.85,"May 31, 23",-0.055,MNK
2023-05-30,3.0,3.11,2.85,2.89,2.89,204823,204700,-0.11,-3.67,2.96,"May 30, 23",-0.0367,MNK
2023-05-26,2.88,3.51,2.88,3.0,3.0,608179,607700,0.12,4.17,3.18,"May 26, 23",0.0417,MNK
2023-05-25,3.08,3.23,2.7,2.94,2.94,377606,377600,-0.14,-4.55,2.95,"May 25, 23",-0.0455,MNK
2023-05-24,3.21,3.53,3.1,3.15,3.15,709880,709900,-0.06,-1.87,3.31,"May 24, 23",-0.0187,MNK
2023-05-23,3.04,4.49,3.03,3.48,3.48,5620040,5620000,0.44,14.47,3.84,"May 23, 23",0.1447,MNK
