date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,36.0,36.65,35.55,36.57,36.57,2982381,2621957,0.57,1.58,36.33,"July 11, 23",0.0158,MOS
2023-07-10,36.05,36.56,35.81,35.82,35.82,4619353,4619400,-0.23,-0.638,35.98,"July 10, 23",-0.00638,MOS
2023-07-07,34.87,37.18,34.81,36.75,36.75,6363623,6363200,1.88,5.39,36.56,"July 07, 23",0.0539,MOS
2023-07-06,34.83,34.915,33.6913,34.88,34.880001,3581701,3581700,0.05,0.14355,34.46,"July 06, 23",0.0014355,MOS
2023-07-05,35.61,35.75,34.95,35.21,35.209999,3991517,3991500,-0.4,-1.12,35.3,"July 05, 23",-0.0112,MOS
2023-07-03,34.94,36.18,34.895,35.74,35.740002,2039269,2039300,0.8,2.29,35.77,"July 03, 23",0.0229,MOS
2023-06-30,35.09,35.57,34.74,35.0,35.0,4141394,4140400,-0.09,-0.25648,35.13,"June 30, 23",-0.0025648,MOS
2023-06-29,34.12,34.82,33.965,34.78,34.779999,2458308,2458300,0.66,1.93,34.58,"June 29, 23",0.0193,MOS
2023-06-28,34.58,34.7,33.88,33.93,33.93,3194922,3194900,-0.65,-1.88,34.06,"June 28, 23",-0.0188,MOS
2023-06-27,34.2,34.78,33.32,34.74,34.740002,3583561,3583500,0.54,1.58,34.26,"June 27, 23",0.0158,MOS
2023-06-26,34.56,34.9,34.23,34.35,34.349998,3461776,3461800,-0.21,-0.60764,34.42,"June 26, 23",-0.0060764,MOS
2023-06-23,34.63,34.63,33.94,34.21,34.209999,5593875,5588300,-0.42,-1.21,34.26,"June 23, 23",-0.0121,MOS
2023-06-22,35.42,35.62,34.64,35.09,35.09,2985461,2985200,-0.33,-0.93168,35.04,"June 22, 23",-0.0093168,MOS
2023-06-21,34.74,35.86,34.63,35.5,35.5,4106216,4106200,0.76,2.19,35.43,"June 21, 23",0.0219,MOS
2023-06-20,35.4,35.4,34.245,34.77,34.77,3906600,3906300,-0.63,-1.78,34.75,"June 20, 23",-0.0178,MOS
2023-06-16,35.43,35.93,34.86,35.82,35.82,12261053,12259700,0.39,1.1,35.69,"June 16, 23",0.011,MOS
2023-06-15,35.06,35.72,35.06,35.28,35.279999,3330246,3330200,0.22,0.6275,35.4,"June 15, 23",0.006275,MOS
2023-06-14,36.06,36.18,34.42,34.99,34.990002,4273322,4273300,-1.07,-2.97,35.06,"June 14, 23",-0.0297,MOS
2023-06-13,35.83,36.6,35.5,36.26,36.259998,6273439,6273400,0.43,1.2,36.22,"June 13, 23",0.012,MOS
2023-06-12,34.75,35.91,34.67,35.52,35.52,4201792,4201600,0.77,2.22,35.49,"June 12, 23",0.0222,MOS
2023-06-09,35.04,35.38,34.65,35.08,35.080002,4019082,4016200,0.04,0.11416,35.04,"June 09, 23",0.0011416,MOS
2023-06-08,36.15,36.58,34.435,34.93,34.93,4585024,4583900,-1.22,-3.37,35.09,"June 08, 23",-0.0337,MOS
2023-06-07,34.95,36.43,34.85,36.28,36.279999,4696391,4696400,1.33,3.81,36.01,"June 07, 23",0.0381,MOS
2023-06-06,32.0,34.73,32.0,34.6,34.599998,4123220,4123200,2.6,8.13,34.07,"June 06, 23",0.0813,MOS
2023-06-05,33.35,33.86,32.85,33.24,33.240002,4917574,4527700,-0.11,-0.32984,33.41,"June 05, 23",-0.0032984,MOS
2023-06-02,32.48,33.505,32.36,33.08,33.080002,4538739,4537900,0.6,1.85,33.03,"June 02, 23",0.0185,MOS
2023-06-01,32.2,32.25,31.44,31.71,31.709999,4853256,4853200,-0.49,-1.52,31.83,"June 01, 23",-0.0152,MOS
2023-05-31,32.77,32.77,31.76,31.96,31.959999,10487585,10487600,-0.81,-2.47,32.01,"May 31, 23",-0.0247,MOS
2023-05-30,33.5,33.61,32.6,33.35,33.149998,3507339,4122500,-0.15,-0.44776,33.08,"May 30, 23",-0.0044776,MOS
2023-05-26,34.76,34.92,33.76,33.89,33.68676,3627718,3627600,-0.87,-2.5,34.02,"May 26, 23",-0.025,MOS
2023-05-25,34.68,35.02,34.015,34.17,33.96508,3992152,3992200,-0.51,-1.47,34.34,"May 25, 23",-0.0147,MOS
2023-05-24,35.67,35.79,34.94,35.16,34.949146,3101834,3101800,-0.51,-1.43,35.33,"May 24, 23",-0.0143,MOS
2023-05-23,35.93,36.11,35.3001,35.68,35.466026,2870209,2870100,-0.25,-0.6958,35.73,"May 23, 23",-0.006958,MOS
2023-05-22,35.9,36.35,35.23,35.98,35.764229,2540947,2540900,0.08,0.22284,35.97,"May 22, 23",0.0022284,MOS
2023-05-19,36.05,36.34,35.47,35.76,35.545544,3193202,3193000,-0.29,-0.80444,35.83,"May 19, 23",-0.0080444,MOS
2023-05-18,35.18,35.85,34.92,35.79,35.575367,3845009,3845000,0.61,1.73,35.49,"May 18, 23",0.0173,MOS
2023-05-17,35.2,35.31,34.46,35.23,35.018726,7285179,7285200,0.03,0.08522727,35.01,"May 17, 23",0.0008522727,MOS
2023-05-16,36.14,36.4048,35.19,35.26,35.048546,3571230,3571100,-0.88,-2.43,35.57,"May 16, 23",-0.0243,MOS
2023-05-15,35.71,36.6,35.52,36.6,36.380508,4315711,4315500,0.89,2.49,36.26,"May 15, 23",0.0249,MOS
2023-05-12,35.77,35.96,34.8088,35.35,35.138004,5842461,5842400,-0.42,-1.17,35.28,"May 12, 23",-0.0117,MOS
2023-05-11,35.3,36.17,34.7,35.95,35.734409,5997478,5997500,0.65,1.84,35.73,"May 11, 23",0.0184,MOS
2023-05-10,37.69,38.09,36.2,36.9,36.678711,4202553,4202600,-0.79,-2.1,36.7,"May 10, 23",-0.021,MOS
2023-05-09,37.3,37.58,36.77,37.17,36.94709,4847782,4847800,-0.13,-0.34853,37.16,"May 09, 23",-0.0034853,MOS
2023-05-08,39.78,40.2,37.79,37.82,37.593193,4325197,4325200,-1.96,-4.93,38.48,"May 08, 23",-0.0493,MOS
2023-05-05,39.01,39.27,37.7,39.11,38.875458,3616006,3615600,0.1,0.25634,38.87,"May 05, 23",0.0025634,MOS
2023-05-04,42.08,42.3763,38.3,38.59,38.358578,7578468,7578500,-3.49,-8.29,39.12,"May 04, 23",-0.0829,MOS
2023-05-03,43.85,43.85,42.84,42.87,42.612907,3887527,3887300,-0.98,-2.23,43.28,"May 03, 23",-0.0223,MOS
2023-05-02,43.25,43.99,41.8,43.33,43.070152,3471163,3471200,0.08,0.18497,42.88,"May 02, 23",0.0018497,MOS
2023-05-01,43.01,43.84,42.65,43.59,43.32859,3140429,3140400,0.58,1.35,43.42,"May 01, 23",0.0135,MOS
2023-04-28,41.89,42.98,41.49,42.85,42.593025,4501358,4501400,0.96,2.29,42.48,"April 28, 23",0.0229,MOS
2023-04-27,42.57,42.64,41.84,42.08,41.827648,3690098,3690000,-0.49,-1.15,42.12,"April 27, 23",-0.0115,MOS
2023-04-26,42.74,42.9,41.84,42.18,41.927048,3156823,3156700,-0.56,-1.31,42.32,"April 26, 23",-0.0131,MOS
2023-04-25,43.53,43.7,42.3,42.67,42.414104,3728620,3728500,-0.86,-1.98,42.76,"April 25, 23",-0.0198,MOS
2023-04-24,43.93,44.44,43.67,44.43,44.163555,4716195,4716200,0.5,1.14,44.21,"April 24, 23",0.0114,MOS
2023-04-21,44.47,44.47,43.02,44.05,43.785831,6752777,6752600,-0.42,-0.94446,43.63,"April 21, 23",-0.0094446,MOS
2023-04-20,44.9,45.33,44.59,44.82,44.551212,3437413,3437400,-0.08,-0.17817,44.88,"April 20, 23",-0.0017817,MOS
2023-04-19,45.97,45.97,44.885,45.44,45.167496,5942231,5942200,-0.53,-1.15,45.45,"April 19, 23",-0.0115,MOS
2023-04-18,47.25,47.42,45.83,46.24,45.9627,3119423,3119400,-1.01,-2.14,46.43,"April 18, 23",-0.0214,MOS
2023-04-17,47.04,47.58,47.04,47.46,47.175381,2052809,2052600,0.42,0.89286,47.38,"April 17, 23",0.0089286,MOS
2023-04-14,47.71,48.92,46.93,46.99,46.708202,2851153,2851100,-0.72,-1.51,47.35,"April 14, 23",-0.0151,MOS
2023-04-13,46.58,47.08,46.15,46.75,46.469639,2316621,2316500,0.17,0.36496,46.76,"April 13, 23",0.0036496,MOS
2023-04-12,47.1,47.1,46.1,46.76,46.47958,2551308,2551300,-0.34,-0.72187,46.75,"April 12, 23",-0.0072187,MOS
2023-04-11,45.25,47.0782,45.16,46.9,46.618744,4961515,4961500,1.65,3.65,46.26,"April 11, 23",0.0365,MOS
2023-04-10,44.1,45.94,43.88,44.91,44.640675,3926993,3927000,0.81,1.84,44.96,"April 10, 23",0.0184,MOS
2023-04-06,44.61,44.63,43.26,43.67,43.408108,6379738,6379700,-0.94,-2.11,43.84,"April 06, 23",-0.0211,MOS
2023-04-05,45.88,46.34,45.21,46.29,46.012402,4479216,4479200,0.41,0.89364,45.94,"April 05, 23",0.0089364,MOS
2023-04-04,46.5,46.5,44.79,46.19,45.912998,4391381,4391200,-0.31,-0.66667,45.81,"April 04, 23",-0.0066667,MOS
2023-04-03,46.7,47.3,45.76,46.56,46.280781,3500064,3500100,-0.14,-0.29979,46.47,"April 03, 23",-0.0029979,MOS
2023-03-31,45.41,46.04,44.8,45.88,45.604858,3594625,3594600,0.47,1.04,45.68,"March 31, 23",0.0104,MOS
2023-03-30,45.9,46.25,45.06,45.26,44.988575,2291090,2290900,-0.64,-1.39,45.4,"March 30, 23",-0.0139,MOS
2023-03-29,44.24,46.1156,44.19,45.19,44.918995,4400976,4401000,0.95,2.15,45.38,"March 29, 23",0.0215,MOS
2023-03-28,43.42,44.085,43.05,43.65,43.388233,2764424,2764400,0.23,0.52971,43.64,"March 28, 23",0.0052971,MOS
2023-03-27,43.25,43.74,42.051,43.28,43.020447,3988753,3988600,0.03,0.06936416,43.13,"March 27, 23",0.0006936416,MOS
2023-03-24,42.345,42.54,41.16,42.39,42.135788,7238730,7236900,0.045,0.10627,42.23,"March 24, 23",0.0010627,MOS
2023-03-23,44.22,44.76,42.53,42.98,42.722248,3217888,3217900,-1.24,-2.8,43.6,"March 23, 23",-0.028,MOS
