date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,41.83,41.83,41.49,41.55,41.549999,7419,7147,-0.28,-0.66938,41.58,"July 11, 23",-0.0066938,NBN
2023-07-10,40.84,41.32,40.8,41.03,41.029999,14460,14500,0.19,0.46523,40.98,"July 10, 23",0.0046523,NBN
2023-07-07,40.115,41.33,40.115,40.99,40.990002,29460,29500,0.875,2.18,40.95,"July 07, 23",0.0218,NBN
2023-07-06,40.69,40.69,39.165,39.52,39.52,21834,21800,-1.17,-2.88,39.67,"July 06, 23",-0.0288,NBN
2023-07-05,41.83,41.83,40.89,40.89,40.889999,18148,18100,-0.94,-2.25,41.23,"July 05, 23",-0.0225,NBN
2023-07-03,41.76,42.155,41.59,42.05,42.049999,9811,9800,0.29,0.69444,41.96,"July 03, 23",0.0069444,NBN
2023-06-30,41.9,42.1,41.39,41.67,41.669998,93943,93900,-0.23,-0.54893,41.67,"June 30, 23",-0.0054893,NBN
2023-06-29,42.04,42.41,41.76,41.82,41.82,26043,26000,-0.22,-0.52331,41.99,"June 29, 23",-0.0052331,NBN
2023-06-28,42.08,42.7,41.35,41.78,41.779999,24185,24200,-0.3,-0.71293,41.79,"June 28, 23",-0.0071293,NBN
2023-06-27,42.25,42.9,41.74,41.86,41.860001,22990,23000,-0.39,-0.92308,42.05,"June 27, 23",-0.0092308,NBN
2023-06-26,40.92,42.59,40.24,41.94,41.939999,45289,45300,1.02,2.49,42.16,"June 26, 23",0.0249,NBN
2023-06-23,40.57,41.22,40.155,40.93,40.93,200357,200400,0.36,0.88736,40.9,"June 23, 23",0.0088736,NBN
2023-06-22,42.3,42.3,40.81,40.81,40.810001,16780,16800,-1.49,-3.52,41.17,"June 22, 23",-0.0352,NBN
2023-06-21,42.77,43.18,42.42,42.42,42.419998,17268,17300,-0.35,-0.81833,42.71,"June 21, 23",-0.0081833,NBN
2023-06-20,42.97,43.29,42.485,42.77,42.77,20758,20800,-0.2,-0.46544,42.89,"June 20, 23",-0.0046544,NBN
2023-06-16,42.5,43.795,41.63,43.03,43.029999,152469,152500,0.53,1.25,42.65,"June 16, 23",0.0125,NBN
2023-06-15,41.86,42.5,41.55,42.13,42.130001,44793,44800,0.27,0.64501,42.13,"June 15, 23",0.0064501,NBN
2023-06-14,42.52,42.52,41.82,41.85,41.849998,17167,17200,-0.67,-1.58,42.11,"June 14, 23",-0.0158,NBN
2023-06-13,41.46,42.0,40.95,41.87,41.869999,27731,27700,0.41,0.9889,41.78,"June 13, 23",0.009889,NBN
2023-06-12,41.53,41.88,40.0501,40.75,40.75,28475,28500,-0.78,-1.88,40.83,"June 12, 23",-0.0188,NBN
2023-06-09,42.28,42.28,41.41,41.53,41.529999,16936,16900,-0.75,-1.77,41.67,"June 09, 23",-0.0177,NBN
2023-06-08,41.67,41.72,41.1065,41.59,41.59,40625,40600,-0.08,-0.19198,41.52,"June 08, 23",-0.0019198,NBN
