date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.66,0.6895,0.6401,0.6797,0.6797,50905,50905,0.0197,2.98,0.6681,"July 11, 23",0.0298,NHWK
2023-07-10,0.6331,0.67,0.63,0.6406,0.64,45198,45200,0.0075,1.18,0.6418,"July 10, 23",0.0118,NHWK
2023-07-07,0.64,0.6617,0.63,0.64,0.64,67139,67100,0.0,0.0,0.6412,"July 07, 23",0.0,NHWK
2023-07-06,0.65,0.66,0.63,0.65,0.65,49367,49300,0.0,0.0,0.6434,"July 06, 23",0.0,NHWK
2023-07-05,0.658,0.6698,0.648,0.6488,0.65,30965,31000,-0.0092,-1.4,0.6574,"July 05, 23",-0.014,NHWK
2023-07-03,0.654,0.6699,0.654,0.6605,0.66,24892,24900,0.0065,0.99388,0.6631,"July 03, 23",0.0099388,NHWK
2023-06-30,0.66,0.672001,0.6528,0.6699,0.67,61332,60300,0.0099,1.5,0.6601,"June 30, 23",0.015,NHWK
2023-06-29,0.6874,0.6874,0.6635,0.68,0.68,47168,47200,-0.0074,-1.08,0.6785,"June 29, 23",-0.0108,NHWK
2023-06-28,0.65,0.71,0.65,0.686,0.69,76326,76300,0.036,5.54,0.6911,"June 28, 23",0.0554,NHWK
2023-06-27,0.68,0.6999,0.64,0.67,0.67,39664,39700,-0.01,-1.47,0.6641,"June 27, 23",-0.0147,NHWK
2023-06-26,0.69,0.69,0.66,0.68,0.68,39527,39500,-0.01,-1.45,0.6726,"June 26, 23",-0.0145,NHWK
2023-06-23,0.7061,0.71,0.6613,0.6613,0.66,77964,78000,-0.0448,-6.34,0.6726,"June 23, 23",-0.0634,NHWK
2023-06-22,0.66,0.7,0.6597,0.6709,0.67,61647,61500,0.0109,1.65,0.6834,"June 22, 23",0.0165,NHWK
2023-06-21,0.67,0.6756,0.651,0.67,0.67,38128,38100,0.0,0.0,0.6626,"June 21, 23",0.0,NHWK
2023-06-20,0.7,0.7101,0.681,0.681,0.68,83460,83000,-0.019,-2.71,0.6899,"June 20, 23",-0.0271,NHWK
2023-06-16,0.7082,0.7199,0.7,0.7002,0.7,138147,138100,-0.008,-1.13,0.7096,"June 16, 23",-0.0113,NHWK
2023-06-15,0.72,0.7425,0.7,0.7301,0.73,334200,334200,0.0101,1.4,0.721,"June 15, 23",0.014,NHWK
2023-06-14,0.75,0.885,0.654,0.7803,0.78,5377930,5377900,0.0303,4.04,0.8521,"June 14, 23",0.0404,NHWK
2023-06-13,0.6,0.688,0.6,0.6218,0.62,287020,287000,0.0218,3.63,0.6678,"June 13, 23",0.0363,NHWK
2023-06-12,0.65,0.65,0.600201,0.615,0.62,76248,76200,-0.035,-5.38,0.6202,"June 12, 23",-0.0538,NHWK
2023-06-09,0.63,0.67,0.6201,0.63,0.63,56991,57000,0.0,0.0,0.6332,"June 09, 23",0.0,NHWK
2023-06-08,0.6275,0.69,0.6251,0.64,0.64,36072,35800,0.0125,1.99,0.6527,"June 08, 23",0.0199,NHWK
2023-06-07,0.6407,0.6503,0.6251,0.649,0.65,30185,30200,0.0083,1.3,0.6386,"June 07, 23",0.013,NHWK
2023-06-06,0.68,0.6891,0.502,0.65025,0.65,138779,138800,-0.02975,-4.38,0.6148,"June 06, 23",-0.0438,NHWK
2023-06-05,0.67,0.695599,0.65,0.664767,0.66,80416,78600,-0.005233,-0.78104,0.6633,"June 05, 23",-0.0078104,NHWK
2023-06-02,0.6607,0.696,0.6607,0.69,0.69,18997,19000,0.0293,4.43,0.6863,"June 02, 23",0.0443,NHWK
2023-06-01,0.67,0.68,0.66,0.6798,0.68,32578,32500,0.0098,1.46,0.6687,"June 01, 23",0.0146,NHWK
2023-05-31,0.67,0.709799,0.65,0.67,0.67,22387,22400,0.0,0.0,0.672,"May 31, 23",0.0,NHWK
2023-05-30,0.68,0.698,0.6633,0.683,0.68,48556,48400,0.003,0.44118,0.6794,"May 30, 23",0.0044118,NHWK
2023-05-26,0.69,0.736799,0.66,0.67,0.67,44558,44500,-0.02,-2.9,0.6831,"May 26, 23",-0.029,NHWK
2023-05-25,0.7286,0.7286,0.69,0.69,0.69,96549,96500,-0.0386,-5.3,0.7019,"May 25, 23",-0.053,NHWK
2023-05-24,0.76,0.7773,0.73,0.74,0.74,42711,42700,-0.02,-2.63,0.7492,"May 24, 23",-0.0263,NHWK
2023-05-23,0.79,0.799799,0.7701,0.7773,0.78,115049,115000,-0.0127,-1.61,0.7775,"May 23, 23",-0.0161,NHWK
2023-05-22,0.76,0.79,0.7365,0.79,0.79,70597,70600,0.03,3.95,0.7605,"May 22, 23",0.0395,NHWK
2023-05-19,0.7352,0.7895,0.7351,0.76,0.76,45103,42600,0.0248,3.37,0.7526,"May 19, 23",0.0337,NHWK
2023-05-18,0.78,0.7845,0.75,0.7543,0.75,39341,39300,-0.0257,-3.29,0.7718,"May 18, 23",-0.0329,NHWK
2023-05-17,0.69,0.79,0.69,0.7799,0.78,76443,76400,0.0899,13.03,0.7592,"May 17, 23",0.1303,NHWK
2023-05-16,0.7,0.745,0.7,0.7,0.7,52923,52900,0.0,0.0,0.7219,"May 16, 23",0.0,NHWK
2023-05-15,0.79,0.79,0.7,0.7,0.7,37695,37700,-0.09,-11.39,0.7517,"May 15, 23",-0.1139,NHWK
2023-05-12,0.67,0.7269,0.67,0.69,0.69,17855,17900,0.02,2.99,0.6909,"May 12, 23",0.0299,NHWK
2023-05-11,0.6882,0.7,0.681,0.686,0.69,13564,13600,-0.0022,-0.31967,0.6916,"May 11, 23",-0.0031967,NHWK
2023-05-10,0.7,0.71,0.6862,0.6882,0.69,13689,13700,-0.0118,-1.69,0.6903,"May 10, 23",-0.0169,NHWK
2023-05-09,0.68,0.6918,0.67,0.6918,0.69,13517,13500,0.0118,1.74,0.6798,"May 09, 23",0.0174,NHWK
2023-05-08,0.7,0.70265,0.66,0.691801,0.69,42968,43000,-0.008199,-1.17,0.6784,"May 08, 23",-0.0117,NHWK
2023-05-05,0.7458,0.7458,0.67,0.6744,0.67,71664,71400,-0.0714,-9.57,0.6909,"May 05, 23",-0.0957,NHWK
2023-05-04,0.73,0.76,0.7,0.721499,0.72,27365,27300,-0.008501,-1.16,0.7349,"May 04, 23",-0.0116,NHWK
2023-05-03,0.7,0.7799,0.7,0.73,0.73,59824,59800,0.03,4.29,0.7338,"May 03, 23",0.0429,NHWK
2023-05-02,0.68,0.85,0.66,0.7166,0.72,71406,71400,0.0366,5.38,0.7447,"May 02, 23",0.0538,NHWK
2023-05-01,0.665,0.6943,0.65,0.67,0.67,31901,31700,0.005,0.75188,0.6646,"May 01, 23",0.0075188,NHWK
2023-04-28,0.7,0.7162,0.65,0.66,0.66,38843,38800,-0.04,-5.71,0.6687,"April 28, 23",-0.0571,NHWK
2023-04-27,0.675,0.729,0.66,0.66,0.66,74053,74000,-0.015,-2.22,0.6753,"April 27, 23",-0.0222,NHWK
2023-04-26,0.72,0.75,0.68,0.68,0.68,59674,59700,-0.04,-5.56,0.7088,"April 26, 23",-0.0556,NHWK
2023-04-25,0.7211,0.74,0.71,0.71,0.71,54462,54500,-0.0111,-1.54,0.721,"April 25, 23",-0.0154,NHWK
2023-04-24,0.75,0.76,0.73345,0.734,0.73,19494,19200,-0.016,-2.13,0.7447,"April 24, 23",-0.0213,NHWK
2023-04-21,0.76,0.77,0.75,0.7666,0.77,30707,30700,0.0066,0.86842,0.7604,"April 21, 23",0.0086842,NHWK
2023-04-20,0.77,0.784,0.7611,0.7611,0.76,24130,24100,-0.0089,-1.16,0.771,"April 20, 23",-0.0116,NHWK
2023-04-19,0.7701,0.7798,0.77,0.7701,0.77,18092,18100,0.0,0.0,0.7714,"April 19, 23",0.0,NHWK
2023-04-18,0.784,0.784,0.77,0.77,0.77,27663,27500,-0.014,-1.79,0.7762,"April 18, 23",-0.0179,NHWK
2023-04-17,0.77,0.7839,0.77,0.7788,0.78,18014,17900,0.0088,1.14,0.7732,"April 17, 23",0.0114,NHWK
2023-04-14,0.775,0.7849,0.77,0.77,0.77,30318,30300,-0.005,-0.64516,0.775,"April 14, 23",-0.0064516,NHWK
2023-04-13,0.79,0.8107,0.775101,0.7802,0.78,54509,54500,-0.0098,-1.24,0.7906,"April 13, 23",-0.0124,NHWK
2023-04-12,0.7934,0.84,0.78,0.7901,0.79,34430,34400,-0.0033,-0.41593,0.8144,"April 12, 23",-0.0041593,NHWK
2023-04-11,0.8151,0.848,0.77,0.77,0.77,59734,59700,-0.0451,-5.53,0.7937,"April 11, 23",-0.0553,NHWK
2023-04-10,0.84,0.8524,0.771,0.82,0.82,120343,120300,-0.02,-2.38,0.8093,"April 10, 23",-0.0238,NHWK
2023-04-06,0.8699,0.8699,0.84,0.84,0.84,13695,13700,-0.0299,-3.44,0.8517,"April 06, 23",-0.0344,NHWK
