date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,1.6,1.63,1.59,1.61,1.61,40605,40605,0.01,0.625,1.6,"July 11, 23",0.00625,NM
2023-07-10,1.63,1.6412,1.5997,1.62,1.62,49848,49800,-0.01,-0.6135,1.61,"July 10, 23",-0.006135,NM
2023-07-07,1.64,1.67,1.62,1.6401,1.64,43053,43100,0.0001,0.00609756,1.64,"July 07, 23",6.09756e-05,NM
2023-07-06,1.66,1.66,1.62,1.65,1.65,24839,24800,-0.01,-0.60241,1.64,"July 06, 23",-0.0060241,NM
2023-07-05,1.67,1.68,1.65,1.66,1.66,9013,9000,-0.01,-0.5988,1.66,"July 05, 23",-0.005988,NM
2023-07-03,1.63,1.67,1.63,1.66,1.66,14346,14300,0.03,1.84,1.66,"July 03, 23",0.0184,NM
2023-06-30,1.67,1.67,1.635,1.64,1.64,46148,46100,-0.03,-1.8,1.66,"June 30, 23",-0.018,NM
2023-06-29,1.68,1.69,1.65,1.67,1.67,24577,24600,-0.01,-0.59524,1.67,"June 29, 23",-0.0059524,NM
2023-06-28,1.669,1.68,1.6397,1.65,1.65,45109,45100,-0.019,-1.14,1.66,"June 28, 23",-0.0114,NM
2023-06-27,1.6501,1.67,1.65,1.65,1.65,11473,11500,-0.0001,-0.00606024,1.66,"June 27, 23",-6.06024e-05,NM
2023-06-26,1.64,1.69,1.64,1.65,1.65,35433,35400,0.01,0.60976,1.66,"June 26, 23",0.0060976,NM
2023-06-23,1.64,1.69,1.64,1.69,1.69,25784,25800,0.05,3.05,1.67,"June 23, 23",0.0305,NM
2023-06-22,1.71,1.71,1.675,1.69,1.69,8371,8400,-0.02,-1.17,1.69,"June 22, 23",-0.0117,NM
2023-06-21,1.67,1.72,1.67,1.71,1.71,32754,32800,0.04,2.4,1.69,"June 21, 23",0.024,NM
2023-06-20,1.67,1.69,1.65,1.65,1.65,20723,20700,-0.02,-1.2,1.66,"June 20, 23",-0.012,NM
2023-06-16,1.7,1.7,1.65,1.65,1.65,20683,20700,-0.05,-2.94,1.68,"June 16, 23",-0.0294,NM
2023-06-15,1.69,1.69,1.66,1.68,1.68,21172,21100,-0.01,-0.59172,1.67,"June 15, 23",-0.0059172,NM
2023-06-14,1.7,1.73,1.67,1.69,1.69,22819,22800,-0.01,-0.58824,1.7,"June 14, 23",-0.0058824,NM
