date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.86,3.89,3.85,3.89,3.89,313379,313276,0.03,0.7772,3.88,"July 11, 23",0.007772,NMR
2023-07-10,3.84,3.87,3.83,3.86,3.86,267284,267300,0.02,0.52083,3.86,"July 10, 23",0.0052083,NMR
2023-07-07,3.81,3.87,3.81,3.86,3.86,370354,370400,0.05,1.31,3.85,"July 07, 23",0.0131,NMR
2023-07-06,3.86,3.86,3.79,3.8,3.8,309252,309300,-0.06,-1.55,3.81,"July 06, 23",-0.0155,NMR
2023-07-05,3.88,3.9,3.87,3.9,3.9,577159,577200,0.02,0.51546,3.89,"July 05, 23",0.0051546,NMR
2023-07-03,3.88,3.9,3.875,3.88,3.88,302143,302100,0.0,0.0,3.89,"July 03, 23",0.0,NMR
2023-06-30,3.82,3.85,3.81,3.83,3.83,919192,919200,0.01,0.26178,3.84,"June 30, 23",0.0026178,NMR
2023-06-29,3.8,3.82,3.77,3.81,3.81,787575,787600,0.01,0.26316,3.8,"June 29, 23",0.0026316,NMR
2023-06-28,3.85,3.88,3.84,3.87,3.87,497343,497300,0.02,0.51948,3.86,"June 28, 23",0.0051948,NMR
2023-06-27,3.78,3.79,3.75,3.78,3.78,1133202,1133200,0.0,0.0,3.78,"June 27, 23",0.0,NMR
2023-06-26,3.79,3.82,3.77,3.8,3.8,497857,497800,0.01,0.26385,3.8,"June 26, 23",0.0026385,NMR
2023-06-23,3.83,3.83,3.78,3.8,3.8,550847,550700,-0.03,-0.78329,3.8,"June 23, 23",-0.0078329,NMR
2023-06-22,3.9,3.93,3.895,3.92,3.92,366597,366600,0.02,0.51282,3.91,"June 22, 23",0.0051282,NMR
2023-06-21,3.88,3.94,3.8729,3.92,3.92,877838,877800,0.04,1.03,3.92,"June 21, 23",0.0103,NMR
2023-06-20,3.9,3.9,3.83,3.86,3.86,608744,608700,-0.04,-1.03,3.85,"June 20, 23",-0.0103,NMR
2023-06-16,3.99,4.01,3.95,3.96,3.96,1175619,1175600,-0.03,-0.75188,3.97,"June 16, 23",-0.0075188,NMR
2023-06-15,3.9,3.96,3.89,3.96,3.96,1352582,1352600,0.06,1.54,3.94,"June 15, 23",0.0154,NMR
2023-06-14,3.8,3.83,3.785,3.81,3.81,1009564,1009600,0.01,0.26316,3.81,"June 14, 23",0.0026316,NMR
2023-06-13,3.73,3.775,3.73,3.77,3.77,759652,759600,0.04,1.07,3.76,"June 13, 23",0.0107,NMR
2023-06-12,3.71,3.7199,3.6892,3.71,3.71,1316148,1316100,0.0,0.0,3.71,"June 12, 23",0.0,NMR
2023-06-09,3.73,3.75,3.715,3.74,3.74,1018033,1018000,0.01,0.2681,3.74,"June 09, 23",0.002681,NMR
2023-06-08,3.71,3.72,3.68,3.72,3.72,788930,788900,0.01,0.26954,3.7,"June 08, 23",0.0026954,NMR
2023-06-07,3.71,3.72,3.685,3.71,3.71,534852,534900,0.0,0.0,3.7,"June 07, 23",0.0,NMR
2023-06-06,3.66,3.76,3.66,3.75,3.75,1076625,1076600,0.09,2.46,3.73,"June 06, 23",0.0246,NMR
2023-06-05,3.7,3.7,3.64,3.64,3.64,954490,853900,-0.06,-1.62,3.66,"June 05, 23",-0.0162,NMR
2023-06-02,3.65,3.68,3.64,3.67,3.67,1065866,1065900,0.02,0.54795,3.66,"June 02, 23",0.0054795,NMR
2023-06-01,3.54,3.585,3.53,3.56,3.56,2661667,2661700,0.02,0.56497,3.57,"June 01, 23",0.0056497,NMR
2023-05-31,3.46,3.52,3.46,3.51,3.51,2720307,2720300,0.05,1.45,3.49,"May 31, 23",0.0145,NMR
2023-05-30,3.48,3.51,3.46,3.51,3.51,2251561,2251500,0.03,0.86207,3.48,"May 30, 23",0.0086207,NMR
2023-05-26,3.5,3.515,3.4841,3.5,3.5,1338583,1338600,0.0,0.0,3.5,"May 26, 23",0.0,NMR
2023-05-25,3.54,3.57,3.52,3.55,3.55,1482942,1482900,0.01,0.28249,3.54,"May 25, 23",0.0028249,NMR
2023-05-24,3.61,3.61,3.55,3.58,3.58,1756480,1756500,-0.03,-0.83102,3.56,"May 24, 23",-0.0083102,NMR
2023-05-23,3.62,3.64,3.61,3.61,3.61,1136772,1136800,-0.01,-0.27624,3.63,"May 23, 23",-0.0027624,NMR
2023-05-22,3.58,3.62,3.56,3.61,3.61,1030804,1030800,0.03,0.83799,3.6,"May 22, 23",0.0083799,NMR
2023-05-19,3.55,3.575,3.53,3.54,3.54,2388690,2388700,-0.01,-0.28169,3.55,"May 19, 23",-0.0028169,NMR
2023-05-18,3.66,3.66,3.58,3.63,3.63,2615877,2615900,-0.03,-0.81967,3.6,"May 18, 23",-0.0081967,NMR
2023-05-17,3.63,3.68,3.62,3.68,3.68,786759,786800,0.05,1.38,3.66,"May 17, 23",0.0138,NMR
2023-05-16,3.64,3.64,3.57,3.59,3.59,1536925,1536900,-0.05,-1.37,3.59,"May 16, 23",-0.0137,NMR
2023-05-15,3.59,3.66,3.59,3.66,3.66,676633,676600,0.07,1.95,3.64,"May 15, 23",0.0195,NMR
2023-05-12,3.57,3.62,3.54,3.55,3.55,1522312,1522300,-0.02,-0.56022,3.56,"May 12, 23",-0.0056022,NMR
2023-05-11,3.57,3.59,3.569,3.59,3.59,425793,425800,0.02,0.56022,3.58,"May 11, 23",0.0056022,NMR
2023-05-10,3.57,3.57,3.52,3.53,3.53,567360,567400,-0.04,-1.12,3.53,"May 10, 23",-0.0112,NMR
2023-05-09,3.55,3.56,3.53,3.55,3.55,476324,476300,0.0,0.0,3.55,"May 09, 23",0.0,NMR
2023-05-08,3.51,3.5499,3.51,3.52,3.52,306413,306400,0.01,0.2849,3.53,"May 08, 23",0.002849,NMR
2023-05-05,3.43,3.53,3.43,3.52,3.52,1800697,1800700,0.09,2.62,3.51,"May 05, 23",0.0262,NMR
2023-05-04,3.43,3.4434,3.38,3.4,3.4,1073709,1073700,-0.03,-0.87464,3.4,"May 04, 23",-0.0087464,NMR
2023-05-03,3.44,3.48,3.435,3.44,3.44,2556223,2556200,0.0,0.0,3.46,"May 03, 23",0.0,NMR
2023-05-02,3.46,3.47,3.4,3.45,3.45,1480792,1480800,-0.01,-0.28902,3.43,"May 02, 23",-0.0028902,NMR
2023-05-01,3.55,3.575,3.52,3.55,3.55,2437335,2437300,0.0,0.0,3.54,"May 01, 23",0.0,NMR
2023-04-28,3.56,3.59,3.54,3.56,3.56,1907732,1908100,0.0,0.0,3.56,"April 28, 23",0.0,NMR
2023-04-27,3.64,3.64,3.58,3.62,3.62,692847,692800,-0.02,-0.54945,3.61,"April 27, 23",-0.0054945,NMR
2023-04-26,3.94,3.94,3.67,3.72,3.72,1276951,1276900,-0.22,-5.58,3.73,"April 26, 23",-0.0558,NMR
2023-04-25,3.91,3.91,3.86,3.86,3.86,554306,554300,-0.05,-1.28,3.88,"April 25, 23",-0.0128,NMR
2023-04-24,3.81,3.83,3.8,3.82,3.82,325005,325000,0.01,0.26247,3.82,"April 24, 23",0.0026247,NMR
2023-04-21,3.86,3.86,3.82,3.84,3.84,326548,326500,-0.02,-0.51813,3.83,"April 21, 23",-0.0051813,NMR
