date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,10.53,10.53,10.5299,10.5299,10.5299,405,405,-0.0001,-0.00094967,10.53,"July 11, 23",-9.4967e-06,NVAC
2023-07-10,10.5,10.5,10.5,10.5,10.5,0,0,0.0,0.0,10.5,"July 10, 23",0.0,NVAC
2023-07-07,10.5,10.5,10.5,10.5,10.5,0,0,0.0,0.0,10.5,"July 07, 23",0.0,NVAC
2023-07-06,10.5,10.5,10.5,10.5,10.5,401,400,0.0,0.0,10.51,"July 06, 23",0.0,NVAC
2023-07-05,10.44,10.49,10.44,10.4897,10.49,32695,32700,0.0497,0.47605,10.47,"July 05, 23",0.0047605,NVAC
2023-07-03,10.43,10.43,10.43,10.43,10.43,123,100,0.0,0.0,10.44,"July 03, 23",0.0,NVAC
2023-06-30,10.47,10.47,10.47,10.47,10.47,1502,1500,0.0,0.0,10.47,"June 30, 23",0.0,NVAC
2023-06-29,10.42,10.4601,10.42,10.4501,10.45,60818,60800,0.0301,0.28887,10.45,"June 29, 23",0.0028887,NVAC
2023-06-28,10.45,10.46,10.45,10.46,10.46,1600,1600,0.01,0.09569378,10.45,"June 28, 23",0.0009569378,NVAC
2023-06-27,10.4,10.45,10.4,10.45,10.45,16746,16700,0.05,0.48077,10.42,"June 27, 23",0.0048077,NVAC
2023-06-26,10.4,10.4,10.38,10.4,10.4,3018,3000,0.0,0.0,10.4,"June 26, 23",0.0,NVAC
2023-06-23,10.4,10.4,10.4,10.4,10.4,0,0,0.0,0.0,10.4,"June 23, 23",0.0,NVAC
2023-06-22,10.4,10.4,10.4,10.4,10.4,0,0,0.0,0.0,10.4,"June 22, 23",0.0,NVAC
2023-06-21,10.4,10.4,10.4,10.4,10.4,106,100,0.0,0.0,10.4,"June 21, 23",0.0,NVAC
2023-06-20,10.39,10.39,10.39,10.39,10.39,0,0,0.0,0.0,10.39,"June 20, 23",0.0,NVAC
2023-06-16,10.39,10.39,10.39,10.39,10.39,204,200,0.0,0.0,10.39,"June 16, 23",0.0,NVAC
2023-06-15,10.37,10.38,10.37,10.38,10.38,7900,7900,0.01,0.09643202,10.37,"June 15, 23",0.0009643202,NVAC
2023-06-14,10.365,10.37,10.3606,10.37,10.37,4031,4000,0.005,0.04823927,10.37,"June 14, 23",0.0004823927,NVAC
2023-06-13,10.36,10.36,10.36,10.36,10.36,0,0,0.0,0.0,10.36,"June 13, 23",0.0,NVAC
2023-06-12,10.36,10.36,10.36,10.36,10.36,306,300,0.0,0.0,10.36,"June 12, 23",0.0,NVAC
2023-06-09,10.35,10.37,10.35,10.37,10.37,4702,4700,0.02,0.19324,10.35,"June 09, 23",0.0019324,NVAC
2023-06-08,10.36,10.36,10.35,10.35,10.35,5101,5100,-0.01,-0.0965251,10.36,"June 08, 23",-0.000965251,NVAC
2023-06-07,10.36,10.36,10.36,10.36,10.36,180,200,0.0,0.0,10.36,"June 07, 23",0.0,NVAC
2023-06-06,10.35,10.35,10.35,10.35,10.35,0,0,0.0,0.0,10.35,"June 06, 23",0.0,NVAC
2023-06-05,10.35,10.35,10.35,10.35,10.35,0,0,0.0,0.0,10.35,"June 05, 23",0.0,NVAC
2023-06-02,10.35,10.35,10.35,10.35,10.35,0,0,0.0,0.0,10.35,"June 02, 23",0.0,NVAC
2023-06-01,10.3502,10.3502,10.3502,10.3502,10.35,200,200,0.0,0.0,10.35,"June 01, 23",0.0,NVAC
2023-05-31,10.37,10.37,10.37,10.37,10.37,5417,5400,0.0,0.0,10.37,"May 31, 23",0.0,NVAC
2023-05-30,10.36,10.37,10.36,10.37,10.37,5977,6000,0.01,0.0965251,10.36,"May 30, 23",0.000965251,NVAC
2023-05-26,10.357,10.357,10.357,10.357,10.357,0,0,0.0,0.0,10.36,"May 26, 23",0.0,NVAC
2023-05-25,10.357,10.357,10.357,10.357,10.357,0,0,0.0,0.0,10.36,"May 25, 23",0.0,NVAC
2023-05-24,10.35,10.36,10.3499,10.357,10.357,41097,41100,0.007,0.06763285,10.36,"May 24, 23",0.0006763285,NVAC
2023-05-23,10.345,10.345,10.345,10.345,10.345,0,0,0.0,0.0,10.35,"May 23, 23",0.0,NVAC
2023-05-22,10.35,10.35,10.345,10.345,10.345,275,300,-0.005,-0.04830918,10.35,"May 22, 23",-0.0004830918,NVAC
