date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,21.4,21.8163,21.26,21.77,21.77,932490,905757,0.37,1.73,21.62,"July 11, 23",0.0173,OI
2023-07-10,20.99,21.55,20.99,21.21,21.209999,692978,693000,0.22,1.05,21.26,"July 10, 23",0.0105,OI
2023-07-07,20.92,21.66,20.865,21.42,21.42,694251,694200,0.5,2.39,21.39,"July 07, 23",0.0239,OI
2023-07-06,21.04,21.04,20.565,20.96,20.959999,588471,588500,-0.08,-0.38023,20.83,"July 06, 23",-0.0038023,OI
2023-07-05,21.67,21.67,21.125,21.17,21.17,778157,778200,-0.5,-2.31,21.3,"July 05, 23",-0.0231,OI
2023-07-03,21.29,21.98,21.29,21.91,21.91,487380,487400,0.62,2.91,21.86,"July 03, 23",0.0291,OI
2023-06-30,21.17,21.45,21.005,21.33,21.33,1143154,1142900,0.16,0.75579,21.31,"June 30, 23",0.0075579,OI
2023-06-29,20.57,21.08,20.51,21.01,21.01,654007,654000,0.44,2.14,20.93,"June 29, 23",0.0214,OI
2023-06-28,20.56,20.715,20.41,20.64,20.639999,673316,673300,0.08,0.38911,20.61,"June 28, 23",0.0038911,OI
2023-06-27,20.34,21.0,20.26,20.69,20.690001,1018272,1018300,0.35,1.72,20.78,"June 27, 23",0.0172,OI
2023-06-26,20.28,20.66,20.28,20.4,20.4,1073810,1073800,0.12,0.59172,20.45,"June 26, 23",0.0059172,OI
2023-06-23,20.62,21.01,20.15,20.16,20.16,2228911,2228900,-0.46,-2.23,20.27,"June 23, 23",-0.0223,OI
2023-06-22,20.86,21.105,20.46,21.02,21.02,1075260,1075200,0.16,0.76702,20.9,"June 22, 23",0.0076702,OI
2023-06-21,20.72,21.005,20.52,20.85,20.85,719090,719100,0.13,0.62741,20.89,"June 21, 23",0.0062741,OI
2023-06-20,20.72,20.99,20.53,20.81,20.809999,787062,787100,0.09,0.43436,20.78,"June 20, 23",0.0043436,OI
2023-06-16,21.53,21.72,20.64,20.94,20.940001,2920758,2920800,-0.59,-2.74,20.93,"June 16, 23",-0.0274,OI
2023-06-15,20.75,21.135,20.595,21.11,21.110001,898803,898800,0.36,1.73,20.94,"June 15, 23",0.0173,OI
2023-06-14,21.49,21.57,20.1,20.86,20.860001,1468221,1468200,-0.63,-2.93,20.94,"June 14, 23",-0.0293,OI
2023-06-13,21.11,21.73,21.0759,21.44,21.440001,1022307,1022300,0.33,1.56,21.4,"June 13, 23",0.0156,OI
2023-06-12,20.81,21.2,20.61,21.15,21.15,1128830,1128800,0.34,1.63,20.98,"June 12, 23",0.0163,OI
2023-06-09,21.24,21.47,20.855,20.88,20.879999,1002377,1002400,-0.36,-1.69,21.03,"June 09, 23",-0.0169,OI
2023-06-08,22.32,22.32,21.35,21.42,21.42,1713189,1713200,-0.9,-4.03,21.57,"June 08, 23",-0.0403,OI
2023-06-07,22.15,22.735,22.01,22.37,22.370001,1347986,1348000,0.22,0.99323,22.46,"June 07, 23",0.0099323,OI
2023-06-06,21.52,22.12,21.52,21.97,21.969999,811825,811800,0.45,2.09,21.98,"June 06, 23",0.0209,OI
2023-06-05,21.66,21.87,20.99,21.63,21.629999,987223,950600,-0.03,-0.1385,21.63,"June 05, 23",-0.001385,OI
2023-06-02,21.32,22.01,21.3,21.99,21.99,927472,927500,0.67,3.14,21.88,"June 02, 23",0.0314,OI
2023-06-01,20.66,21.1,20.54,20.84,20.84,614534,614500,0.18,0.87125,20.88,"June 01, 23",0.0087125,OI
2023-05-31,21.36,21.495,20.4,20.72,20.719999,959757,959800,-0.64,-3.0,20.71,"May 31, 23",-0.03,OI
2023-05-30,21.78,21.87,21.655,21.71,21.440001,11961,667600,-0.07,-0.3214,21.77,"May 30, 23",-0.003214,OI
2023-05-26,21.84,22.1,21.67,21.9,21.9,696423,696400,0.06,0.27473,21.9,"May 26, 23",0.0027473,OI
2023-05-25,21.51,21.75,21.3,21.75,21.75,640893,640900,0.24,1.12,21.63,"May 25, 23",0.0112,OI
2023-05-24,21.84,21.945,21.47,21.61,21.610001,678117,678100,-0.23,-1.05,21.69,"May 24, 23",-0.0105,OI
2023-05-23,21.94,22.47,21.77,22.08,22.08,861302,861300,0.14,0.6381,22.15,"May 23, 23",0.006381,OI
2023-05-22,21.87,22.24,21.8195,22.14,22.139999,724009,724000,0.27,1.23,22.11,"May 22, 23",0.0123,OI
2023-05-19,22.13,22.22,21.59,21.88,21.879999,799660,799700,-0.25,-1.13,21.88,"May 19, 23",-0.0113,OI
2023-05-18,21.4,21.625,20.98,21.55,21.549999,1008974,1009000,0.15,0.70093,21.32,"May 18, 23",0.0070093,OI
2023-05-17,21.12,21.66,21.02,21.48,21.48,1027035,1027000,0.36,1.7,21.43,"May 17, 23",0.017,OI
2023-05-16,21.11,21.15,20.78,20.92,20.92,741122,741100,-0.19,-0.90005,20.98,"May 16, 23",-0.0090005,OI
2023-05-15,21.07,21.19,20.92,21.13,21.129999,625397,625400,0.06,0.28477,21.1,"May 15, 23",0.0028477,OI
2023-05-12,20.95,21.145,20.685,20.96,20.959999,580898,580900,0.01,0.0477327,20.89,"May 12, 23",0.000477327,OI
2023-05-11,20.83,20.95,20.66,20.89,20.889999,661897,661900,0.06,0.28805,20.82,"May 11, 23",0.0028805,OI
2023-05-10,21.5,21.6018,20.79,20.95,20.950001,898030,898000,-0.55,-2.56,20.98,"May 10, 23",-0.0256,OI
2023-05-09,21.47,21.5325,21.2359,21.33,21.33,703453,703400,-0.14,-0.65207,21.34,"May 09, 23",-0.0065207,OI
2023-05-08,21.83,21.83,21.27,21.51,21.51,617063,617100,-0.32,-1.47,21.48,"May 08, 23",-0.0147,OI
2023-05-05,21.48,21.92,21.25,21.75,21.75,901273,901300,0.27,1.26,21.71,"May 05, 23",0.0126,OI
2023-05-04,21.42,21.63,21.17,21.32,21.32,638822,638700,-0.1,-0.46685,21.36,"May 04, 23",-0.0046685,OI
2023-05-03,22.12,22.25,21.46,21.52,21.52,872428,872400,-0.6,-2.71,21.66,"May 03, 23",-0.0271,OI
2023-05-02,22.34,22.34,21.49,22.11,22.110001,747825,747800,-0.23,-1.03,21.95,"May 02, 23",-0.0103,OI
2023-05-01,22.75,22.99,22.44,22.47,22.469999,956286,956300,-0.28,-1.23,22.63,"May 01, 23",-0.0123,OI
2023-04-28,22.51,22.7,22.29,22.47,22.469999,969712,969700,-0.04,-0.1777,22.45,"April 28, 23",-0.001777,OI
2023-04-27,21.97,22.79,21.75,22.65,22.65,1386633,1386600,0.68,3.1,22.49,"April 27, 23",0.031,OI
2023-04-26,23.09,23.09,21.06,21.14,21.139999,2702727,2702700,-1.95,-8.45,21.41,"April 26, 23",-0.0845,OI
2023-04-25,20.86,21.215,20.68,21.05,21.049999,1260913,1260900,0.19,0.91083,21.05,"April 25, 23",0.0091083,OI
