date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.24,3.37,3.143,3.21,3.21,860223,858001,-0.03,-0.92593,3.24,"July 11, 23",-0.0092593,ONCY
2023-07-10,3.06,3.32,3.05,3.24,3.24,989380,989400,0.18,5.88,3.21,"July 10, 23",0.0588,ONCY
2023-07-07,3.11,3.28,2.96,3.06,3.06,1018968,1017800,-0.05,-1.61,3.14,"July 07, 23",-0.0161,ONCY
2023-07-06,3.07,3.22,2.79,3.11,3.11,1272313,1270400,0.04,1.3,3.03,"July 06, 23",0.013,ONCY
2023-07-05,3.03,3.36,2.99,3.1,3.1,2048458,2048100,0.07,2.31,3.17,"July 05, 23",0.0231,ONCY
2023-07-03,2.61,3.16,2.61,3.13,3.13,1772724,1772700,0.52,19.92,2.97,"July 03, 23",0.1992,ONCY
2023-06-30,2.72,2.7699,2.53,2.6,2.6,915170,914900,-0.12,-4.41,2.65,"June 30, 23",-0.0441,ONCY
2023-06-29,2.46,2.78,2.45,2.62,2.62,1312195,1312200,0.16,6.5,2.65,"June 29, 23",0.065,ONCY
2023-06-28,2.41,2.48,2.21,2.42,2.42,977415,977400,0.01,0.41494,2.33,"June 28, 23",0.0041494,ONCY
2023-06-27,2.7,2.75,2.4,2.46,2.46,1337885,1337900,-0.24,-8.89,2.49,"June 27, 23",-0.0889,ONCY
2023-06-26,2.75,2.99,2.62,2.67,2.67,2488054,2488100,-0.08,-2.91,2.78,"June 26, 23",-0.0291,ONCY
2023-06-23,2.58,3.3942,2.52,2.74,2.74,14077077,14059100,0.16,6.2,3.03,"June 23, 23",0.062,ONCY
2023-06-22,2.22,2.85,2.171,2.52,2.52,3959213,3952800,0.3,13.51,2.54,"June 22, 23",0.1351,ONCY
2023-06-21,1.94,2.16,1.89,2.16,2.16,872553,872600,0.22,11.34,2.06,"June 21, 23",0.1134,ONCY
2023-06-20,1.95,1.99,1.89,1.91,1.91,620410,620400,-0.04,-2.05,1.93,"June 20, 23",-0.0205,ONCY
2023-06-16,2.02,2.02,1.87,1.93,1.93,618714,618700,-0.09,-4.46,1.93,"June 16, 23",-0.0446,ONCY
2023-06-15,1.89,2.07,1.8625,1.95,1.95,718081,718100,0.06,3.17,1.98,"June 15, 23",0.0317,ONCY
2023-06-14,2.14,2.155,1.87,1.93,1.93,1159629,1159600,-0.21,-9.81,2.04,"June 14, 23",-0.0981,ONCY
2023-06-13,1.86,2.07,1.7919,2.05,2.05,1211992,1212000,0.19,10.22,1.98,"June 13, 23",0.1022,ONCY
2023-06-12,1.62,1.96,1.58,1.83,1.83,1465234,1464800,0.21,12.96,1.82,"June 12, 23",0.1296,ONCY
2023-06-09,1.59,1.59,1.52,1.55,1.55,314285,313600,-0.04,-2.52,1.54,"June 09, 23",-0.0252,ONCY
2023-06-08,1.6,1.6299,1.52,1.58,1.58,430217,430200,-0.02,-1.25,1.57,"June 08, 23",-0.0125,ONCY
2023-06-07,1.6,1.64,1.56,1.59,1.59,227686,227700,-0.01,-0.625,1.59,"June 07, 23",-0.00625,ONCY
2023-06-06,1.62,1.65,1.57,1.58,1.58,357282,357300,-0.04,-2.47,1.6,"June 06, 23",-0.0247,ONCY
2023-06-05,1.69,1.74,1.58,1.64,1.64,440596,440600,-0.05,-2.96,1.63,"June 05, 23",-0.0296,ONCY
2023-06-02,1.7,1.72,1.64,1.72,1.72,228499,227500,0.02,1.18,1.68,"June 02, 23",0.0118,ONCY
2023-06-01,1.71,1.72,1.64,1.66,1.66,198113,198100,-0.05,-2.92,1.68,"June 01, 23",-0.0292,ONCY
