date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.0,2.016,1.99,1.99,1.99,16249,14096,-0.01,-0.5,2.0,"July 11, 23",-0.005,OPFI
2023-07-10,1.99,2.01,1.97,2.01,2.01,37260,37300,0.02,1.01,2.0,"July 10, 23",0.0101,OPFI
2023-07-07,2.03,2.0501,1.99,1.99,1.99,24463,24500,-0.04,-1.97,2.01,"July 07, 23",-0.0197,OPFI
2023-07-06,2.03,2.05,1.99,1.99,1.99,33375,33000,-0.04,-1.97,2.01,"July 06, 23",-0.0197,OPFI
2023-07-05,2.14,2.14,2.01,2.07,2.07,32662,32700,-0.07,-3.27,2.07,"July 05, 23",-0.0327,OPFI
2023-07-03,2.05,2.12,2.04,2.12,2.12,21450,21500,0.07,3.41,2.07,"July 03, 23",0.0341,OPFI
2023-06-30,2.05,2.05,1.99,2.04,2.04,47700,47700,-0.01,-0.4878,2.04,"June 30, 23",-0.004878,OPFI
2023-06-29,2.07,2.09,2.04,2.05,2.05,34259,34300,-0.02,-0.96618,2.06,"June 29, 23",-0.0096618,OPFI
2023-06-28,2.13,2.13,2.05,2.07,2.07,26293,26300,-0.06,-2.82,2.1,"June 28, 23",-0.0282,OPFI
2023-06-27,2.12,2.17,2.085,2.15,2.15,72753,72800,0.03,1.42,2.14,"June 27, 23",0.0142,OPFI
2023-06-26,2.16,2.1685,2.12,2.13,2.13,39458,39500,-0.03,-1.39,2.15,"June 26, 23",-0.0139,OPFI
2023-06-23,2.0,2.21,2.0,2.18,2.18,244325,244300,0.18,9.0,2.16,"June 23, 23",0.09,OPFI
2023-06-22,2.05,2.05,2.01,2.02,2.02,57298,57300,-0.03,-1.46,2.04,"June 22, 23",-0.0146,OPFI
2023-06-21,2.14,2.14,2.05,2.06,2.06,48726,48700,-0.08,-3.74,2.1,"June 21, 23",-0.0374,OPFI
2023-06-20,2.13,2.18,2.13,2.14,2.14,31727,31700,0.01,0.46948,2.15,"June 20, 23",0.0046948,OPFI
2023-06-16,2.25,2.25,2.15,2.15,2.15,49209,49200,-0.1,-4.44,2.21,"June 16, 23",-0.0444,OPFI
2023-06-15,2.26,2.3,2.21,2.25,2.25,59871,59900,-0.01,-0.44248,2.23,"June 15, 23",-0.0044248,OPFI
2023-06-14,2.3,2.37,2.25,2.25,2.25,50243,50200,-0.05,-2.17,2.29,"June 14, 23",-0.0217,OPFI
2023-06-13,2.28,2.37,2.2715,2.29,2.29,40717,40700,0.01,0.4386,2.3,"June 13, 23",0.004386,OPFI
2023-06-12,2.3,2.35,2.24,2.25,2.25,44651,44700,-0.05,-2.17,2.27,"June 12, 23",-0.0217,OPFI
2023-06-09,2.19,2.34,2.16,2.29,2.29,91442,91400,0.1,4.57,2.29,"June 09, 23",0.0457,OPFI
2023-06-08,2.21,2.23,2.18,2.19,2.19,34721,34700,-0.02,-0.90498,2.21,"June 08, 23",-0.0090498,OPFI
2023-06-07,2.12,2.2,2.1199,2.19,2.19,61270,61300,0.07,3.3,2.15,"June 07, 23",0.033,OPFI
2023-06-06,2.03,2.12,1.98,2.1,2.1,183006,183000,0.07,3.45,2.06,"June 06, 23",0.0345,OPFI
2023-06-05,2.07,2.07,2.01,2.04,2.04,83163,65100,-0.03,-1.45,2.04,"June 05, 23",-0.0145,OPFI
2023-06-02,2.12,2.12,2.06,2.09,2.09,48249,48200,-0.03,-1.42,2.09,"June 02, 23",-0.0142,OPFI
2023-06-01,2.07,2.15,2.07,2.08,2.08,49045,49000,0.01,0.48309,2.1,"June 01, 23",0.0048309,OPFI
2023-05-31,2.04,2.0617,2.0,2.04,2.04,125262,125300,0.0,0.0,2.04,"May 31, 23",0.0,OPFI
2023-05-30,2.185,2.1989,2.04,2.04,2.04,94551,114300,-0.145,-6.64,2.11,"May 30, 23",-0.0664,OPFI
2023-05-26,2.17,2.236,2.17,2.2,2.2,13261,13300,0.03,1.38,2.21,"May 26, 23",0.0138,OPFI
2023-05-25,2.21,2.28,2.17,2.2,2.2,30748,30700,-0.01,-0.45249,2.21,"May 25, 23",-0.0045249,OPFI
2023-05-24,2.12,2.265,2.11,2.24,2.24,33199,33200,0.12,5.66,2.2,"May 24, 23",0.0566,OPFI
2023-05-23,2.17,2.2,2.12,2.14,2.14,29368,29400,-0.03,-1.38,2.16,"May 23, 23",-0.0138,OPFI
2023-05-22,2.21,2.29,2.16,2.2,2.2,56170,56200,-0.01,-0.45249,2.18,"May 22, 23",-0.0045249,OPFI
2023-05-19,2.29,2.29,2.19,2.21,2.21,35159,35200,-0.08,-3.49,2.22,"May 19, 23",-0.0349,OPFI
2023-05-18,2.12,2.29,2.12,2.27,2.27,71308,71300,0.15,7.08,2.2,"May 18, 23",0.0708,OPFI
2023-05-17,2.06,2.16,2.06,2.14,2.14,59002,59000,0.08,3.88,2.1,"May 17, 23",0.0388,OPFI
2023-05-16,2.02,2.1,2.0,2.07,2.07,40158,40200,0.05,2.48,2.05,"May 16, 23",0.0248,OPFI
2023-05-15,2.11,2.11,2.045,2.07,2.07,46928,46900,-0.04,-1.9,2.08,"May 15, 23",-0.019,OPFI
2023-05-12,2.3,2.3,1.97,2.12,2.12,272819,272800,-0.18,-7.83,2.1,"May 12, 23",-0.0783,OPFI
2023-05-11,2.02,2.0685,2.02,2.05,2.05,72893,72900,0.03,1.49,2.14,"May 11, 23",0.0149,OPFI
2023-05-10,2.03,2.03,1.9573,2.02,2.02,14434,14400,-0.01,-0.49261,2.01,"May 10, 23",-0.0049261,OPFI
2023-05-09,2.0,2.03,2.0,2.01,2.01,8969,9000,0.01,0.5,2.01,"May 09, 23",0.005,OPFI
2023-05-08,2.08,2.08,2.0,2.03,2.03,19804,19800,-0.05,-2.4,2.05,"May 08, 23",-0.024,OPFI
2023-05-05,1.92,2.08,1.92,2.06,2.06,56044,56000,0.14,7.29,2.01,"May 05, 23",0.0729,OPFI
2023-05-04,1.91,1.93,1.84,1.92,1.92,141762,141800,0.01,0.52356,1.9,"May 04, 23",0.0052356,OPFI
2023-05-03,1.9,1.96,1.89,1.9,1.9,43344,43300,0.0,0.0,1.92,"May 03, 23",0.0,OPFI
2023-05-02,1.85,1.9,1.81,1.9,1.9,56857,56900,0.05,2.7,1.89,"May 02, 23",0.027,OPFI
2023-05-01,1.9,1.925,1.875,1.88,1.88,45515,45400,-0.02,-1.05,1.89,"May 01, 23",-0.0105,OPFI
2023-04-28,1.89,1.9682,1.89,1.9,1.9,21682,21700,0.01,0.5291,1.93,"April 28, 23",0.005291,OPFI
2023-04-27,1.8975,1.98,1.8975,1.92,1.92,25765,25800,0.0225,1.19,1.93,"April 27, 23",0.0119,OPFI
