date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,17.26,17.99,17.16,17.69,17.690001,11810332,11793886,0.43,2.49,17.6,"July 11, 23",0.0249,PATH
2023-07-10,16.25,17.09,15.935,17.07,17.07,7561928,7561900,0.82,5.05,16.72,"July 10, 23",0.0505,PATH
2023-07-07,16.82,17.13,16.45,16.49,16.49,6479495,6473700,-0.33,-1.96,16.68,"July 07, 23",-0.0196,PATH
2023-07-06,16.7,16.77,15.85,16.45,16.450001,11261056,11237300,-0.25,-1.5,16.25,"July 06, 23",-0.015,PATH
2023-07-05,16.76,17.43,16.585,17.22,17.219999,7046838,7046800,0.46,2.74,17.08,"July 05, 23",0.0274,PATH
2023-07-03,16.55,17.015,16.53,16.92,16.92,3904641,3904600,0.37,2.24,16.86,"July 03, 23",0.0224,PATH
2023-06-30,16.99,17.0787,16.52,16.57,16.57,6417174,6397800,-0.42,-2.47,16.76,"June 30, 23",-0.0247,PATH
2023-06-29,17.1,17.23,16.43,16.66,16.66,7709048,7709000,-0.44,-2.57,16.66,"June 29, 23",-0.0257,PATH
2023-06-28,16.89,17.28,16.8,17.16,17.16,7263234,7263200,0.27,1.6,17.04,"June 28, 23",0.016,PATH
2023-06-27,16.02,17.04,16.0,16.91,16.91,11766898,11766900,0.89,5.56,16.69,"June 27, 23",0.0556,PATH
2023-06-26,15.61,16.17,15.6,15.83,15.83,6037348,6037300,0.22,1.41,15.88,"June 26, 23",0.0141,PATH
2023-06-23,15.79,15.92,15.6,15.73,15.73,12751460,12746100,-0.06,-0.37999,15.74,"June 23, 23",-0.0037999,PATH
2023-06-22,16.32,16.42,16.04,16.08,16.08,8683468,8678900,-0.24,-1.47,16.16,"June 22, 23",-0.0147,PATH
2023-06-21,17.3,17.39,16.38,16.42,16.42,11770072,11770100,-0.88,-5.09,16.68,"June 21, 23",-0.0509,PATH
