date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,25.11,25.1896,24.76,24.82,24.82,76401,76401,-0.29,-1.15,24.97,"July 11, 23",-0.0115,PBT
2023-07-10,24.68,25.12,24.63,24.87,24.870001,104377,104200,0.19,0.76985,24.92,"July 10, 23",0.0076985,PBT
2023-07-07,23.8,24.6699,23.8,24.46,24.459999,74205,74200,0.66,2.77,24.31,"July 07, 23",0.0277,PBT
2023-07-06,24.52,24.83,23.69,24.1,24.1,128876,128900,-0.42,-1.71,24.03,"July 06, 23",-0.0171,PBT
2023-07-05,25.25,25.25,24.32,24.43,24.43,130461,130500,-0.82,-3.25,24.79,"July 05, 23",-0.0325,PBT
2023-07-03,25.2,25.35,25.04,25.25,25.25,58055,58100,0.05,0.19841,25.2,"July 03, 23",0.0019841,PBT
2023-06-30,25.05,25.48,24.82,24.93,24.93,117022,117000,-0.12,-0.47904,25.24,"June 30, 23",-0.0047904,PBT
2023-06-29,24.47,25.22,24.3453,25.05,25.049999,145090,145100,0.58,2.37,24.91,"June 29, 23",0.0237,PBT
2023-06-28,23.42,24.62,23.32,24.32,24.268,151039,151000,0.9,3.84,24.23,"June 28, 23",0.0384,PBT
2023-06-27,23.48,23.6978,23.14,23.21,23.160374,79636,79600,-0.27,-1.15,23.35,"June 27, 23",-0.0115,PBT
2023-06-26,23.0,23.65,22.81,23.39,23.339989,80428,80400,0.39,1.7,23.32,"June 26, 23",0.017,PBT
2023-06-23,23.03,23.16,22.42,22.58,22.531721,95597,95600,-0.45,-1.95,22.7,"June 23, 23",-0.0195,PBT
2023-06-22,23.74,23.75,22.99,23.53,23.530001,123462,123500,-0.21,-0.88458,23.42,"June 22, 23",-0.0088458,PBT
2023-06-21,23.99,24.3699,23.63,23.74,23.74,74711,74700,-0.25,-1.04,23.93,"June 21, 23",-0.0104,PBT
2023-06-20,24.82,24.82,23.45,23.79,23.790001,161804,161800,-1.03,-4.15,23.92,"June 20, 23",-0.0415,PBT
2023-06-16,24.7,25.0499,24.226,24.57,24.57,109351,109300,-0.13,-0.52632,24.65,"June 16, 23",-0.0052632,PBT
2023-06-15,23.89,24.81,23.85,24.61,24.610001,138197,138000,0.72,3.01,24.48,"June 15, 23",0.0301,PBT
2023-06-14,24.03,24.489,23.8207,23.96,23.959999,83160,83100,-0.07,-0.2913,24.06,"June 14, 23",-0.002913,PBT
2023-06-13,23.83,24.2985,23.36,23.73,23.73,84715,84700,-0.1,-0.41964,23.71,"June 13, 23",-0.0041964,PBT
2023-06-12,23.96,24.01,23.25,23.71,23.709999,142125,141400,-0.25,-1.04,23.67,"June 12, 23",-0.0104,PBT
2023-06-09,24.48,24.48,23.6303,23.96,23.959999,82959,83000,-0.52,-2.12,23.91,"June 09, 23",-0.0212,PBT
2023-06-08,24.77,24.77,23.922,24.47,24.469999,72692,72600,-0.3,-1.21,24.4,"June 08, 23",-0.0121,PBT
2023-06-07,23.75,24.65,23.75,24.49,24.49,96692,96700,0.74,3.12,24.32,"June 07, 23",0.0312,PBT
2023-06-06,23.96,24.1,23.4,23.75,23.75,103259,103300,-0.21,-0.87646,23.7,"June 06, 23",-0.0087646,PBT
2023-06-05,25.0,25.5,24.0,24.15,24.15,154515,130600,-0.85,-3.4,24.49,"June 05, 23",-0.034,PBT
2023-06-02,25.52,25.62,24.05,24.85,24.85,225641,225600,-0.67,-2.63,24.48,"June 02, 23",-0.0263,PBT
2023-06-01,24.82,25.58,24.64,25.18,25.18,87519,87500,0.36,1.45,25.23,"June 01, 23",0.0145,PBT
2023-05-31,24.94,25.02,24.4,24.64,24.639999,90444,90400,-0.3,-1.2,24.71,"May 31, 23",-0.012,PBT
2023-05-30,24.5,25.02,24.24,25.02,25.02,122963,122800,0.52,2.12,24.66,"May 30, 23",0.0212,PBT
2023-05-26,25.11,25.1999,24.17,24.49,24.445999,97298,97300,-0.62,-2.47,24.55,"May 26, 23",-0.0247,PBT
2023-05-25,24.55,25.2,24.22,25.06,25.014975,98320,98300,0.51,2.08,24.82,"May 25, 23",0.0208,PBT
2023-05-24,25.0,25.2,24.63,24.85,24.805353,79771,79800,-0.15,-0.6,24.93,"May 24, 23",-0.006,PBT
2023-05-23,24.86,25.2499,24.42,24.89,24.889999,91764,91800,0.03,0.12068,24.87,"May 23, 23",0.0012068,PBT
2023-05-22,24.5,25.2099,24.4101,24.84,24.84,95807,95800,0.34,1.39,24.84,"May 22, 23",0.0139,PBT
2023-05-19,24.22,24.4899,23.82,24.2,24.200001,112109,112100,-0.02,-0.08257638,24.11,"May 19, 23",-0.0008257638,PBT
2023-05-18,24.55,24.8176,24.0,24.18,24.18,94912,94800,-0.37,-1.51,24.24,"May 18, 23",-0.0151,PBT
2023-05-17,24.23,24.69,23.5,24.55,24.549999,118569,118600,0.32,1.32,24.15,"May 17, 23",0.0132,PBT
2023-05-16,24.07,24.3999,23.45,23.52,23.52,90766,90800,-0.55,-2.29,23.84,"May 16, 23",-0.0229,PBT
2023-05-15,23.9,24.4299,23.9,24.17,24.17,78550,78600,0.27,1.13,24.14,"May 15, 23",0.0113,PBT
