date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.87,2.96,2.72,2.83,2.83,243894,243587,-0.04,-1.39,2.83,"July 11, 23",-0.0139,PIII
2023-07-10,2.7,2.9887,2.7,2.89,2.89,293636,293500,0.19,7.04,2.89,"July 10, 23",0.0704,PIII
2023-07-07,2.68,2.76,2.63,2.71,2.71,189513,189500,0.03,1.12,2.7,"July 07, 23",0.0112,PIII
2023-07-06,2.71,2.72,2.52,2.65,2.65,281074,281100,-0.06,-2.21,2.63,"July 06, 23",-0.0221,PIII
2023-07-05,3.03,3.03,2.72,2.77,2.77,295411,295400,-0.26,-8.58,2.79,"July 05, 23",-0.0858,PIII
2023-07-03,2.93,3.03,2.83,2.995,2.995,174638,174600,0.065,2.22,2.95,"July 03, 23",0.0222,PIII
2023-06-30,3.22,3.28,2.92,2.99,2.99,286659,286600,-0.23,-7.14,3.02,"June 30, 23",-0.0714,PIII
2023-06-29,3.26,3.35,3.21,3.27,3.27,389692,389700,0.01,0.30675,3.29,"June 29, 23",0.0030675,PIII
2023-06-28,3.3,3.38,3.16,3.3,3.3,449017,449000,0.0,0.0,3.29,"June 28, 23",0.0,PIII
2023-06-27,3.36,3.48,3.2801,3.37,3.37,532587,532600,0.01,0.29762,3.38,"June 27, 23",0.0029762,PIII
2023-06-26,3.33,3.58,3.305,3.53,3.53,613306,613300,0.2,6.01,3.52,"June 26, 23",0.0601,PIII
2023-06-23,3.5,3.67,3.2,3.36,3.36,3062095,3061900,-0.14,-4.0,3.37,"June 23, 23",-0.04,PIII
2023-06-22,4.44,4.44,3.5,3.67,3.67,851172,851100,-0.77,-17.34,3.72,"June 22, 23",-0.1734,PIII
2023-06-21,4.07,4.515,3.95,4.4,4.4,1290592,1290600,0.33,8.11,4.38,"June 21, 23",0.0811,PIII
2023-06-20,3.86,4.25,3.86,4.2,4.2,1380539,1380500,0.34,8.81,4.17,"June 20, 23",0.0881,PIII
2023-06-16,4.0,4.05,3.835,3.9,3.9,1324448,1323500,-0.1,-2.5,3.92,"June 16, 23",-0.025,PIII
2023-06-15,4.05,4.26,3.86,4.0,4.0,1186864,1186800,-0.05,-1.23,4.01,"June 15, 23",-0.0123,PIII
2023-06-14,4.12,4.41,3.85,4.1,4.1,1338498,1338500,-0.02,-0.48544,4.1,"June 14, 23",-0.0048544,PIII
2023-06-13,4.16,4.44,4.12,4.23,4.23,579632,579600,0.07,1.68,4.32,"June 13, 23",0.0168,PIII
2023-06-12,4.4,4.6,4.2678,4.38,4.38,532270,532200,-0.02,-0.45455,4.53,"June 12, 23",-0.0045455,PIII
2023-06-09,4.56,4.59,4.191,4.46,4.46,391859,391900,-0.1,-2.19,4.4,"June 09, 23",-0.0219,PIII
2023-06-08,4.97,5.29,4.55,4.59,4.59,359587,358600,-0.38,-7.65,4.83,"June 08, 23",-0.0765,PIII
2023-06-07,5.06,5.3683,4.78,5.0,5.0,526370,526300,-0.06,-1.19,5.09,"June 07, 23",-0.0119,PIII
2023-06-06,5.28,5.56,5.04,5.09,5.09,870462,870500,-0.19,-3.6,5.3,"June 06, 23",-0.036,PIII
2023-06-05,4.9,5.39,4.75,5.24,5.24,841833,841800,0.34,6.94,5.12,"June 05, 23",0.0694,PIII
2023-06-02,4.12,4.88,3.95,4.74,4.74,1025739,1025200,0.62,15.05,4.55,"June 02, 23",0.1505,PIII
2023-06-01,4.02,4.2,3.95,4.12,4.12,411925,411900,0.1,2.49,4.12,"June 01, 23",0.0249,PIII
2023-05-31,4.11,4.17,3.82,4.05,4.05,506413,506200,-0.06,-1.46,4.01,"May 31, 23",-0.0146,PIII
2023-05-30,3.42,4.29,3.358,4.22,4.22,659464,659500,0.8,23.39,3.91,"May 30, 23",0.2339,PIII
2023-05-26,3.81,3.9,3.27,3.47,3.47,428216,428200,-0.34,-8.92,3.59,"May 26, 23",-0.0892,PIII
2023-05-25,4.15,4.15,3.595,3.8,3.8,499541,499500,-0.35,-8.43,3.9,"May 25, 23",-0.0843,PIII
2023-05-24,3.84,4.1397,3.75,4.03,4.03,356176,356200,0.19,4.95,3.96,"May 24, 23",0.0495,PIII
2023-05-23,4.04,4.09,3.72,3.86,3.86,612996,613000,-0.18,-4.46,3.91,"May 23, 23",-0.0446,PIII
2023-05-22,3.94,4.4149,3.65,4.08,4.08,1014045,1014000,0.14,3.55,3.99,"May 22, 23",0.0355,PIII
2023-05-19,3.32,3.94,3.15,3.85,3.85,823834,815900,0.53,15.96,3.67,"May 19, 23",0.1596,PIII
2023-05-18,3.43,3.58,3.06,3.19,3.19,651566,651600,-0.24,-7.0,3.3,"May 18, 23",-0.07,PIII
2023-05-17,3.5,3.73,3.1001,3.39,3.39,1097819,1097800,-0.11,-3.14,3.49,"May 17, 23",-0.0314,PIII
2023-05-16,3.0,3.345,2.775,3.21,3.21,584440,574600,0.21,7.0,3.11,"May 16, 23",0.07,PIII
2023-05-15,2.76,3.15,2.42,3.03,3.03,858501,858500,0.27,9.78,2.87,"May 15, 23",0.0978,PIII
2023-05-12,2.32,2.82,2.3101,2.63,2.63,507581,507400,0.31,13.36,2.6,"May 12, 23",0.1336,PIII
2023-05-11,2.15,2.32,1.92,2.31,2.31,417924,417900,0.16,7.44,2.18,"May 11, 23",0.0744,PIII
2023-05-10,2.07,2.34,2.07,2.22,2.22,319365,319400,0.15,7.25,2.22,"May 10, 23",0.0725,PIII
2023-05-09,1.96,2.32,1.92,2.04,2.04,429919,428300,0.08,4.08,2.1,"May 09, 23",0.0408,PIII
2023-05-08,1.89,2.04,1.8,1.93,1.93,295910,295900,0.04,2.12,1.94,"May 08, 23",0.0212,PIII
2023-05-05,1.87,1.92,1.73,1.82,1.82,219761,219600,-0.05,-2.67,1.82,"May 05, 23",-0.0267,PIII
2023-05-04,2.05,2.1499,1.6016,1.69,1.69,782852,782900,-0.36,-17.56,1.86,"May 04, 23",-0.1756,PIII
2023-05-03,2.05,3.17,1.78,2.15,2.15,4821105,4821100,0.1,4.88,2.49,"May 03, 23",0.0488,PIII
