date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,59.49,59.7995,57.66,59.42,59.419998,165154,162938,-0.07,-0.11767,58.99,"July 11, 23",-0.0011767,PLL
2023-07-10,57.1,59.2,57.1,59.16,59.16,166398,166400,2.06,3.61,58.61,"July 10, 23",0.0361,PLL
2023-07-07,57.41,59.64,57.41,57.93,57.93,151096,151100,0.52,0.90577,58.7,"July 07, 23",0.0090577,PLL
2023-07-06,57.77,57.785,56.0,57.41,57.41,215988,216000,-0.36,-0.62316,56.83,"July 06, 23",-0.0062316,PLL
2023-07-05,58.2,59.59,57.52,58.77,58.77,200067,199900,0.57,0.97938,58.7,"July 05, 23",0.0097938,PLL
2023-07-03,58.77,59.94,57.865,58.0,58.0,132315,132300,-0.77,-1.31,58.7,"July 03, 23",-0.0131,PLL
2023-06-30,56.65,58.3,56.46,57.71,57.709999,305874,305800,1.06,1.87,57.69,"June 30, 23",0.0187,PLL
2023-06-29,57.31,58.3,55.62,55.88,55.880001,342378,342200,-1.43,-2.5,56.44,"June 29, 23",-0.025,PLL
2023-06-28,57.59,58.31,57.02,57.71,57.709999,188192,188200,0.12,0.20837,57.69,"June 28, 23",0.0020837,PLL
2023-06-27,57.47,58.2908,57.0,57.99,57.990002,192669,192700,0.52,0.90482,57.81,"June 27, 23",0.0090482,PLL
2023-06-26,57.07,59.0,57.07,57.24,57.240002,192273,192300,0.17,0.29788,57.82,"June 26, 23",0.0029788,PLL
2023-06-23,57.53,57.88,56.67,57.23,57.23,502400,501900,-0.3,-0.52147,57.23,"June 23, 23",-0.0052147,PLL
2023-06-22,59.81,59.81,58.25,58.83,58.830002,223516,223500,-0.98,-1.64,58.98,"June 22, 23",-0.0164,PLL
2023-06-21,60.51,61.31,60.06,60.13,60.130001,176763,176700,-0.38,-0.628,60.61,"June 21, 23",-0.00628,PLL
2023-06-20,61.43,62.04,60.38,61.2,61.200001,233639,232600,-0.23,-0.37441,61.24,"June 20, 23",-0.0037441,PLL
2023-06-16,63.34,63.34,61.13,62.34,62.34,748070,748000,-1.0,-1.58,62.27,"June 16, 23",-0.0158,PLL
2023-06-15,60.52,63.45,60.3,62.89,62.889999,322844,322600,2.37,3.92,62.51,"June 15, 23",0.0392,PLL
2023-06-14,63.58,64.23,60.0576,61.06,61.060001,364486,364500,-2.52,-3.96,61.56,"June 14, 23",-0.0396,PLL
2023-06-13,60.79,63.27,60.48,62.8,62.799999,431172,431100,2.01,3.31,62.45,"June 13, 23",0.0331,PLL
2023-06-12,60.58,61.1,59.1701,59.73,59.73,253424,253300,-0.85,-1.4,59.98,"June 12, 23",-0.014,PLL
2023-06-09,61.64,62.0,59.6,61.11,61.110001,322369,322200,-0.53,-0.85983,60.81,"June 09, 23",-0.0085983,PLL
2023-06-08,63.4,63.8,61.36,62.31,62.310001,236713,236400,-1.09,-1.72,62.24,"June 08, 23",-0.0172,PLL
2023-06-07,64.24,65.72,62.91,63.28,63.279999,319220,319200,-0.96,-1.49,63.96,"June 07, 23",-0.0149,PLL
2023-06-06,61.18,64.99,61.1,63.65,63.650002,430522,430500,2.47,4.04,63.79,"June 06, 23",0.0404,PLL
2023-06-05,62.4,63.11,60.66,61.43,61.43,409215,409100,-0.97,-1.55,61.64,"June 05, 23",-0.0155,PLL
2023-06-02,59.61,63.77,59.5,61.95,61.950001,849044,848800,2.34,3.93,61.99,"June 02, 23",0.0393,PLL
2023-06-01,54.66,58.11,54.49,57.1,57.099998,249640,249600,2.44,4.46,56.83,"June 01, 23",0.0446,PLL
2023-05-31,55.41,56.1092,53.3298,54.77,54.77,438174,438000,-0.64,-1.16,54.42,"May 31, 23",-0.0116,PLL
2023-05-30,55.51,56.69,55.0401,56.19,56.189999,387787,387800,0.68,1.23,56.11,"May 30, 23",0.0123,PLL
2023-05-26,54.73,55.83,54.04,55.33,55.330002,279446,279000,0.6,1.1,55.16,"May 26, 23",0.011,PLL
2023-05-25,55.26,55.26,53.6,54.39,54.389999,233184,233200,-0.87,-1.57,54.36,"May 25, 23",-0.0157,PLL
2023-05-24,57.02,57.02,52.78,55.52,55.52,374857,374900,-1.5,-2.63,54.69,"May 24, 23",-0.0263,PLL
2023-05-23,58.21,60.62,57.5,57.77,57.77,329118,329100,-0.44,-0.75588,59.1,"May 23, 23",-0.0075588,PLL
2023-05-22,58.75,59.0,56.69,58.57,58.57,283648,283600,-0.18,-0.30638,58.18,"May 22, 23",-0.0030638,PLL
2023-05-19,60.22,60.25,58.1131,58.47,58.470001,369661,369500,-1.75,-2.91,59.02,"May 19, 23",-0.0291,PLL
