date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,11.15,11.49,11.15,11.42,11.42,6276126,6232953,0.27,2.42,11.38,"July 11, 23",0.0242,PR
2023-07-10,10.915,11.08,10.85,11.06,11.06,4566366,4566400,0.145,1.33,10.96,"July 10, 23",0.0133,PR
2023-07-07,10.59,11.11,10.59,10.93,10.93,5701544,5700300,0.34,3.21,10.96,"July 07, 23",0.0321,PR
2023-07-06,10.72,10.84,10.305,10.56,10.56,5223059,5222800,-0.16,-1.49,10.49,"July 06, 23",-0.0149,PR
2023-07-05,10.98,11.115,10.81,10.82,10.82,6271291,6271100,-0.16,-1.46,10.97,"July 05, 23",-0.0146,PR
2023-07-03,10.95,11.035,10.74,10.87,10.87,3158013,3158000,-0.08,-0.73059,10.88,"July 03, 23",-0.0073059,PR
2023-06-30,11.0,11.08,10.88,10.96,10.96,8269818,8269400,-0.04,-0.36364,11.01,"June 30, 23",-0.0036364,PR
2023-06-29,10.85,10.99,10.77,10.92,10.92,5326701,5326700,0.07,0.64516,10.88,"June 29, 23",0.0064516,PR
2023-06-28,10.47,10.89,10.36,10.76,10.76,9873216,9873200,0.29,2.77,10.77,"June 28, 23",0.0277,PR
2023-06-27,10.44,10.57,10.32,10.48,10.48,8006293,8006300,0.04,0.38314,10.45,"June 27, 23",0.0038314,PR
2023-06-26,10.4,10.63,10.365,10.51,10.51,6952538,6952500,0.11,1.06,10.52,"June 26, 23",0.0106,PR
2023-06-23,9.97,10.405,9.945,10.29,10.29,12144312,12144300,0.32,3.21,10.26,"June 23, 23",0.0321,PR
2023-06-22,10.25,10.35,10.115,10.18,10.18,5647078,5647100,-0.07,-0.68293,10.21,"June 22, 23",-0.0068293,PR
2023-06-21,9.99,10.5,9.98,10.48,10.48,7082784,7082800,0.49,4.9,10.38,"June 21, 23",0.049,PR
2023-06-20,10.37,10.4,9.79,10.0,10.0,7972011,7971000,-0.37,-3.57,9.98,"June 20, 23",-0.0357,PR
2023-06-16,10.58,10.58,10.195,10.5,10.5,9657428,9657400,-0.08,-0.75614,10.42,"June 16, 23",-0.0075614,PR
2023-06-15,10.07,10.575,10.07,10.44,10.44,7218130,7218100,0.37,3.67,10.39,"June 15, 23",0.0367,PR
2023-06-14,10.46,10.51,9.93,10.07,10.07,5468568,5468600,-0.39,-3.73,10.11,"June 14, 23",-0.0373,PR
2023-06-13,10.26,10.615,10.15,10.31,10.31,4671121,4671100,0.05,0.48733,10.41,"June 13, 23",0.0048733,PR
2023-06-12,10.11,10.37,9.9943,10.1,10.1,5303530,5302600,-0.01,-0.09891197,10.12,"June 12, 23",-0.0009891197,PR
2023-06-09,10.49,10.52,10.31,10.37,10.37,4679339,4678700,-0.12,-1.14,10.41,"June 09, 23",-0.0114,PR
2023-06-08,10.51,10.6,10.29,10.46,10.46,8031431,8031400,-0.05,-0.47574,10.5,"June 08, 23",-0.0047574,PR
2023-06-07,10.15,10.7,10.12,10.57,10.57,11693342,11693300,0.42,4.14,10.54,"June 07, 23",0.0414,PR
2023-06-06,9.56,10.05,9.51,10.03,10.03,7323222,7323200,0.47,4.92,9.97,"June 06, 23",0.0492,PR
2023-06-05,10.07,10.12,9.552,9.77,9.77,5816244,5507800,-0.3,-2.98,9.75,"June 05, 23",-0.0298,PR
2023-06-02,9.73,9.9,9.605,9.85,9.85,6438489,6435900,0.12,1.23,9.79,"June 02, 23",0.0123,PR
2023-06-01,9.29,9.65,9.29,9.44,9.44,3845910,3845900,0.15,1.61,9.48,"June 01, 23",0.0161,PR
2023-05-31,9.17,9.4,9.11,9.33,9.33,6745289,6745300,0.16,1.74,9.28,"May 31, 23",0.0174,PR
2023-05-30,9.48,9.52,9.26,9.37,9.37,5057409,5057400,-0.11,-1.16,9.38,"May 30, 23",-0.0116,PR
2023-05-26,9.6,9.69,9.355,9.66,9.66,5881616,5880800,0.06,0.625,9.56,"May 26, 23",0.00625,PR
2023-05-25,9.76,9.8775,9.41,9.48,9.48,7218406,7218400,-0.28,-2.87,9.55,"May 25, 23",-0.0287,PR
2023-05-24,9.85,10.15,9.81,10.02,10.02,6039354,6039400,0.17,1.73,9.98,"May 24, 23",0.0173,PR
2023-05-23,10.15,10.23,9.8,9.83,9.83,6884866,6884900,-0.32,-3.15,9.95,"May 23, 23",-0.0315,PR
2023-05-22,9.67,10.25,9.64,10.07,10.07,12391433,12391400,0.4,4.14,10.05,"May 22, 23",0.0414,PR
2023-05-19,9.44,9.72,9.41,9.61,9.61,8238860,8238800,0.17,1.8,9.55,"May 19, 23",0.018,PR
2023-05-18,9.04,9.31,8.995,9.29,9.29,6965306,6965300,0.25,2.77,9.16,"May 18, 23",0.0277,PR
2023-05-17,9.25,9.25,8.94,9.13,9.13,6717610,6717600,-0.12,-1.3,9.11,"May 17, 23",-0.013,PR
2023-05-16,9.3,9.41,9.0599,9.07,9.07,4735802,4735500,-0.23,-2.47,9.13,"May 16, 23",-0.0247,PR
2023-05-15,9.53,9.56,9.32,9.4,9.4,5790881,5790800,-0.13,-1.36,9.44,"May 15, 23",-0.0136,PR
2023-05-12,9.44,9.525,9.26,9.49,9.39,4643488,4643200,0.05,0.52966,9.4,"May 12, 23",0.0052966,PR
2023-05-11,9.28,9.565,9.22,9.3,9.202003,5658241,5658200,0.02,0.21552,9.38,"May 11, 23",0.0021552,PR
2023-05-10,9.53,9.64,9.315,9.48,9.380105,6775036,6775000,-0.05,-0.52466,9.46,"May 10, 23",-0.0052466,PR
2023-05-09,9.89,10.005,9.43,9.48,9.380105,11963607,11963200,-0.41,-4.15,9.67,"May 09, 23",-0.0415,PR
2023-05-08,10.45,10.495,10.025,10.19,10.082623,8154522,8154500,-0.26,-2.49,10.19,"May 08, 23",-0.0249,PR
2023-05-05,10.19,10.35,10.1,10.19,10.082623,5663933,5663200,0.0,0.0,10.22,"May 05, 23",0.0,PR
2023-05-04,9.73,9.86,9.53,9.74,9.637365,5303636,5303600,0.01,0.10277,9.72,"May 04, 23",0.0010277,PR
2023-05-03,9.6,9.885,9.54,9.65,9.548314,5311697,5311700,0.05,0.52083,9.68,"May 03, 23",0.0052083,PR
2023-05-02,10.26,10.31,9.63,9.88,9.77589,7537625,7537600,-0.38,-3.7,9.84,"May 02, 23",-0.037,PR
2023-05-01,10.32,10.55,10.17,10.43,10.320095,3995225,3995200,0.11,1.07,10.42,"May 01, 23",0.0107,PR
