date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.8,3.0764,2.8,2.8,2.8,13890,13885,0.0,0.0,2.88,"July 11, 23",0.0,SJ
2023-07-10,2.82,2.88,2.7902,2.88,2.88,958,1000,0.06,2.13,2.84,"July 10, 23",0.0213,SJ
2023-07-07,2.88,2.94,2.7,2.905,2.905,16173,16200,0.025,0.86806,2.82,"July 07, 23",0.0086806,SJ
2023-07-06,2.87,3.005,2.65,2.92,2.92,24700,24700,0.05,1.74,2.82,"July 06, 23",0.0174,SJ
2023-07-05,2.68,3.36,2.68,2.87,2.87,8002,8000,0.19,7.09,2.87,"July 05, 23",0.0709,SJ
2023-07-03,2.64,2.8296,2.57,2.75,2.75,5650,5700,0.11,4.17,2.66,"July 03, 23",0.0417,SJ
2023-06-30,2.77,2.94,2.65,2.7395,2.74,20528,20500,-0.0305,-1.1,2.77,"June 30, 23",-0.011,SJ
2023-06-29,2.94,2.95,2.8101,2.9485,2.949,26857,26900,0.0085,0.28912,2.91,"June 29, 23",0.0028912,SJ
2023-06-28,3.15,3.23,2.95,2.95,2.95,35858,35900,-0.2,-6.35,3.15,"June 28, 23",-0.0635,SJ
2023-06-27,3.33,3.4977,3.022,3.2308,3.231,52341,52300,-0.0992,-2.98,3.31,"June 27, 23",-0.0298,SJ
2023-06-26,3.5364,3.5981,3.295,3.37,3.37,17852,17900,-0.1664,-4.71,3.43,"June 26, 23",-0.0471,SJ
2023-06-23,3.42,3.66,3.42,3.55,3.55,16906,16900,0.13,3.8,3.55,"June 23, 23",0.038,SJ
2023-06-22,3.5895,3.5895,3.48,3.48,3.48,7805,7800,-0.1095,-3.05,3.52,"June 22, 23",-0.0305,SJ
2023-06-21,3.5,3.68,3.48,3.52,3.52,41488,41500,0.02,0.57143,3.55,"June 21, 23",0.0057143,SJ
2023-06-20,3.58,3.5895,3.39,3.5895,3.59,35426,34900,0.0095,0.26536,3.47,"June 20, 23",0.0026536,SJ
2023-06-16,3.38,3.59,3.2672,3.58,3.58,61436,61400,0.2,5.92,3.38,"June 16, 23",0.0592,SJ
2023-06-15,3.55,3.64,3.3,3.42,3.42,62301,62300,-0.13,-3.66,3.43,"June 15, 23",-0.0366,SJ
2023-06-14,3.36,3.54,3.35,3.54,3.54,22238,22200,0.18,5.36,3.39,"June 14, 23",0.0536,SJ
2023-06-13,3.36,3.44,3.33,3.36,3.36,23527,23500,0.0,0.0,3.4,"June 13, 23",0.0,SJ
2023-06-12,3.3,3.5476,3.24,3.35,3.35,51018,51000,0.05,1.52,3.35,"June 12, 23",0.0152,SJ
2023-06-09,3.2629,3.71,3.2629,3.4,3.4,60187,60200,0.1371,4.2,3.45,"June 09, 23",0.042,SJ
2023-06-08,3.16,3.47,2.92,3.4401,3.44,93576,93600,0.2801,8.86,3.31,"June 08, 23",0.0886,SJ
2023-06-07,3.28,3.37,3.19,3.25,3.25,33313,33300,-0.03,-0.91463,3.27,"June 07, 23",-0.0091463,SJ
2023-06-06,3.84,3.84,2.9401,3.48,3.48,115853,115800,-0.36,-9.37,3.33,"June 06, 23",-0.0937,SJ
2023-06-05,4.32,4.32,3.8392,3.8392,3.839,41243,41200,-0.4808,-11.13,4.1,"June 05, 23",-0.1113,SJ
2023-06-02,4.21,4.2973,4.07,4.1178,4.118,22274,22300,-0.0922,-2.19,4.15,"June 02, 23",-0.0219,SJ
2023-06-01,4.08,4.19,3.96,4.12,4.12,30296,30300,0.04,0.98039,4.09,"June 01, 23",0.0098039,SJ
2023-05-31,4.57,4.57,4.1,4.1067,4.107,18821,18800,-0.4633,-10.14,4.25,"May 31, 23",-0.1014,SJ
2023-05-30,4.78,4.78,4.37,4.4,4.4,21995,22000,-0.38,-7.95,4.56,"May 30, 23",-0.0795,SJ
2023-05-26,4.6,4.7978,4.52,4.7978,4.798,16053,16100,0.1978,4.3,4.66,"May 26, 23",0.043,SJ
2023-05-25,4.67,4.67,4.48,4.6686,4.669,9219,9200,-0.0014,-0.02997859,4.59,"May 25, 23",-0.0002997859,SJ
2023-05-24,4.634,4.69,4.421,4.67,4.67,9011,9000,0.036,0.77687,4.57,"May 24, 23",0.0077687,SJ
2023-05-23,4.69,4.69,4.48,4.5992,4.599,17565,17600,-0.0908,-1.94,4.57,"May 23, 23",-0.0194,SJ
2023-05-22,4.588,4.7,4.35,4.7,4.7,21593,21600,0.112,2.44,4.51,"May 22, 23",0.0244,SJ
2023-05-19,4.3336,4.6,4.31,4.6,4.6,33071,33100,0.2664,6.15,4.41,"May 19, 23",0.0615,SJ
2023-05-18,4.37,4.4399,4.2801,4.41,4.41,6985,7000,0.04,0.91533,4.35,"May 18, 23",0.0091533,SJ
2023-05-17,4.3,4.41,4.26,4.41,4.41,8183,8200,0.11,2.56,4.36,"May 17, 23",0.0256,SJ
2023-05-16,4.2201,4.3999,4.2201,4.36,4.36,2044,2000,0.1399,3.32,4.33,"May 16, 23",0.0332,SJ
2023-05-15,4.54,4.54,4.3004,4.32,4.32,10826,10800,-0.22,-4.85,4.39,"May 15, 23",-0.0485,SJ
2023-05-12,4.42,4.55,4.35,4.53,4.53,24368,24300,0.11,2.49,4.45,"May 12, 23",0.0249,SJ
2023-05-11,4.38,4.48,4.2291,4.4133,4.413,17126,17100,0.0333,0.76027,4.31,"May 11, 23",0.0076027,SJ
2023-05-10,4.3,4.4,4.2662,4.38,4.38,16065,16100,0.08,1.86,4.35,"May 10, 23",0.0186,SJ
2023-05-09,4.1441,4.4,4.08,4.38,4.38,39963,40000,0.2359,5.69,4.21,"May 09, 23",0.0569,SJ
2023-05-08,4.015,4.16,3.9827,4.15,4.15,51387,51400,0.135,3.36,4.05,"May 08, 23",0.0336,SJ
2023-05-05,3.97,4.09,3.9,4.09,4.09,39093,39100,0.12,3.02,3.96,"May 05, 23",0.0302,SJ
2023-05-04,3.91,4.0,3.91,4.0,4.0,20845,20800,0.09,2.3,3.97,"May 04, 23",0.023,SJ
2023-05-03,3.99,4.05,3.89,3.97,3.97,45358,45400,-0.02,-0.50125,3.92,"May 03, 23",-0.0050125,SJ
2023-05-02,3.81,3.99,3.81,3.99,3.99,60085,60100,0.18,4.72,3.86,"May 02, 23",0.0472,SJ
2023-05-01,3.64,3.9,3.64,3.83,3.83,32518,32500,0.19,5.22,3.78,"May 01, 23",0.0522,SJ
2023-04-28,3.66,3.88,3.465,3.7,3.7,36267,36200,0.04,1.09,3.68,"April 28, 23",0.0109,SJ
2023-04-27,3.766,3.97,3.715,3.9,3.9,15620,15600,0.134,3.56,3.85,"April 27, 23",0.0356,SJ
2023-04-26,3.59,3.965,3.5874,3.78,3.78,10402,10400,0.19,5.29,3.76,"April 26, 23",0.0529,SJ
2023-04-25,3.8356,3.86,3.83,3.845,3.845,7345,7300,0.0094,0.24507,3.85,"April 25, 23",0.0024507,SJ
2023-04-24,3.9,3.9,3.9,3.9,3.9,3713,3700,0.0,0.0,3.89,"April 24, 23",0.0,SJ
2023-04-21,3.95,4.005,3.6749,3.9794,3.979,10177,10200,0.0294,0.7443,3.91,"April 21, 23",0.007443,SJ
2023-04-20,3.97,3.97,3.93,3.93,3.93,5050,5100,-0.04,-1.01,3.95,"April 20, 23",-0.0101,SJ
2023-04-19,4.005,4.09,3.62,3.94,3.94,19115,19100,-0.065,-1.62,3.91,"April 19, 23",-0.0162,SJ
2023-04-18,3.99,4.1,3.99,4.06,4.06,7377,7400,0.07,1.75,4.02,"April 18, 23",0.0175,SJ
2023-04-17,4.09,4.16,4.01,4.11,4.11,39654,39700,0.02,0.489,4.1,"April 17, 23",0.00489,SJ
2023-04-14,3.85,4.14,3.85,4.09,4.09,31039,31000,0.24,6.23,4.05,"April 14, 23",0.0623,SJ
2023-04-13,3.45,3.8881,3.45,3.84,3.84,10677,10700,0.39,11.3,3.78,"April 13, 23",0.113,SJ
2023-04-12,3.67,3.67,3.41,3.53,3.53,52752,52800,-0.14,-3.81,3.52,"April 12, 23",-0.0381,SJ
2023-04-11,4.1058,4.12,3.6,3.6,3.6,41499,41500,-0.5058,-12.32,3.95,"April 11, 23",-0.1232,SJ
2023-04-10,4.11,4.19,4.0,4.01,4.01,23802,23800,-0.1,-2.43,4.14,"April 10, 23",-0.0243,SJ
