date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.72,0.75,0.69,0.7011,0.7011,114710,111797,-0.0189,-2.63,0.7102,"July 11, 23",-0.0263,SMFL
2023-07-10,0.7288,0.7288,0.69,0.711,0.711,173112,173100,-0.0178,-2.44,0.7066,"July 10, 23",-0.0244,SMFL
2023-07-07,0.7201,0.745,0.698,0.715,0.715,106951,106600,-0.0051,-0.70823,0.7168,"July 07, 23",-0.0070823,SMFL
2023-07-06,0.7457,0.7697,0.67,0.7292,0.729,184087,183000,-0.0165,-2.21,0.7243,"July 06, 23",-0.0221,SMFL
2023-07-05,0.77,0.7993,0.74,0.75,0.75,266881,266700,-0.02,-2.6,0.7636,"July 05, 23",-0.026,SMFL
2023-07-03,0.79,0.8,0.7725,0.7993,0.799,66810,66800,0.0093,1.18,0.7858,"July 03, 23",0.0118,SMFL
2023-06-30,0.805,0.819999,0.77,0.77,0.77,88713,86200,-0.035,-4.35,0.794,"June 30, 23",-0.0435,SMFL
2023-06-29,0.85,0.8557,0.78,0.79,0.79,97278,97100,-0.06,-7.06,0.815,"June 29, 23",-0.0706,SMFL
2023-06-28,0.8529,0.8699,0.820101,0.837,0.837,42628,42600,-0.0159,-1.86,0.8419,"June 28, 23",-0.0186,SMFL
2023-06-27,0.88,0.899899,0.8205,0.84,0.84,100461,100500,-0.04,-4.55,0.8505,"June 27, 23",-0.0455,SMFL
2023-06-26,0.9095,0.9098,0.8702,0.875,0.875,133676,133700,-0.0345,-3.79,0.8975,"June 26, 23",-0.0379,SMFL
2023-06-23,0.93,0.93,0.76,0.8701,0.87,209895,209900,-0.0599,-6.44,0.8657,"June 23, 23",-0.0644,SMFL
2023-06-22,0.966,0.966,0.7509,0.8901,0.89,393720,388600,-0.0759,-7.86,0.8868,"June 22, 23",-0.0786,SMFL
2023-06-21,1.04,1.04,0.95,0.966,0.966,196617,196600,-0.074,-7.12,0.9816,"June 21, 23",-0.0712,SMFL
2023-06-20,1.02,1.06,1.0,1.03,1.03,157285,156800,0.01,0.98039,1.03,"June 20, 23",0.0098039,SMFL
2023-06-16,1.12,1.12,1.01,1.03,1.03,344669,340600,-0.09,-8.04,1.05,"June 16, 23",-0.0804,SMFL
2023-06-15,1.15,1.18,1.07,1.1,1.1,551912,551900,-0.05,-4.35,1.13,"June 15, 23",-0.0435,SMFL
2023-06-14,1.21,1.23,1.14,1.2,1.2,706178,706200,-0.01,-0.82645,1.19,"June 14, 23",-0.0082645,SMFL
2023-06-13,1.16,1.1685,1.13,1.15,1.15,84782,84800,-0.01,-0.86207,1.15,"June 13, 23",-0.0086207,SMFL
2023-06-12,1.1,1.19,1.1,1.17,1.17,194460,193200,0.07,6.36,1.15,"June 12, 23",0.0636,SMFL
2023-06-09,1.14,1.19,1.12,1.14,1.14,138350,137200,0.0,0.0,1.16,"June 09, 23",0.0,SMFL
