date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,4.04,4.11,3.99,4.1,4.1,357899,357854,0.06,1.49,4.07,"July 11, 23",0.0149,SOL
2023-07-10,3.8,4.065,3.8,4.04,4.04,511288,511300,0.24,6.32,3.98,"July 10, 23",0.0632,SOL
2023-07-07,3.68,3.9,3.68,3.84,3.84,317260,317300,0.16,4.35,3.83,"July 07, 23",0.0435,SOL
2023-07-06,3.7,3.72,3.615,3.68,3.68,486978,486900,-0.02,-0.54054,3.66,"July 06, 23",-0.0054054,SOL
2023-07-05,3.9,3.9,3.75,3.75,3.75,315820,315700,-0.15,-3.85,3.8,"July 05, 23",-0.0385,SOL
2023-07-03,3.88,4.0302,3.86,3.9,3.9,264723,264700,0.02,0.51546,3.96,"July 03, 23",0.0051546,SOL
2023-06-30,3.82,3.8399,3.79,3.79,3.79,270541,269900,-0.03,-0.78534,3.81,"June 30, 23",-0.0078534,SOL
2023-06-29,3.81,3.89,3.74,3.79,3.79,417585,417600,-0.02,-0.52493,3.79,"June 29, 23",-0.0052493,SOL
2023-06-28,3.86,3.9439,3.795,3.82,3.82,343214,343200,-0.04,-1.04,3.85,"June 28, 23",-0.0104,SOL
2023-06-27,3.89,3.99,3.8196,3.89,3.89,430881,430900,0.0,0.0,3.92,"June 27, 23",0.0,SOL
2023-06-26,3.71,3.925,3.71,3.8,3.8,378587,378500,0.09,2.43,3.85,"June 26, 23",0.0243,SOL
2023-06-23,3.83,3.83,3.64,3.68,3.68,590261,589800,-0.15,-3.92,3.68,"June 23, 23",-0.0392,SOL
2023-06-22,3.85,3.88,3.77,3.83,3.83,308520,308300,-0.02,-0.51948,3.83,"June 22, 23",-0.0051948,SOL
2023-06-21,3.71,3.89,3.68,3.82,3.82,437874,437900,0.11,2.96,3.79,"June 21, 23",0.0296,SOL
2023-06-20,3.8,3.8,3.7,3.73,3.73,461363,461300,-0.07,-1.84,3.73,"June 20, 23",-0.0184,SOL
2023-06-16,3.84,3.88,3.7,3.75,3.75,5014142,5014100,-0.09,-2.34,3.76,"June 16, 23",-0.0234,SOL
2023-06-15,3.83,3.87,3.71,3.83,3.83,1106350,1106400,0.0,0.0,3.81,"June 15, 23",0.0,SOL
2023-06-14,4.19,4.19,3.85,3.86,3.86,1129128,1129100,-0.33,-7.88,3.94,"June 14, 23",-0.0788,SOL
2023-06-13,3.81,4.2,3.7901,4.09,4.09,2021900,2021900,0.28,7.35,4.06,"June 13, 23",0.0735,SOL
2023-06-12,3.61,3.685,3.5,3.58,3.58,1818575,1814200,-0.03,-0.83102,3.57,"June 12, 23",-0.0083102,SOL
2023-06-09,3.63,3.815,3.585,3.66,3.66,612573,612600,0.03,0.82645,3.7,"June 09, 23",0.0082645,SOL
2023-06-08,3.65,3.68,3.55,3.64,3.64,376225,376200,-0.01,-0.27397,3.62,"June 08, 23",-0.0027397,SOL
2023-06-07,3.65,3.78,3.62,3.63,3.63,317886,317900,-0.02,-0.54795,3.67,"June 07, 23",-0.0054795,SOL
2023-06-06,3.58,3.745,3.5722,3.65,3.65,418873,418700,0.07,1.96,3.67,"June 06, 23",0.0196,SOL
2023-06-05,3.86,3.86,3.61,3.63,3.63,538731,488000,-0.23,-5.96,3.69,"June 05, 23",-0.0596,SOL
2023-06-02,3.56,3.89,3.53,3.84,3.84,855611,855600,0.28,7.87,3.81,"June 02, 23",0.0787,SOL
2023-06-01,3.09,3.585,3.06,3.51,3.51,817422,817400,0.42,13.59,3.46,"June 01, 23",0.1359,SOL
2023-05-31,3.41,3.47,3.28,3.35,3.35,1853884,1853900,-0.06,-1.76,3.36,"May 31, 23",-0.0176,SOL
2023-05-30,3.44,3.48,3.365,3.4,3.4,504941,504900,-0.04,-1.16,3.41,"May 30, 23",-0.0116,SOL
2023-05-26,3.41,3.435,3.36,3.4,3.4,371723,371700,-0.01,-0.29326,3.4,"May 26, 23",-0.0029326,SOL
2023-05-25,3.53,3.55,3.41,3.44,3.44,278082,278000,-0.09,-2.55,3.45,"May 25, 23",-0.0255,SOL
2023-05-24,3.65,3.66,3.48,3.53,3.53,508370,508300,-0.12,-3.29,3.53,"May 24, 23",-0.0329,SOL
2023-05-23,3.72,3.77,3.625,3.68,3.68,358401,358400,-0.04,-1.08,3.7,"May 23, 23",-0.0108,SOL
2023-05-22,3.52,3.705,3.47,3.64,3.64,793538,793500,0.12,3.41,3.62,"May 22, 23",0.0341,SOL
2023-05-19,3.51,3.61,3.495,3.51,3.51,510792,510600,0.0,0.0,3.54,"May 19, 23",0.0,SOL
2023-05-18,3.66,3.68,3.48,3.5,3.5,469345,469300,-0.16,-4.37,3.53,"May 18, 23",-0.0437,SOL
2023-05-17,3.71,3.775,3.64,3.69,3.69,632024,632000,-0.02,-0.53908,3.71,"May 17, 23",-0.0053908,SOL
2023-05-16,3.8,3.855,3.71,3.71,3.71,190919,188900,-0.09,-2.37,3.77,"May 16, 23",-0.0237,SOL
2023-05-15,3.8,3.93,3.79,3.87,3.87,282420,282400,0.07,1.84,3.87,"May 15, 23",0.0184,SOL
2023-05-12,3.83,3.92,3.75,3.8,3.8,289152,288900,-0.03,-0.78329,3.8,"May 12, 23",-0.0078329,SOL
2023-05-11,3.85,3.88,3.795,3.83,3.83,220599,220400,-0.02,-0.51948,3.83,"May 11, 23",-0.0051948,SOL
2023-05-10,3.91,3.94,3.88,3.89,3.89,130173,130200,-0.02,-0.51151,3.91,"May 10, 23",-0.0051151,SOL
2023-05-09,3.94,3.94,3.83,3.89,3.89,175888,175900,-0.05,-1.27,3.88,"May 09, 23",-0.0127,SOL
2023-05-08,4.01,4.035,3.91,3.96,3.96,124519,124500,-0.05,-1.25,3.96,"May 08, 23",-0.0125,SOL
2023-05-05,3.93,3.99,3.9,3.98,3.98,165640,165600,0.05,1.27,3.96,"May 05, 23",0.0127,SOL
2023-05-04,3.94,4.03,3.84,3.84,3.84,396293,396300,-0.1,-2.54,3.9,"May 04, 23",-0.0254,SOL
2023-05-03,4.08,4.11,3.94,3.97,3.97,272104,271900,-0.11,-2.7,4.02,"May 03, 23",-0.027,SOL
2023-05-02,4.07,4.11,3.94,4.02,4.02,279665,279500,-0.05,-1.23,3.98,"May 02, 23",-0.0123,SOL
2023-05-01,4.13,4.195,4.07,4.12,4.12,226558,226500,-0.01,-0.24213,4.15,"May 01, 23",-0.0024213,SOL
