date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.52,3.6,3.32,3.37,3.37,92551,92001,-0.15,-4.26,3.46,"July 11, 23",-0.0426,SRTS
2023-07-10,3.28,3.64,3.26,3.53,3.53,268437,268400,0.25,7.62,3.46,"July 10, 23",0.0762,SRTS
2023-07-07,3.19,3.39,3.1103,3.28,3.28,177658,177700,0.09,2.82,3.31,"July 07, 23",0.0282,SRTS
2023-07-06,3.29,3.29,3.05,3.16,3.16,101582,101600,-0.13,-3.95,3.17,"July 06, 23",-0.0395,SRTS
2023-07-05,3.24,3.4,3.2,3.31,3.31,119340,119300,0.07,2.16,3.32,"July 05, 23",0.0216,SRTS
2023-07-03,3.13,3.27,3.13,3.23,3.23,53643,53600,0.1,3.19,3.19,"July 03, 23",0.0319,SRTS
2023-06-30,3.28,3.39,3.1,3.15,3.15,150529,150500,-0.13,-3.96,3.21,"June 30, 23",-0.0396,SRTS
2023-06-29,3.03,3.45,3.03,3.28,3.28,183913,183900,0.25,8.25,3.29,"June 29, 23",0.0825,SRTS
2023-06-28,2.81,3.07,2.81,3.04,3.04,128303,128300,0.23,8.19,2.96,"June 28, 23",0.0819,SRTS
2023-06-27,2.88,2.8899,2.8033,2.83,2.83,57519,57500,-0.05,-1.74,2.84,"June 27, 23",-0.0174,SRTS
2023-06-26,2.81,2.8977,2.81,2.87,2.87,37757,37800,0.06,2.14,2.86,"June 26, 23",0.0214,SRTS
2023-06-23,2.88,2.97,2.78,2.78,2.78,298376,298200,-0.1,-3.47,2.83,"June 23, 23",-0.0347,SRTS
2023-06-22,2.96,2.98,2.88,2.9,2.9,34603,33600,-0.06,-2.03,2.93,"June 22, 23",-0.0203,SRTS
2023-06-21,2.94,3.03,2.88,2.98,2.98,28487,28500,0.04,1.36,2.95,"June 21, 23",0.0136,SRTS
2023-06-20,2.92,2.97,2.86,2.94,2.94,45863,45900,0.02,0.68493,2.94,"June 20, 23",0.0068493,SRTS
2023-06-16,2.96,2.976,2.85,2.92,2.92,104742,104700,-0.04,-1.35,2.92,"June 16, 23",-0.0135,SRTS
2023-06-15,2.92,2.9999,2.88,2.97,2.97,60079,60100,0.05,1.71,2.95,"June 15, 23",0.0171,SRTS
2023-06-14,3.13,3.13,2.91,2.92,2.92,114010,114000,-0.21,-6.71,3.01,"June 14, 23",-0.0671,SRTS
2023-06-13,2.95,3.13,2.95,3.1,3.1,171942,171900,0.15,5.08,3.06,"June 13, 23",0.0508,SRTS
2023-06-12,2.86,2.99,2.86,2.95,2.95,107232,107200,0.09,3.15,2.94,"June 12, 23",0.0315,SRTS
2023-06-09,2.9,3.0,2.84,2.87,2.87,104394,104400,-0.03,-1.03,2.92,"June 09, 23",-0.0103,SRTS
2023-06-08,3.07,3.07,2.89,2.9,2.9,135201,135100,-0.17,-5.54,2.96,"June 08, 23",-0.0554,SRTS
2023-06-07,2.81,3.13,2.79,3.09,3.09,244258,244300,0.28,9.96,3.02,"June 07, 23",0.0996,SRTS
2023-06-06,2.69,2.845,2.64,2.83,2.83,248362,248400,0.14,5.2,2.76,"June 06, 23",0.052,SRTS
2023-06-05,2.7,2.76,2.65,2.66,2.66,92427,92400,-0.04,-1.48,2.7,"June 05, 23",-0.0148,SRTS
2023-06-02,2.78,2.81,2.62,2.7,2.7,510755,510800,-0.08,-2.88,2.72,"June 02, 23",-0.0288,SRTS
2023-06-01,2.7,2.765,2.69,2.72,2.72,337467,337300,0.02,0.74074,2.73,"June 01, 23",0.0074074,SRTS
2023-05-31,2.78,2.78,2.67,2.69,2.69,119463,119500,-0.09,-3.24,2.71,"May 31, 23",-0.0324,SRTS
2023-05-30,2.67,2.825,2.67,2.77,2.77,171295,171200,0.1,3.75,2.75,"May 30, 23",0.0375,SRTS
2023-05-26,2.65,2.7299,2.6,2.68,2.68,119491,119500,0.03,1.13,2.66,"May 26, 23",0.0113,SRTS
2023-05-25,2.73,2.8,2.61,2.62,2.62,127728,127700,-0.11,-4.03,2.68,"May 25, 23",-0.0403,SRTS
2023-05-24,2.85,2.9181,2.69,2.72,2.72,192458,192300,-0.13,-4.56,2.76,"May 24, 23",-0.0456,SRTS
2023-05-23,2.91,2.985,2.84,2.87,2.87,189757,189800,-0.04,-1.37,2.92,"May 23, 23",-0.0137,SRTS
2023-05-22,2.81,2.97,2.81,2.95,2.95,191339,191300,0.14,4.98,2.91,"May 22, 23",0.0498,SRTS
2023-05-19,2.92,3.0,2.79,2.8,2.8,225844,225700,-0.12,-4.11,2.89,"May 19, 23",-0.0411,SRTS
2023-05-18,3.02,3.0399,2.91,2.91,2.91,163160,163100,-0.11,-3.64,2.96,"May 18, 23",-0.0364,SRTS
2023-05-17,2.9,3.025,2.892,3.02,3.02,319554,319500,0.12,4.14,2.98,"May 17, 23",0.0414,SRTS
2023-05-16,2.83,2.9375,2.83,2.905,2.905,159831,159800,0.075,2.65,2.91,"May 16, 23",0.0265,SRTS
2023-05-15,2.86,2.92,2.81,2.89,2.89,141935,141900,0.03,1.05,2.88,"May 15, 23",0.0105,SRTS
2023-05-12,2.9,2.92,2.81,2.84,2.84,185576,185600,-0.06,-2.07,2.85,"May 12, 23",-0.0207,SRTS
2023-05-11,2.93,2.985,2.7901,2.85,2.85,262863,262900,-0.08,-2.73,2.88,"May 11, 23",-0.0273,SRTS
2023-05-10,2.9,3.01,2.8701,2.94,2.94,255786,255700,0.04,1.38,2.97,"May 10, 23",0.0138,SRTS
2023-05-09,2.99,3.01,2.86,2.88,2.88,157708,157500,-0.11,-3.68,2.94,"May 09, 23",-0.0368,SRTS
2023-05-08,2.93,3.0066,2.89,2.98,2.98,427566,427400,0.05,1.71,2.97,"May 08, 23",0.0171,SRTS
2023-05-05,2.73,3.03,2.73,2.84,2.84,672009,671600,0.11,4.03,2.93,"May 05, 23",0.0403,SRTS
2023-05-04,2.67,2.96,2.29,2.72,2.72,2158319,2158300,0.05,1.87,2.71,"May 04, 23",0.0187,SRTS
2023-05-03,4.53,4.9376,4.53,4.89,4.89,563198,563200,0.36,7.95,3.71,"May 03, 23",0.0795,SRTS
2023-05-02,4.64,4.68,4.42,4.55,4.55,185315,185300,-0.09,-1.94,4.53,"May 02, 23",-0.0194,SRTS
2023-05-01,4.73,4.77,4.65,4.65,4.65,94627,94600,-0.08,-1.69,4.71,"May 01, 23",-0.0169,SRTS
2023-04-28,4.69,4.8,4.67,4.73,4.73,117774,117800,0.04,0.85288,4.72,"April 28, 23",0.0085288,SRTS
2023-04-27,4.7,4.83,4.6182,4.74,4.74,132934,132900,0.04,0.85106,4.78,"April 27, 23",0.0085106,SRTS
2023-04-26,4.62,4.77,4.6001,4.68,4.68,113814,113700,0.06,1.3,4.7,"April 26, 23",0.013,SRTS
2023-04-25,4.81,4.88,4.62,4.65,4.65,143445,143400,-0.16,-3.33,4.74,"April 25, 23",-0.0333,SRTS
2023-04-24,4.95,4.95,4.8238,4.85,4.85,66789,66800,-0.1,-2.02,4.87,"April 24, 23",-0.0202,SRTS
2023-04-21,4.96,4.98,4.82,4.95,4.95,116818,116800,-0.01,-0.20161,4.9,"April 21, 23",-0.0020161,SRTS
2023-04-20,5.02,5.05,4.9,4.925,4.925,113028,113000,-0.095,-1.89,4.96,"April 20, 23",-0.0189,SRTS
2023-04-19,5.13,5.2264,5.005,5.05,5.05,151108,151100,-0.08,-1.56,5.06,"April 19, 23",-0.0156,SRTS
2023-04-18,5.24,5.3,5.12,5.22,5.22,137519,137500,-0.02,-0.38168,5.24,"April 18, 23",-0.0038168,SRTS
