date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,23.15,23.3,22.905,23.15,23.15,243502,237670,0.0,0.0,23.13,"July 11, 23",0.0,TOWN
2023-07-10,23.1,23.64,22.85,23.0,23.0,232476,232500,-0.1,-0.4329,23.07,"July 10, 23",-0.004329,TOWN
2023-07-07,22.99,23.33,22.82,23.11,23.110001,376762,376800,0.12,0.52197,23.16,"July 07, 23",0.0052197,TOWN
2023-07-06,23.24,23.24,22.6001,22.97,22.969999,254342,254300,-0.27,-1.16,22.9,"July 06, 23",-0.0116,TOWN
2023-07-05,23.55,23.82,23.2,23.5,23.5,144218,144000,-0.05,-0.21231,23.54,"July 05, 23",-0.0021231,TOWN
2023-07-03,23.2,23.71,23.2,23.63,23.629999,73303,73300,0.43,1.85,23.58,"July 03, 23",0.0185,TOWN
2023-06-30,23.81,23.97,23.22,23.24,23.24,137796,137700,-0.57,-2.39,23.37,"June 30, 23",-0.0239,TOWN
2023-06-29,23.27,23.93,23.27,23.62,23.620001,139207,139200,0.35,1.5,23.7,"June 29, 23",0.015,TOWN
2023-06-28,23.62,23.62,23.29,23.41,23.16,130220,130200,-0.21,-0.88908,23.42,"June 28, 23",-0.0088908,TOWN
2023-06-27,23.47,23.87,23.2861,23.71,23.456795,185326,185300,0.24,1.02,23.7,"June 27, 23",0.0102,TOWN
2023-06-26,23.57,24.4299,23.38,23.48,23.229252,219487,219500,-0.09,-0.38184,23.58,"June 26, 23",-0.0038184,TOWN
2023-06-23,23.65,24.05,23.21,23.46,23.209465,446164,446200,-0.19,-0.80338,23.48,"June 23, 23",-0.0080338,TOWN
2023-06-22,24.23,24.23,23.7295,23.91,23.654661,212088,212100,-0.32,-1.32,23.96,"June 22, 23",-0.0132,TOWN
2023-06-21,24.59,24.72,24.28,24.3,24.040495,152827,152800,-0.29,-1.18,24.42,"June 21, 23",-0.0118,TOWN
2023-06-20,25.16,25.31,24.63,24.67,24.406544,191005,191000,-0.49,-1.95,24.74,"June 20, 23",-0.0195,TOWN
2023-06-16,25.74,25.74,25.05,25.27,25.000137,616053,616100,-0.47,-1.83,25.35,"June 16, 23",-0.0183,TOWN
2023-06-15,25.13,25.58,25.13,25.5,25.22768,147824,147800,0.37,1.47,25.45,"June 15, 23",0.0147,TOWN
2023-06-14,25.82,26.14,25.19,25.28,25.010031,225640,225600,-0.54,-2.09,25.52,"June 14, 23",-0.0209,TOWN
2023-06-13,25.37,25.97,25.3,25.81,25.53437,197053,197100,0.44,1.73,25.79,"June 13, 23",0.0173,TOWN
2023-06-12,25.46,25.81,24.9437,25.25,24.98035,177374,177400,-0.21,-0.82482,25.29,"June 12, 23",-0.0082482,TOWN
2023-06-09,25.73,25.73,25.34,25.49,25.217787,109298,109300,-0.24,-0.93276,25.48,"June 09, 23",-0.0093276,TOWN
