date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,42.9,43.35,42.65,43.32,43.330002,2244833,1834363,0.42,0.97902,43.11,"July 11, 23",0.0097902,UDR
2023-07-10,42.5,42.78,42.205,42.71,42.709999,1679955,1680000,0.21,0.49412,42.64,"July 10, 23",0.0049412,UDR
2023-07-07,42.8,42.89,42.39,42.65,42.650002,2176781,2176800,-0.15,-0.35047,42.63,"July 07, 23",-0.0035047,UDR
2023-07-06,42.78,43.48,41.99,43.35,42.93,1639118,1639100,0.57,1.33,43.16,"July 06, 23",0.0133,UDR
2023-07-05,43.47,43.92,43.0,43.39,42.969612,1729796,1729800,-0.08,-0.18403,43.52,"July 05, 23",-0.0018403,UDR
2023-07-03,42.69,43.855,42.69,43.66,43.236996,899176,899200,0.97,2.27,43.53,"July 03, 23",0.0227,UDR
2023-06-30,43.34,43.53,42.35,42.96,42.543777,2999304,2999300,-0.38,-0.87679,42.87,"June 30, 23",-0.0087679,UDR
2023-06-29,42.04,42.9,41.83,42.88,42.464558,1900429,1900400,0.84,2.0,42.6,"June 29, 23",0.02,UDR
2023-06-28,42.11,42.565,41.76,42.18,41.771336,2376937,2376900,0.07,0.16623,42.17,"June 28, 23",0.0016623,UDR
2023-06-27,41.62,42.36,41.45,42.21,41.801044,1916843,1916800,0.59,1.42,42.07,"June 27, 23",0.0142,UDR
2023-06-26,40.09,41.58,40.09,41.49,41.088024,1776679,1776700,1.4,3.49,41.19,"June 26, 23",0.0349,UDR
2023-06-23,41.09,41.17,40.06,40.23,39.840229,3926474,3926500,-0.86,-2.09,40.31,"June 23, 23",-0.0209,UDR
2023-06-22,42.52,42.57,40.91,41.21,40.810734,1857992,1858000,-1.31,-3.08,41.26,"June 22, 23",-0.0308,UDR
2023-06-21,42.59,42.755,42.21,42.45,42.038723,1703048,1703000,-0.14,-0.32872,42.53,"June 21, 23",-0.0032872,UDR
2023-06-20,43.42,43.42,42.76,42.89,42.474457,2253969,2254000,-0.53,-1.22,42.95,"June 20, 23",-0.0122,UDR
2023-06-16,43.26,43.655,43.17,43.42,42.999321,3779871,3779900,0.16,0.36986,43.4,"June 16, 23",0.0036986,UDR
2023-06-15,43.12,43.2,42.66,43.03,42.613102,1890481,1890500,-0.09,-0.20872,43.0,"June 15, 23",-0.0020872,UDR
2023-06-14,42.8,43.275,42.635,43.11,42.692326,3406487,3406500,0.31,0.7243,42.96,"June 14, 23",0.007243,UDR
2023-06-13,42.19,42.78,42.04,42.62,42.207073,3135996,3136000,0.43,1.02,42.58,"June 13, 23",0.0102,UDR
2023-06-12,42.48,42.7,42.23,42.48,42.068428,2096658,2096700,0.0,0.0,42.46,"June 12, 23",0.0,UDR
2023-06-09,42.29,42.705,42.14,42.55,42.137753,1852706,1852700,0.26,0.6148,42.54,"June 09, 23",0.006148,UDR
2023-06-08,42.01,42.29,41.415,42.09,41.682209,1677523,1677500,0.08,0.19043,42.0,"June 08, 23",0.0019043,UDR
2023-06-07,41.74,42.41,41.37,42.24,41.830757,1321760,1321800,0.5,1.2,42.11,"June 07, 23",0.012,UDR
2023-06-06,41.47,41.59,41.02,41.53,41.127632,1448361,1448400,0.06,0.14468,41.4,"June 06, 23",0.0014468,UDR
2023-06-05,41.0,41.54,40.94,41.19,40.790928,1538297,1455100,0.19,0.46341,41.25,"June 05, 23",0.0046341,UDR
2023-06-02,40.55,41.49,40.55,41.16,40.761219,2390925,2390900,0.61,1.5,41.15,"June 02, 23",0.015,UDR
2023-06-01,39.68,40.21,39.08,40.09,39.701588,1883894,1883900,0.41,1.03,39.95,"June 01, 23",0.0103,UDR
2023-05-31,39.25,39.72,39.0,39.67,39.285652,5176193,5176200,0.42,1.07,39.48,"May 31, 23",0.0107,UDR
2023-05-30,39.42,39.65,39.06,39.2,38.82021,2163422,2163400,-0.22,-0.55809,39.31,"May 30, 23",-0.0055809,UDR
2023-05-26,38.87,39.33,38.37,39.23,38.849918,1913730,1913700,0.36,0.92616,39.05,"May 26, 23",0.0092616,UDR
2023-05-25,39.43,39.62,38.63,39.0,38.622147,2321304,2321300,-0.43,-1.09,39.0,"May 25, 23",-0.0109,UDR
2023-05-24,40.17,40.17,39.39,39.44,39.05788,1802254,1802300,-0.73,-1.82,39.64,"May 24, 23",-0.0182,UDR
2023-05-23,40.61,40.935,40.23,40.24,39.850136,1923789,1923800,-0.37,-0.91111,40.43,"May 23, 23",-0.0091111,UDR
2023-05-22,40.28,40.89,39.92,40.65,40.256161,1572286,1572300,0.37,0.91857,40.58,"May 22, 23",0.0091857,UDR
2023-05-19,40.55,40.88,40.13,40.34,39.949165,1433359,1433400,-0.21,-0.51788,40.41,"May 19, 23",-0.0051788,UDR
2023-05-18,40.4,40.63,39.87,40.23,39.840229,2109756,2109800,-0.17,-0.42079,40.23,"May 18, 23",-0.0042079,UDR
2023-05-17,40.5,40.64,40.08,40.54,40.147228,1952090,1952100,0.04,0.09876543,40.43,"May 17, 23",0.0009876543,UDR
2023-05-16,41.28,41.31,40.375,40.38,39.988777,1972714,1972700,-0.9,-2.18,40.61,"May 16, 23",-0.0218,UDR
2023-05-15,41.34,41.36,40.82,41.25,40.850346,2381273,2381300,-0.09,-0.21771,41.15,"May 15, 23",-0.0021771,UDR
2023-05-12,41.37,41.43,40.85,41.38,40.979088,1850541,1850500,0.01,0.02417211,41.16,"May 12, 23",0.0002417211,UDR
2023-05-11,40.8,41.375,40.65,41.35,40.949375,2044871,2044900,0.55,1.35,41.2,"May 11, 23",0.0135,UDR
2023-05-10,41.06,41.37,40.785,41.16,40.761219,1545842,1545800,0.1,0.24355,41.14,"May 10, 23",0.0024355,UDR
2023-05-09,40.95,41.01,40.295,40.75,40.35519,1245525,1245500,-0.2,-0.4884,40.74,"May 09, 23",-0.004884,UDR
2023-05-08,41.3,41.5685,41.1,41.27,40.870155,1172043,1172000,-0.03,-0.07263923,41.31,"May 08, 23",-0.0007263923,UDR
2023-05-05,40.48,41.42,40.22,41.33,40.929573,2407087,2407100,0.85,2.1,41.19,"May 05, 23",0.021,UDR
2023-05-04,40.11,40.6,39.83,40.26,39.869938,1543109,1543100,0.15,0.37397,40.22,"May 04, 23",0.0037397,UDR
2023-05-03,40.36,40.88,39.89,40.19,39.800617,2126745,2126700,-0.17,-0.42121,40.39,"May 03, 23",-0.0042121,UDR
2023-05-02,40.95,41.14,39.25,40.18,39.790714,3110964,3111000,-0.77,-1.88,40.02,"May 02, 23",-0.0188,UDR
2023-05-01,41.35,41.93,41.09,41.22,40.820641,2049230,2049200,-0.13,-0.31439,41.33,"May 01, 23",-0.0031439,UDR
2023-04-28,41.25,41.84,40.995,41.33,40.929573,2770500,2770500,0.08,0.19394,41.33,"April 28, 23",0.0019394,UDR
2023-04-27,40.0,41.25,39.59,41.09,40.691898,2824275,2824300,1.09,2.73,40.9,"April 27, 23",0.0273,UDR
2023-04-26,40.76,41.29,40.425,40.57,40.176933,2542218,2542200,-0.19,-0.46614,40.71,"April 26, 23",-0.0046614,UDR
2023-04-25,40.98,41.14,40.745,40.86,40.464127,1991473,1991500,-0.12,-0.29283,40.87,"April 25, 23",-0.0029283,UDR
2023-04-24,41.68,41.75,40.98,41.16,40.761219,2627057,2627100,-0.52,-1.25,41.17,"April 24, 23",-0.0125,UDR
2023-04-21,41.78,41.85,41.13,41.53,41.127632,4672298,4672300,-0.25,-0.59837,41.5,"April 21, 23",-0.0059837,UDR
2023-04-20,41.6,41.66,41.2,41.63,41.226665,3708913,3708900,0.03,0.07211538,41.47,"April 20, 23",0.0007211538,UDR
