date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,47.95,48.57,47.58,48.5,48.509998,23622,19466,0.55,1.15,48.26,"July 11, 23",0.0115,UHT
2023-07-10,47.36,48.15,47.21,47.7,47.700001,36575,36600,0.34,0.71791,47.66,"July 10, 23",0.0071791,UHT
2023-07-07,47.27,48.0,47.175,47.58,47.580002,44993,45000,0.31,0.65581,47.61,"July 07, 23",0.0065581,UHT
2023-07-06,47.03,47.4,45.93,47.21,47.209999,41448,41400,0.18,0.38273,46.85,"July 06, 23",0.0038273,UHT
2023-07-05,48.07,48.2859,47.1579,47.47,47.470001,46928,46900,-0.6,-1.25,47.68,"July 05, 23",-0.0125,UHT
2023-07-03,47.39,48.29,47.39,48.02,48.02,26497,26500,0.63,1.33,47.93,"July 03, 23",0.0133,UHT
2023-06-30,48.26,48.26,46.63,47.58,47.580002,74604,74600,-0.68,-1.41,47.44,"June 30, 23",-0.0141,UHT
2023-06-29,46.82,47.8399,46.82,47.77,47.77,39803,39800,0.95,2.03,47.65,"June 29, 23",0.0203,UHT
2023-06-28,46.67,47.24,46.11,47.14,47.139999,34504,34500,0.47,1.01,46.94,"June 28, 23",0.0101,UHT
2023-06-27,47.37,47.61,46.4001,46.84,46.84,33062,33100,-0.53,-1.12,46.96,"June 27, 23",-0.0112,UHT
2023-06-26,45.97,47.84,45.57,47.28,47.279999,52052,52000,1.31,2.85,47.14,"June 26, 23",0.0285,UHT
2023-06-23,45.89,46.44,45.23,46.14,46.139999,196324,196300,0.25,0.54478,46.06,"June 23, 23",0.0054478,UHT
2023-06-22,47.17,47.17,45.98,46.47,46.470001,38685,38700,-0.7,-1.48,46.34,"June 22, 23",-0.0148,UHT
2023-06-21,47.62,47.67,47.12,47.12,47.119999,40932,40900,-0.5,-1.05,47.27,"June 21, 23",-0.0105,UHT
2023-06-20,48.4,48.4,47.29,47.85,47.849998,44420,44400,-0.55,-1.14,47.88,"June 20, 23",-0.0114,UHT
2023-06-16,49.13,49.13,47.92,48.47,48.470001,158045,158000,-0.66,-1.34,48.5,"June 16, 23",-0.0134,UHT
2023-06-15,48.4153,49.34,48.31,49.32,48.599998,49274,49300,0.9047,1.87,48.94,"June 15, 23",0.0187,UHT
2023-06-14,49.19,49.32,48.5,48.77,48.058029,60306,60300,-0.42,-0.85383,48.87,"June 14, 23",-0.0085383,UHT
2023-06-13,49.37,49.63,48.61,48.84,48.127007,45552,45600,-0.53,-1.07,48.89,"June 13, 23",-0.0107,UHT
2023-06-12,49.54,49.54,48.25,49.13,48.412773,45327,45300,-0.41,-0.82761,48.98,"June 12, 23",-0.0082761,UHT
2023-06-09,49.49,49.64,48.89,49.59,48.866058,43322,43300,0.1,0.20206,49.34,"June 09, 23",0.0020206,UHT
2023-06-08,48.16,49.35,47.09,49.16,48.442337,49795,49800,1.0,2.08,48.76,"June 08, 23",0.0208,UHT
2023-06-07,46.78,48.66,46.5,48.48,47.772263,70284,70300,1.7,3.63,48.09,"June 07, 23",0.0363,UHT
2023-06-06,45.1,46.71,44.79,46.32,45.643795,51439,51400,1.22,2.71,46.13,"June 06, 23",0.0271,UHT
2023-06-05,45.11,45.19,44.0449,44.96,44.30365,37347,33500,-0.15,-0.33252,44.8,"June 05, 23",-0.0033252,UHT
2023-06-02,43.9,45.45,43.49,45.35,44.687954,59193,59200,1.45,3.3,44.95,"June 02, 23",0.033,UHT
2023-06-01,43.94,43.98,43.09,43.49,42.85511,64354,64400,-0.45,-1.02,43.53,"June 01, 23",-0.0102,UHT
2023-05-31,43.4,43.74,43.1,43.68,43.042336,91801,91800,0.28,0.64516,43.59,"May 31, 23",0.0064516,UHT
2023-05-30,43.05,43.72,43.05,43.29,42.658031,38517,38500,0.24,0.55749,43.29,"May 30, 23",0.0055749,UHT
2023-05-26,42.5,43.14,42.15,42.98,42.352554,42826,42800,0.48,1.13,42.7,"May 26, 23",0.0113,UHT
2023-05-25,43.43,43.43,42.51,42.65,42.027374,26045,26000,-0.78,-1.8,42.83,"May 25, 23",-0.018,UHT
2023-05-24,44.39,44.39,43.59,43.64,43.002918,32295,32300,-0.75,-1.69,43.87,"May 24, 23",-0.0169,UHT
2023-05-23,43.74,45.03,43.74,44.63,43.978466,41390,41400,0.89,2.03,44.59,"May 23, 23",0.0203,UHT
2023-05-22,43.69,44.25,43.5,44.04,43.397079,28710,28700,0.35,0.8011,43.96,"May 22, 23",0.008011,UHT
2023-05-19,44.71,44.71,43.5,43.84,43.200001,57346,57300,-0.87,-1.95,43.85,"May 19, 23",-0.0195,UHT
2023-05-18,44.0,44.32,43.65,44.23,43.584305,47101,47100,0.23,0.52273,44.06,"May 18, 23",0.0052273,UHT
2023-05-17,44.01,44.39,43.6,44.11,43.466057,69955,70000,0.1,0.22722,44.03,"May 17, 23",0.0022722,UHT
2023-05-16,45.07,45.07,43.58,43.63,42.993065,54495,54500,-1.44,-3.2,43.92,"May 16, 23",-0.032,UHT
2023-05-15,45.33,45.33,44.74,45.05,44.392334,35773,35800,-0.28,-0.61769,45.06,"May 15, 23",-0.0061769,UHT
2023-05-12,45.17,45.665,44.46,45.03,44.372627,36352,36400,-0.14,-0.30994,44.95,"May 12, 23",-0.0030994,UHT
2023-05-11,44.61,45.21,44.13,45.11,44.451462,30783,30800,0.5,1.12,44.89,"May 11, 23",0.0112,UHT
2023-05-10,44.94,45.08,44.21,45.04,44.382481,30351,30300,0.1,0.22252,44.79,"May 10, 23",0.0022252,UHT
2023-05-09,44.24,44.79,43.8,44.59,43.939053,44647,44600,0.35,0.79114,44.4,"May 09, 23",0.0079114,UHT
2023-05-08,44.32,44.78,44.01,44.55,43.899635,42868,42800,0.23,0.51895,44.44,"May 08, 23",0.0051895,UHT
2023-05-05,44.58,44.87,43.764,44.44,43.791241,30126,30100,-0.14,-0.31404,44.35,"May 05, 23",-0.0031404,UHT
2023-05-04,42.72,44.1,42.2,43.97,43.328102,34909,34900,1.25,2.93,43.57,"May 04, 23",0.0293,UHT
2023-05-03,42.65,43.3216,42.47,42.58,41.958397,55797,55800,-0.07,-0.16413,42.82,"May 03, 23",-0.0016413,UHT
2023-05-02,43.65,43.65,42.5,42.73,42.106205,53149,53100,-0.92,-2.11,42.78,"May 02, 23",-0.0211,UHT
2023-05-01,43.68,44.26,43.3384,43.84,43.200001,49902,49900,0.16,0.3663,43.81,"May 01, 23",0.003663,UHT
2023-04-28,43.86,44.35,43.05,43.5,42.864964,43632,43700,-0.36,-0.82079,43.51,"April 28, 23",-0.0082079,UHT
2023-04-27,43.65,44.15,43.55,43.95,43.308395,28223,28200,0.3,0.68729,43.91,"April 27, 23",0.0068729,UHT
2023-04-26,46.05,46.505,43.31,43.79,43.15073,48807,48800,-2.26,-4.91,44.46,"April 26, 23",-0.0491,UHT
2023-04-25,46.05,46.52,46.01,46.33,45.653652,37156,37200,0.28,0.60803,46.31,"April 25, 23",0.0060803,UHT
2023-04-24,46.53,46.64,46.0457,46.52,45.840878,32744,32700,-0.01,-0.02149151,46.4,"April 24, 23",-0.0002149151,UHT
2023-04-21,47.11,47.11,46.5,46.83,46.146351,30309,30300,-0.28,-0.59435,46.81,"April 21, 23",-0.0059435,UHT
2023-04-20,46.98,47.215,46.51,47.06,46.372993,36765,36800,0.08,0.17029,46.89,"April 20, 23",0.0017029,UHT
2023-04-19,46.46,47.42,46.4,47.37,46.678467,60720,60700,0.91,1.96,47.24,"April 19, 23",0.0196,UHT
2023-04-18,47.56,47.56,46.385,46.71,46.028099,37272,37300,-0.85,-1.79,46.71,"April 18, 23",-0.0179,UHT
2023-04-17,46.68,47.51,46.68,47.35,46.658756,25670,25700,0.67,1.44,47.24,"April 17, 23",0.0144,UHT
2023-04-14,47.3,47.7,46.41,46.68,45.998539,41264,41300,-0.62,-1.31,46.85,"April 14, 23",-0.0131,UHT
2023-04-13,47.6,47.6,46.5501,47.11,46.422264,50114,50100,-0.49,-1.03,46.98,"April 13, 23",-0.0103,UHT
2023-04-12,48.2,48.2,47.145,47.58,46.885403,49621,49600,-0.62,-1.29,47.62,"April 12, 23",-0.0129,UHT
2023-04-11,47.81,48.35,47.4801,47.86,47.161316,20670,20700,0.05,0.10458,47.97,"April 11, 23",0.0010458,UHT
2023-04-10,47.45,47.79,46.885,47.67,46.974087,43014,43000,0.22,0.46365,47.49,"April 10, 23",0.0046365,UHT
2023-04-06,47.01,47.66,46.77,47.56,46.865696,48908,48900,0.55,1.17,47.26,"April 06, 23",0.0117,UHT
2023-04-05,46.98,47.31,46.5225,46.69,46.008392,30123,30100,-0.29,-0.61728,46.9,"April 05, 23",-0.0061728,UHT
2023-04-04,47.79,47.79,46.4,46.99,46.304016,52610,52600,-0.8,-1.67,46.88,"April 04, 23",-0.0167,UHT
2023-04-03,48.14,48.77,47.25,47.56,46.865696,64286,64300,-0.58,-1.2,47.74,"April 03, 23",-0.012,UHT
2023-03-31,47.98,48.36,47.34,48.11,47.407665,87554,87600,0.13,0.27095,47.95,"March 31, 23",0.0027095,UHT
2023-03-30,47.63,48.27,47.05,47.49,46.796715,35547,35500,-0.14,-0.29393,47.54,"March 30, 23",-0.0029393,UHT
2023-03-29,46.95,47.77,46.95,47.45,46.757301,49170,49200,0.5,1.06,47.43,"March 29, 23",0.0106,UHT
2023-03-28,47.0,47.25,46.1984,46.82,46.136497,36403,36400,-0.18,-0.38298,46.9,"March 28, 23",-0.0038298,UHT
2023-03-27,47.98,47.9895,47.23,47.32,46.629196,34760,34800,-0.66,-1.38,47.5,"March 27, 23",-0.0138,UHT
2023-03-24,46.1,47.91,45.7401,47.74,47.043068,35085,35100,1.64,3.56,47.36,"March 24, 23",0.0356,UHT
2023-03-23,46.89,47.37,46.23,46.37,45.693066,43412,43400,-0.52,-1.11,46.65,"March 23, 23",-0.0111,UHT
2023-03-22,48.42,48.45,46.7,46.7,46.01825,66313,66300,-1.72,-3.55,47.46,"March 22, 23",-0.0355,UHT
2023-03-21,49.5,49.94,48.47,48.69,47.979195,76097,76100,-0.81,-1.64,49.01,"March 21, 23",-0.0164,UHT
2023-03-20,48.65,49.64,48.59,49.26,48.540874,54305,54300,0.61,1.25,49.2,"March 20, 23",0.0125,UHT
