date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.4995,0.52,0.4801,0.486,0.486,227843,227843,-0.0135,-2.7,0.4954,"July 11, 23",-0.027,VHC
2023-07-10,0.4703,0.52,0.4661,0.491,0.49,167680,167700,0.0207,4.4,0.4957,"July 10, 23",0.044,VHC
2023-07-07,0.46,0.4848,0.46,0.4848,0.48,197149,196100,0.0248,5.39,0.4761,"July 07, 23",0.0539,VHC
2023-07-06,0.475,0.484755,0.4649,0.4747,0.47,174453,173000,-0.0003,-0.06315789,0.4755,"July 06, 23",-0.0006315789,VHC
2023-07-05,0.485,0.5,0.4728,0.4791,0.48,94257,84300,-0.0059,-1.22,0.4905,"July 05, 23",-0.0122,VHC
2023-07-03,0.4511,0.5,0.4511,0.5,0.5,207661,207700,0.0489,10.84,0.483,"July 03, 23",0.1084,VHC
2023-06-30,0.451,0.47,0.451,0.465,0.47,170872,165900,0.014,3.1,0.4599,"June 30, 23",0.031,VHC
2023-06-29,0.4964,0.4964,0.4222,0.4601,0.46,197581,197600,-0.0363,-7.31,0.4599,"June 29, 23",-0.0731,VHC
2023-06-28,0.4511,0.48,0.4511,0.4639,0.46,227122,227100,0.0128,2.84,0.4722,"June 28, 23",0.0284,VHC
2023-06-27,0.499,0.499,0.455,0.4651,0.47,216507,216500,-0.0339,-6.79,0.4737,"June 27, 23",-0.0679,VHC
2023-06-26,0.48,0.51,0.4702,0.4907,0.49,180562,180500,0.0107,2.23,0.4906,"June 26, 23",0.0223,VHC
2023-06-23,0.5008,0.52,0.4577,0.4577,0.46,188324,187900,-0.0431,-8.61,0.4769,"June 23, 23",-0.0861,VHC
2023-06-22,0.545,0.56,0.5,0.51,0.51,315143,314500,-0.035,-6.42,0.5318,"June 22, 23",-0.0642,VHC
2023-06-21,0.59,0.59,0.53705,0.551,0.55,291247,291200,-0.039,-6.61,0.5573,"June 21, 23",-0.0661,VHC
2023-06-20,0.54,0.5924,0.4641,0.5477,0.55,699115,689700,0.0077,1.43,0.5403,"June 20, 23",0.0143,VHC
2023-06-16,0.59,0.68,0.501,0.53,0.53,1280001,1277700,-0.06,-10.17,0.5665,"June 16, 23",-0.1017,VHC
2023-06-15,0.47,0.5168,0.46,0.5,0.5,662136,662100,0.03,6.38,0.4976,"June 15, 23",0.0638,VHC
2023-06-14,0.443,0.48,0.44,0.46,0.46,307088,307100,0.017,3.84,0.4671,"June 14, 23",0.0384,VHC
2023-06-13,0.44,0.464,0.43,0.4441,0.44,326073,325900,0.0041,0.93182,0.447,"June 13, 23",0.0093182,VHC
2023-06-12,0.465,0.48,0.44,0.4457,0.45,460713,459400,-0.0193,-4.15,0.4666,"June 12, 23",-0.0415,VHC
2023-06-09,0.422,0.4784,0.41,0.46,0.46,667400,666500,0.038,9.0,0.4428,"June 09, 23",0.09,VHC
2023-06-08,0.4267,0.4398,0.4038,0.4099,0.41,316361,316300,-0.0168,-3.94,0.4205,"June 08, 23",-0.0394,VHC
2023-06-07,0.42,0.4486,0.41,0.4279,0.43,124731,124600,0.0079,1.88,0.4312,"June 07, 23",0.0188,VHC
2023-06-06,0.41,0.435,0.41,0.4315,0.43,209412,209400,0.0215,5.24,0.4235,"June 06, 23",0.0524,VHC
2023-06-05,0.4032,0.424,0.38,0.414,0.41,507087,486900,0.0108,2.68,0.3988,"June 05, 23",0.0268,VHC
2023-06-02,0.4335,0.4438,0.3865,0.4096,0.41,543026,543000,-0.0239,-5.51,0.406,"June 02, 23",-0.0551,VHC
2023-06-01,0.46,0.46,0.42745,0.431,0.43,359002,358900,-0.029,-6.3,0.4413,"June 01, 23",-0.063,VHC
2023-05-31,0.43,0.444079,0.4158,0.44,0.44,270561,270600,0.01,2.33,0.4279,"May 31, 23",0.0233,VHC
2023-05-30,0.439,0.439,0.416,0.4231,0.42,255255,255300,-0.0159,-3.62,0.4255,"May 30, 23",-0.0362,VHC
2023-05-26,0.415,0.45156,0.41,0.4318,0.43,367334,367300,0.0168,4.05,0.426,"May 26, 23",0.0405,VHC
2023-05-25,0.4225,0.4599,0.417,0.45,0.45,386108,386100,0.0275,6.51,0.4347,"May 25, 23",0.0651,VHC
2023-05-24,0.4,0.4385,0.4,0.4226,0.42,251088,251100,0.0226,5.65,0.42,"May 24, 23",0.0565,VHC
2023-05-23,0.411,0.4254,0.3913,0.4091,0.41,341809,341800,-0.0019,-0.46229,0.4131,"May 23, 23",-0.0046229,VHC
2023-05-22,0.4,0.42,0.391,0.4111,0.41,190996,191000,0.0111,2.77,0.4025,"May 22, 23",0.0277,VHC
2023-05-19,0.45,0.45,0.385,0.4001,0.4,318504,318500,-0.0499,-11.09,0.4014,"May 19, 23",-0.1109,VHC
2023-05-18,0.4263,0.4504,0.415501,0.4222,0.42,301001,301000,-0.0041,-0.96176,0.4343,"May 18, 23",-0.0096176,VHC
2023-05-17,0.43,0.4597,0.4105,0.4286,0.43,561470,561500,-0.0014,-0.32558,0.4359,"May 17, 23",-0.0032558,VHC
2023-05-16,0.42,0.4386,0.4175,0.4329,0.43,287717,287700,0.0129,3.07,0.4249,"May 16, 23",0.0307,VHC
2023-05-15,0.42,0.4408,0.414,0.4227,0.42,300925,300800,0.0027,0.64286,0.4299,"May 15, 23",0.0064286,VHC
2023-05-12,0.3823,0.44,0.381,0.4323,0.43,942322,942300,0.05,13.08,0.4202,"May 12, 23",0.1308,VHC
2023-05-11,0.39,0.45,0.38,0.4355,0.44,1201770,1201700,0.0455,11.67,0.4248,"May 11, 23",0.1167,VHC
2023-05-10,0.4039,0.405,0.365,0.38,0.38,1378709,1378500,-0.0239,-5.92,0.3818,"May 10, 23",-0.0592,VHC
2023-05-09,0.415,0.5086,0.37,0.42,0.42,7405941,7405900,0.005,1.2,0.449,"May 09, 23",0.012,VHC
2023-05-08,0.3585,0.37,0.35,0.3505,0.35,427343,427300,-0.008,-2.23,0.3548,"May 08, 23",-0.0223,VHC
2023-05-05,0.39,0.3999,0.345,0.35,0.35,763491,759000,-0.04,-10.26,0.3645,"May 05, 23",-0.1026,VHC
2023-05-04,0.42,0.42,0.3907,0.391,0.39,355165,355200,-0.029,-6.9,0.3981,"May 04, 23",-0.069,VHC
2023-05-03,0.3803,0.42,0.3681,0.42,0.42,740542,740500,0.0397,10.44,0.3851,"May 03, 23",0.1044,VHC
