date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,187.68,190.82,186.79,190.17,190.169998,294153,294153,2.49,1.33,189.77,"July 11, 23",0.0133,WEX
2023-07-10,183.95,188.31,183.83,187.48,187.479996,278427,278400,3.53,1.92,187.18,"July 10, 23",0.0192,WEX
2023-07-07,182.32,186.09,181.857,184.97,184.970001,273031,273000,2.65,1.45,184.86,"July 07, 23",0.0145,WEX
2023-07-06,181.53,183.785,178.63,183.48,183.479996,340363,340200,1.95,1.07,182.49,"July 06, 23",0.0107,WEX
2023-07-05,181.6,184.3,180.61,183.6,183.600006,259160,259200,2.0,1.1,183.52,"July 05, 23",0.011,WEX
2023-07-03,181.3,183.45,180.99,183.1,183.100006,163763,163800,1.8,0.99283,182.45,"July 03, 23",0.0099283,WEX
2023-06-30,182.09,183.51,181.18,182.07,182.070007,376328,376200,-0.02,-0.01098358,182.39,"June 30, 23",-0.0001098358,WEX
2023-06-29,179.2,181.42,177.56,180.24,180.240005,213447,213400,1.04,0.58036,180.11,"June 29, 23",0.0058036,WEX
2023-06-28,177.51,178.68,176.18,178.04,178.039993,307667,307700,0.53,0.29857,177.65,"June 28, 23",0.0029857,WEX
2023-06-27,173.79,177.68,173.3159,177.57,177.570007,308090,308100,3.78,2.18,176.84,"June 27, 23",0.0218,WEX
2023-06-26,171.4,174.51,171.4,172.84,172.839996,249319,249300,1.44,0.84014,173.37,"June 26, 23",0.0084014,WEX
2023-06-23,170.75,172.525,169.57,172.22,172.220001,521218,521200,1.47,0.86091,172.03,"June 23, 23",0.0086091,WEX
2023-06-22,173.85,174.6,171.7197,173.0,173.0,267525,267500,-0.85,-0.48893,173.21,"June 22, 23",-0.0048893,WEX
2023-06-21,174.24,176.23,173.05,174.82,174.820007,260382,260400,0.58,0.33287,174.82,"June 21, 23",0.0033287,WEX
2023-06-20,173.96,177.0625,172.24,175.1,175.100006,290815,290800,1.14,0.65532,175.17,"June 20, 23",0.0065532,WEX
2023-06-16,180.06,180.06,175.5725,176.53,176.529999,944186,944200,-3.53,-1.96,176.73,"June 16, 23",-0.0196,WEX
2023-06-15,173.74,180.095,172.9,180.04,180.039993,331524,331500,6.3,3.63,178.23,"June 15, 23",0.0363,WEX
2023-06-14,177.88,179.61,172.81,173.9,173.899994,353460,353500,-3.98,-2.24,174.89,"June 14, 23",-0.0224,WEX
2023-06-13,175.85,178.04,175.425,176.9,176.899994,294837,294800,1.05,0.5971,176.91,"June 13, 23",0.005971,WEX
2023-06-12,179.86,181.57,175.12,175.36,175.360001,285908,285900,-4.5,-2.5,176.21,"June 12, 23",-0.025,WEX
2023-06-09,178.92,181.47,178.015,180.51,180.509995,356863,356900,1.59,0.88867,180.09,"June 09, 23",0.0088867,WEX
2023-06-08,181.06,182.34,176.965,178.45,178.449997,294643,294600,-2.61,-1.44,178.43,"June 08, 23",-0.0144,WEX
