date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,71.98,75.64,71.8,74.63,74.629997,1040595,1019626,2.65,3.68,74.46,"July 11, 23",0.0368,WFRD
2023-07-10,69.97,71.78,69.7,71.74,71.739998,788791,788800,1.77,2.53,70.95,"July 10, 23",0.0253,WFRD
2023-07-07,65.47,70.14,65.47,69.62,69.620003,1007448,1007400,4.15,6.34,69.1,"July 07, 23",0.0634,WFRD
2023-07-06,66.13,67.26,63.41,65.89,65.889999,657053,657000,-0.24,-0.36292,65.31,"July 06, 23",-0.0036292,WFRD
2023-07-05,67.28,68.36,66.2,66.97,66.970001,530336,530300,-0.31,-0.46076,67.04,"July 05, 23",-0.0046076,WFRD
2023-07-03,66.52,67.64,66.21,67.16,67.160004,273433,273400,0.64,0.96212,67.1,"July 03, 23",0.0096212,WFRD
2023-06-30,66.23,67.4,65.8,66.42,66.419998,782557,782400,0.19,0.28688,66.35,"June 30, 23",0.0028688,WFRD
2023-06-29,64.14,65.45,63.435,65.41,65.410004,1529319,1529200,1.27,1.98,64.26,"June 29, 23",0.0198,WFRD
2023-06-28,65.13,65.34,63.26,64.03,64.029999,958412,958400,-1.1,-1.69,64.0,"June 28, 23",-0.0169,WFRD
2023-06-27,65.25,66.9987,64.135,65.77,65.769997,780842,780800,0.52,0.79693,65.86,"June 27, 23",0.0079693,WFRD
2023-06-26,62.76,66.6,62.76,65.22,65.220001,1014159,1014100,2.46,3.92,64.99,"June 26, 23",0.0392,WFRD
2023-06-23,60.46,62.71,60.01,62.64,62.639999,940133,940100,2.18,3.61,62.21,"June 23, 23",0.0361,WFRD
2023-06-22,60.83,63.835,60.0,61.62,61.619999,511727,511700,0.79,1.3,61.36,"June 22, 23",0.013,WFRD
2023-06-21,59.44,62.065,58.675,61.52,61.52,558770,558800,2.08,3.5,61.24,"June 21, 23",0.035,WFRD
2023-06-20,60.37,60.44,58.04,59.69,59.689999,686149,686100,-0.68,-1.13,58.95,"June 20, 23",-0.0113,WFRD
2023-06-16,62.43,62.43,60.46,60.67,60.669998,1064336,1064300,-1.76,-2.82,61.01,"June 16, 23",-0.0282,WFRD
2023-06-15,61.62,62.55,61.415,61.67,61.669998,467268,467200,0.05,0.08114249,61.81,"June 15, 23",0.0008114249,WFRD
2023-06-14,63.13,63.745,60.88,61.63,61.630001,663539,663400,-1.5,-2.38,61.82,"June 14, 23",-0.0238,WFRD
2023-06-13,64.3,65.67,62.78,62.83,62.830002,641584,641500,-1.47,-2.29,63.77,"June 13, 23",-0.0229,WFRD
2023-06-12,63.7,64.5,62.6,63.1,63.099998,711773,711800,-0.6,-0.94192,63.25,"June 12, 23",-0.0094192,WFRD
2023-06-09,65.05,67.19,64.825,65.29,65.290001,552587,552600,0.24,0.36895,65.55,"June 09, 23",0.0036895,WFRD
2023-06-08,64.77,65.61,63.96,65.17,65.169998,878057,878100,0.4,0.61757,65.02,"June 08, 23",0.0061757,WFRD
2023-06-07,62.96,65.01,62.8,64.77,64.769997,1277786,1277800,1.81,2.87,64.34,"June 07, 23",0.0287,WFRD
2023-06-06,61.79,64.53,61.4231,62.47,62.470001,796543,796500,0.68,1.1,62.82,"June 06, 23",0.011,WFRD
2023-06-05,63.29,63.99,61.87,63.21,63.209999,642526,642300,-0.08,-0.1264,63.07,"June 05, 23",-0.001264,WFRD
2023-06-02,60.84,63.15,60.01,62.68,62.68,706104,706100,1.84,3.02,62.31,"June 02, 23",0.0302,WFRD
2023-06-01,56.55,59.865,55.8144,59.31,59.310001,747037,747000,2.76,4.88,58.75,"June 01, 23",0.0488,WFRD
2023-05-31,57.71,57.915,56.035,56.44,56.439999,850607,850600,-1.27,-2.2,56.52,"May 31, 23",-0.022,WFRD
2023-05-30,57.91,58.95,57.37,57.37,58.990002,11939,829900,-0.54,-0.93248,57.92,"May 30, 23",-0.0093248,WFRD
2023-05-26,59.45,59.78,58.12,59.07,59.07,635146,635100,-0.38,-0.63919,58.87,"May 26, 23",-0.0063919,WFRD
2023-05-25,59.28,59.83,58.28,59.27,59.27,702180,702200,-0.01,-0.0168691,58.98,"May 25, 23",-0.000168691,WFRD
2023-05-24,59.67,61.19,59.01,60.6,60.599998,433221,433200,0.93,1.56,60.38,"May 24, 23",0.0156,WFRD
2023-05-23,60.91,61.1304,58.96,59.46,59.459999,490032,490000,-1.45,-2.38,59.71,"May 23, 23",-0.0238,WFRD
2023-05-22,60.14,61.595,60.07,60.65,60.650002,579047,579000,0.51,0.84802,60.79,"May 22, 23",0.0084802,WFRD
2023-05-19,60.3,60.3,58.9,60.14,60.139999,487055,487000,-0.16,-0.26534,59.66,"May 19, 23",-0.0026534,WFRD
2023-05-18,57.08,58.83,56.69,58.66,58.66,431729,431700,1.58,2.77,57.88,"May 18, 23",0.0277,WFRD
2023-05-17,57.26,58.2276,56.48,57.83,57.830002,510341,510100,0.57,0.99546,57.59,"May 17, 23",0.0099546,WFRD
2023-05-16,58.95,59.37,56.58,56.64,56.639999,571694,571700,-2.31,-3.92,57.06,"May 16, 23",-0.0392,WFRD
2023-05-15,59.07,60.1,58.41,59.11,59.110001,407794,407800,0.04,0.06771627,59.21,"May 15, 23",0.0006771627,WFRD
2023-05-12,59.64,60.79,58.41,58.78,58.779999,423257,423300,-0.86,-1.44,59.06,"May 12, 23",-0.0144,WFRD
2023-05-11,59.27,59.37,57.3401,58.92,58.919998,523871,523900,-0.35,-0.59052,58.59,"May 11, 23",-0.0059052,WFRD
2023-05-10,60.65,61.29,58.4201,60.69,60.689999,595962,596000,0.04,0.06595218,60.21,"May 10, 23",0.0006595218,WFRD
2023-05-09,59.69,60.97,59.0,60.45,60.450001,397346,397300,0.76,1.27,60.14,"May 09, 23",0.0127,WFRD
2023-05-08,62.29,62.61,60.03,60.1,60.099998,407055,407100,-2.19,-3.52,60.67,"May 08, 23",-0.0352,WFRD
2023-05-05,61.08,62.32,60.73,60.79,60.790001,429200,429200,-0.29,-0.47479,61.21,"May 05, 23",-0.0047479,WFRD
2023-05-04,59.29,60.07,57.38,58.9,58.900002,391783,391800,-0.39,-0.65778,58.75,"May 04, 23",-0.0065778,WFRD
2023-05-03,59.57,60.76,58.594,59.03,59.029999,615555,615600,-0.54,-0.9065,59.33,"May 03, 23",-0.009065,WFRD
2023-05-02,63.83,63.99,59.33,59.38,59.380001,850090,850100,-4.45,-6.97,60.04,"May 02, 23",-0.0697,WFRD
2023-05-01,64.27,66.5199,63.5,64.63,64.629997,717260,717200,0.36,0.56014,65.06,"May 01, 23",0.0056014,WFRD
2023-04-28,63.3,65.18,62.9,64.63,64.629997,811893,811900,1.33,2.1,64.39,"April 28, 23",0.021,WFRD
2023-04-27,62.28,64.265,61.56,63.72,63.720001,546903,546900,1.44,2.31,63.36,"April 27, 23",0.0231,WFRD
2023-04-26,61.18,64.94,61.12,61.76,61.759998,1510805,1510800,0.58,0.94802,63.18,"April 26, 23",0.0094802,WFRD
2023-04-25,61.54,61.5942,58.81,59.43,59.43,1031386,1031300,-2.11,-3.43,59.57,"April 25, 23",-0.0343,WFRD
2023-04-24,62.01,63.835,61.78,62.77,62.77,750314,750300,0.76,1.23,63.0,"April 24, 23",0.0123,WFRD
2023-04-21,63.08,63.87,61.8,62.31,62.310001,470289,470300,-0.77,-1.22,62.4,"April 21, 23",-0.0122,WFRD
2023-04-20,63.25,63.67,61.73,63.0,63.0,557889,557900,-0.25,-0.39526,62.79,"April 20, 23",-0.0039526,WFRD
2023-04-19,64.07,64.86,62.88,64.37,64.370003,359811,359800,0.3,0.46824,64.07,"April 19, 23",0.0046824,WFRD
2023-04-18,64.16,65.37,62.78,64.77,64.769997,553235,553200,0.61,0.95075,64.79,"April 18, 23",0.0095075,WFRD
2023-04-17,65.2,65.37,63.63,64.04,64.040001,370512,370500,-1.16,-1.78,64.23,"April 17, 23",-0.0178,WFRD
2023-04-14,64.35,65.53,64.075,65.21,65.209999,674237,674200,0.86,1.34,64.96,"April 14, 23",0.0134,WFRD
2023-04-13,62.92,64.85,62.65,64.0,64.0,427568,427600,1.08,1.72,64.2,"April 13, 23",0.0172,WFRD
2023-04-12,61.34,63.68,60.93,62.71,62.709999,510841,510800,1.37,2.23,62.65,"April 12, 23",0.0223,WFRD
2023-04-11,60.07,61.12,59.71,60.71,60.709999,379460,379500,0.64,1.07,60.61,"April 11, 23",0.0107,WFRD
