date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,108.1,109.07,107.11,108.26,108.260002,1759889,1699103,0.16,0.14801,108.13,"July 11, 23",0.0014801,WYNN
2023-07-10,101.33,107.13,101.33,107.09,107.089996,2577767,2577800,5.76,5.68,105.8,"July 10, 23",0.0568,WYNN
2023-07-07,99.78,101.81,99.65,101.32,101.32,1862445,1862100,1.54,1.54,100.99,"July 07, 23",0.0154,WYNN
2023-07-06,100.03,100.51,97.36,99.53,99.529999,2726978,2726500,-0.5,-0.49985,98.88,"July 06, 23",-0.0049985,WYNN
2023-07-05,105.4,105.85,101.41,101.75,101.75,3302906,3301900,-3.65,-3.46,102.34,"July 05, 23",-0.0346,WYNN
2023-07-03,105.835,108.37,105.83,106.62,106.620003,1120260,1120300,0.785,0.74172,107.24,"July 03, 23",0.0074172,WYNN
2023-06-30,105.12,106.36,104.1,105.61,105.610001,1349421,1349400,0.49,0.46613,105.69,"June 30, 23",0.0046613,WYNN
2023-06-29,104.7,105.7,103.72,104.5,104.5,1354936,1354700,-0.2,-0.19102,104.76,"June 29, 23",-0.0019102,WYNN
2023-06-28,105.61,105.61,104.01,104.25,104.25,1470924,1470900,-1.36,-1.29,104.38,"June 28, 23",-0.0129,WYNN
2023-06-27,105.53,106.5,104.78,105.76,105.760002,1111057,1111000,0.23,0.21795,105.85,"June 27, 23",0.0021795,WYNN
2023-06-26,103.25,106.48,103.21,105.25,105.25,1482753,1482800,2.0,1.94,105.33,"June 26, 23",0.0194,WYNN
2023-06-23,104.0,105.4,101.89,104.2,104.199997,1786205,1785900,0.2,0.19231,104.11,"June 23, 23",0.0019231,WYNN
2023-06-22,105.6,106.97,104.81,105.32,105.32,1241129,1240600,-0.28,-0.26515,105.52,"June 22, 23",-0.0026515,WYNN
2023-06-21,105.08,106.88,104.8,106.35,106.349998,1716938,1716900,1.27,1.21,106.15,"June 21, 23",0.0121,WYNN
2023-06-20,104.96,107.14,104.62,106.17,106.169998,2766671,2765100,1.21,1.15,106.1,"June 20, 23",0.0115,WYNN
2023-06-16,105.3,105.3,103.41,103.73,103.730003,2268236,2267900,-1.57,-1.49,104.11,"June 16, 23",-0.0149,WYNN
2023-06-15,103.43,105.61,102.34,104.57,104.57,2265839,2265800,1.14,1.1,104.29,"June 15, 23",0.011,WYNN
2023-06-14,103.94,104.75,102.78,103.5,103.5,1629126,1629000,-0.44,-0.42332,103.74,"June 14, 23",-0.0042332,WYNN
2023-06-13,104.09,105.37,103.37,104.0,104.0,2007764,2007700,-0.09,-0.08646364,104.11,"June 13, 23",-0.0008646364,WYNN
2023-06-12,103.1,103.74,102.32,103.58,103.580002,1802838,1802200,0.48,0.46557,103.31,"June 12, 23",0.0046557,WYNN
2023-06-09,103.05,103.365,101.11,102.21,102.209999,1704629,1704300,-0.84,-0.81514,102.06,"June 09, 23",-0.0081514,WYNN
2023-06-08,100.83,103.225,100.04,103.06,103.059998,2625157,2625000,2.23,2.21,102.12,"June 08, 23",0.0221,WYNN
2023-06-07,102.52,103.66,101.81,103.26,103.260002,1641634,1641600,0.74,0.72181,102.73,"June 07, 23",0.0072181,WYNN
2023-06-06,100.24,104.23,100.16,102.74,102.739998,2701886,2701900,2.5,2.49,102.92,"June 06, 23",0.0249,WYNN
2023-06-05,100.0,101.44,98.6501,100.57,100.57,1917363,1917400,0.57,0.57,100.43,"June 05, 23",0.0057,WYNN
2023-06-02,97.96,101.55,97.48,100.35,100.349998,3916714,3913800,2.39,2.44,100.13,"June 02, 23",0.0244,WYNN
2023-06-01,97.51,98.96,95.07,96.48,96.480003,5667039,5667000,-1.03,-1.06,97.26,"June 01, 23",-0.0106,WYNN
2023-05-31,98.81,99.03,96.44,98.7,98.699997,3391027,3391000,-0.11,-0.11132,97.78,"May 31, 23",-0.0011132,WYNN
2023-05-30,102.18,102.44,98.75,99.51,99.510002,3623375,3623400,-2.67,-2.61,99.54,"May 30, 23",-0.0261,WYNN
2023-05-26,100.88,101.9,100.535,101.13,101.129997,1808238,1808200,0.25,0.24782,101.07,"May 26, 23",0.0024782,WYNN
2023-05-25,101.18,102.75,100.35,101.02,101.019997,1835020,1834800,-0.16,-0.15813,101.26,"May 25, 23",-0.0015813,WYNN
2023-05-24,100.75,102.24,100.09,101.09,101.089996,2342691,2342700,0.34,0.33747,101.08,"May 24, 23",0.0033747,WYNN
2023-05-23,107.19,107.19,101.29,101.88,101.879997,3877481,3877500,-5.31,-4.95,102.98,"May 23, 23",-0.0495,WYNN
2023-05-22,110.25,111.4,108.2001,108.41,108.410004,1733520,1733500,-1.84,-1.67,109.1,"May 22, 23",-0.0167,WYNN
2023-05-19,109.91,110.395,108.98,110.28,110.029999,1921423,1921300,0.37,0.33664,109.83,"May 19, 23",0.0033664,WYNN
2023-05-18,108.98,110.44,107.8,110.3,110.049957,2459098,2459100,1.32,1.21,109.49,"May 18, 23",0.0121,WYNN
2023-05-17,106.39,111.05,105.5,108.92,108.67308,5680489,5680500,2.53,2.38,109.3,"May 17, 23",0.0238,WYNN
2023-05-16,105.0,105.51,102.14,103.05,102.816391,2385720,2382700,-1.95,-1.86,103.19,"May 16, 23",-0.0186,WYNN
2023-05-15,106.0,106.5297,105.0101,105.71,105.47036,2429266,2429200,-0.29,-0.27358,105.69,"May 15, 23",-0.0027358,WYNN
2023-05-12,106.75,107.9,104.6,105.39,105.151085,2668424,2653500,-1.36,-1.27,105.78,"May 12, 23",-0.0127,WYNN
2023-05-11,110.39,110.685,105.62,106.9,106.657669,4509654,4509700,-3.49,-3.16,107.24,"May 11, 23",-0.0316,WYNN
2023-05-10,113.49,113.5,108.01,111.5,111.247238,5041451,5041500,-1.99,-1.75,110.14,"May 10, 23",-0.0175,WYNN
2023-05-09,111.32,112.4796,108.53,111.7,111.446777,3356840,3359700,0.38,0.34136,111.65,"May 09, 23",0.0034136,WYNN
2023-05-08,111.98,113.16,110.78,112.76,112.504379,1836699,1836700,0.78,0.69655,112.38,"May 08, 23",0.0069655,WYNN
2023-05-05,110.75,111.85,109.39,110.78,110.52887,1561082,1560300,0.03,0.02708804,110.79,"May 05, 23",0.0002708804,WYNN
2023-05-04,108.62,110.38,108.48,109.25,109.002335,1644015,1644000,0.63,0.58,109.35,"May 04, 23",0.0058,WYNN
2023-05-03,111.82,112.08,108.47,109.33,109.082153,2491266,2491300,-2.49,-2.23,110.2,"May 03, 23",-0.0223,WYNN
2023-05-02,114.82,115.24,112.61,113.2,112.943382,1865648,1865600,-1.62,-1.41,113.39,"May 02, 23",-0.0141,WYNN
2023-05-01,116.0,117.86,114.785,115.6,115.337936,2897679,2897700,-0.4,-0.34483,116.37,"May 01, 23",-0.0034483,WYNN
2023-04-28,109.99,115.01,109.8,114.28,114.020935,2653683,2653300,4.29,3.9,113.82,"April 28, 23",0.039,WYNN
2023-04-27,111.4,111.47,107.54,110.22,109.970139,2242335,2242100,-1.18,-1.06,109.37,"April 27, 23",-0.0106,WYNN
2023-04-26,111.86,112.54,109.07,109.45,109.201881,1382443,1382200,-2.41,-2.15,110.12,"April 26, 23",-0.0215,WYNN
2023-04-25,113.47,113.63,111.19,111.63,111.376938,1863241,1863000,-1.84,-1.62,111.86,"April 25, 23",-0.0162,WYNN
2023-04-24,113.84,115.18,113.01,114.48,114.220482,1670468,1670500,0.64,0.56219,114.35,"April 24, 23",0.0056219,WYNN
2023-04-21,112.86,114.595,112.57,114.11,113.851318,1933512,1933400,1.25,1.11,113.81,"April 21, 23",0.0111,WYNN
2023-04-20,115.0,116.99,112.81,113.69,113.432274,4983657,5010700,-1.31,-1.14,114.94,"April 20, 23",-0.0114,WYNN
2023-04-19,111.22,113.93,110.95,112.12,111.865829,2098654,2098700,0.9,0.80921,112.73,"April 19, 23",0.0080921,WYNN
2023-04-18,112.55,114.25,112.09,112.15,111.895767,2423769,2423800,-0.4,-0.3554,112.82,"April 18, 23",-0.003554,WYNN
2023-04-17,111.88,113.245,111.22,111.34,111.087593,1214218,1214200,-0.54,-0.48266,111.76,"April 17, 23",-0.0048266,WYNN
2023-04-14,109.89,111.62,109.44,110.99,110.738388,1147962,1148000,1.1,1.0,110.48,"April 14, 23",0.01,WYNN
2023-04-13,107.62,110.98,107.31,110.26,110.010048,2182220,2182000,2.64,2.45,110.0,"April 13, 23",0.0245,WYNN
2023-04-12,108.05,108.53,105.51,106.06,105.819565,1837899,1837900,-1.99,-1.84,106.65,"April 12, 23",-0.0184,WYNN
2023-04-11,110.45,110.76,107.8,107.98,107.735222,1628729,1628700,-2.47,-2.24,108.69,"April 11, 23",-0.0224,WYNN
2023-04-10,108.52,110.89,108.475,109.92,109.670815,1880870,1880900,1.4,1.29,110.05,"April 10, 23",0.0129,WYNN
2023-04-06,108.59,109.15,107.06,109.12,108.872635,1390775,1390600,0.53,0.48807,108.32,"April 06, 23",0.0048807,WYNN
2023-04-05,111.41,111.95,108.13,108.6,108.353806,2356153,2356000,-2.81,-2.52,108.85,"April 05, 23",-0.0252,WYNN
2023-04-04,112.8,112.908,110.5,112.1,111.845871,2255736,2255700,-0.7,-0.62057,111.73,"April 04, 23",-0.0062057,WYNN
2023-04-03,115.335,117.17,112.71,113.33,113.07309,3743623,3743600,-2.005,-1.74,114.44,"April 03, 23",-0.0174,WYNN
2023-03-31,109.46,112.04,109.46,111.91,111.656311,3748984,3749000,2.45,2.24,110.78,"March 31, 23",0.0224,WYNN
2023-03-30,110.27,110.6762,108.1,109.0,108.752907,1915767,1915800,-1.27,-1.15,109.05,"March 30, 23",-0.0115,WYNN
2023-03-29,108.38,111.3,108.38,109.05,108.802795,3011835,3011800,0.67,0.6182,109.73,"March 29, 23",0.006182,WYNN
2023-03-28,106.68,107.8662,105.73,107.21,106.966957,1683567,1683600,0.53,0.49681,106.86,"March 28, 23",0.0049681,WYNN
2023-03-27,106.72,107.385,104.98,106.34,106.09893,1487262,1487200,-0.38,-0.35607,106.27,"March 27, 23",-0.0035607,WYNN
2023-03-24,104.85,106.6993,103.02,106.58,106.338394,2296497,2296400,1.73,1.65,105.56,"March 24, 23",0.0165,WYNN
2023-03-23,106.71,108.93,104.875,106.2,105.959244,2186096,2186100,-0.51,-0.47793,106.9,"March 23, 23",-0.0047793,WYNN
2023-03-22,108.9,108.9,105.73,105.75,105.510269,2148184,2148200,-3.15,-2.89,106.8,"March 22, 23",-0.0289,WYNN
2023-03-21,109.47,110.73,108.05,108.19,107.94474,1640875,1640900,-1.28,-1.17,109.12,"March 21, 23",-0.0117,WYNN
2023-03-20,106.96,109.335,106.5,107.64,107.395988,1464360,1464400,0.68,0.63575,108.08,"March 20, 23",0.0063575,WYNN
2023-03-17,107.19,107.63,104.69,107.04,106.797348,2175241,2175000,-0.15,-0.13994,106.56,"March 17, 23",-0.0013994,WYNN
2023-03-16,103.26,108.43,103.08,107.44,107.196442,2614950,2614700,4.18,4.05,107.22,"March 16, 23",0.0405,WYNN
2023-03-15,105.75,106.4199,101.35,104.86,104.622292,3135763,3135800,-0.89,-0.84161,103.68,"March 15, 23",-0.0084161,WYNN
2023-03-14,107.77,109.2,107.34,108.33,108.084427,2212808,2212800,0.56,0.51963,108.32,"March 14, 23",0.0051963,WYNN
2023-03-13,106.99,107.505,105.641,106.25,106.00914,2653861,2653900,-0.74,-0.69165,106.46,"March 13, 23",-0.0069165,WYNN
2023-03-10,108.5,111.45,106.1389,108.34,108.094398,3425330,3425100,-0.16,-0.14747,108.74,"March 10, 23",-0.0014747,WYNN
2023-03-09,112.81,113.4771,109.53,109.63,109.38147,2851477,2851500,-3.18,-2.82,110.68,"March 09, 23",-0.0282,WYNN
2023-03-08,113.46,113.6599,112.0422,113.54,113.282616,986048,986000,0.08,0.07050943,113.02,"March 08, 23",0.0007050943,WYNN
2023-03-07,115.195,115.23,112.56,113.16,112.903473,2104740,2104700,-2.035,-1.77,113.57,"March 07, 23",-0.0177,WYNN
2023-03-06,116.36,116.36,114.33,115.4,115.138397,2342032,2342000,-0.96,-0.82503,115.42,"March 06, 23",-0.0082503,WYNN
2023-03-03,114.0,116.505,113.45,115.83,115.567421,2577642,2577600,1.83,1.61,115.45,"March 03, 23",0.0161,WYNN
2023-03-02,111.76,114.34,111.16,113.41,113.152908,3832180,3973800,1.65,1.48,112.91,"March 02, 23",0.0148,WYNN
2023-03-01,109.97,112.74,109.75,112.22,111.965607,3367800,3367800,2.25,2.05,111.77,"March 01, 23",0.0205,WYNN
2023-02-28,105.12,108.99,104.94,108.37,108.124336,3241690,3241500,3.25,3.09,108.03,"February 28, 23",0.0309,WYNN
2023-02-27,106.43,106.5,104.17,105.14,104.901649,2259066,2259000,-1.29,-1.21,105.2,"February 27, 23",-0.0121,WYNN
2023-02-24,104.31,106.24,103.7623,105.53,105.290771,1944229,1944200,1.22,1.17,105.21,"February 24, 23",0.0117,WYNN
2023-02-23,108.63,109.88,105.37,105.84,105.60006,1820928,1820700,-2.79,-2.57,106.81,"February 23, 23",-0.0257,WYNN
2023-02-22,107.0,108.8799,106.19,107.67,107.425919,3375470,3375500,0.67,0.62617,107.4,"February 22, 23",0.0062617,WYNN
2023-02-21,107.23,108.9712,106.32,107.15,106.907097,1894475,1894500,-0.08,-0.07460599,107.16,"February 21, 23",-0.0007460599,WYNN
2023-02-17,107.65,109.14,106.51,109.01,108.762886,2708951,2709000,1.36,1.26,108.12,"February 17, 23",0.0126,WYNN
2023-02-16,107.55,109.19,107.02,108.47,108.224106,2026261,2026300,0.92,0.85542,108.61,"February 16, 23",0.0085542,WYNN
2023-02-15,108.03,109.08,107.44,108.46,108.214127,1766660,1764900,0.43,0.39804,108.25,"February 15, 23",0.0039804,WYNN
2023-02-14,108.73,110.2,108.13,109.08,108.832726,1991493,1991300,0.35,0.3219,109.0,"February 14, 23",0.003219,WYNN
2023-02-13,108.35,110.335,108.3176,109.28,109.032265,2468508,2468300,0.93,0.85833,109.5,"February 13, 23",0.0085833,WYNN
2023-02-10,107.82,110.56,107.5,108.64,108.393715,2778233,2778200,0.82,0.76053,108.81,"February 10, 23",0.0076053,WYNN
2023-02-09,109.21,111.77,107.74,108.59,108.343826,7123238,7123200,-0.62,-0.56771,109.65,"February 09, 23",-0.0056771,WYNN
2023-02-08,103.43,104.38,102.7172,103.62,103.385101,2743563,2743600,0.19,0.1837,103.72,"February 08, 23",0.001837,WYNN
2023-02-07,103.0,104.04,101.01,103.54,103.305283,2025927,2025900,0.54,0.52427,102.8,"February 07, 23",0.0052427,WYNN
2023-02-06,101.62,104.12,101.02,102.94,102.706642,2181359,2181400,1.32,1.3,103.06,"February 06, 23",0.013,WYNN
2023-02-03,101.71,104.62,101.61,102.96,102.726593,2166104,2166100,1.25,1.23,103.43,"February 03, 23",0.0123,WYNN
2023-02-02,104.17,105.47,101.17,102.96,102.726593,2803704,2803700,-1.21,-1.16,102.78,"February 02, 23",-0.0116,WYNN
2023-02-01,104.56,105.3,101.8,104.32,104.083511,2427759,2427800,-0.24,-0.22953,103.8,"February 01, 23",-0.0022953,WYNN
2023-01-31,99.36,104.48,99.1,103.64,103.405052,3132762,3132800,4.28,4.31,103.15,"January 31, 23",0.0431,WYNN
2023-01-30,101.19,101.84,99.295,99.36,99.134758,2197188,2197200,-1.83,-1.81,100.28,"January 30, 23",-0.0181,WYNN
2023-01-27,102.22,104.34,102.06,102.99,102.756523,1900116,1899900,0.77,0.75328,103.39,"January 27, 23",0.0075328,WYNN
2023-01-26,102.35,103.29,99.42,102.85,102.616844,5051896,5051900,0.5,0.48852,102.23,"January 26, 23",0.0048852,WYNN
2023-01-25,98.0,99.43,97.17,98.59,98.366501,2466014,2466000,0.59,0.60204,98.52,"January 25, 23",0.0060204,WYNN
2023-01-24,99.51,99.9,98.51,99.13,98.905273,1527269,1527300,-0.38,-0.38187,99.23,"January 24, 23",-0.0038187,WYNN
2023-01-23,99.27,100.93,99.01,100.29,100.062653,1683458,1683500,1.02,1.03,100.03,"January 23, 23",0.0103,WYNN
2023-01-20,99.13,100.26,98.79,99.27,99.04496,1967530,1967300,0.14,0.14123,99.52,"January 20, 23",0.0014123,WYNN
2023-01-19,98.16,99.89,97.61,98.93,98.705734,2086876,2086900,0.77,0.78443,98.81,"January 19, 23",0.0078443,WYNN
2023-01-18,99.0,99.3,97.6,98.355,98.137024,1879649,1879600,-0.645,-0.65152,98.32,"January 18, 23",-0.0065152,WYNN
2023-01-17,99.2,99.715,97.51,98.01,97.787819,2231061,2231100,-1.19,-1.2,98.17,"January 17, 23",-0.012,WYNN
