date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.2125,0.232,0.21,0.2297,0.2297,9677682,9593233,0.0172,8.09,0.2237,"July 11, 23",0.0809,ZOM
2023-07-10,0.2008,0.215,0.2008,0.21,0.21,6272143,6272100,0.0092,4.58,0.2111,"July 10, 23",0.0458,ZOM
2023-07-07,0.204,0.21,0.204,0.205,0.205,3753641,3747100,0.001,0.4902,0.2068,"July 07, 23",0.004902,ZOM
2023-07-06,0.2,0.208,0.197,0.2071,0.207,5174959,5175000,0.0071,3.55,0.2029,"July 06, 23",0.0355,ZOM
2023-07-05,0.2,0.2042,0.2,0.2015,0.202,1475627,1475600,0.0015,0.75,0.2019,"July 05, 23",0.0075,ZOM
2023-07-03,0.195,0.205,0.195,0.205,0.205,2162169,2162200,0.01,5.13,0.2004,"July 03, 23",0.0513,ZOM
2023-06-30,0.2,0.202,0.1965,0.2,0.2,1671894,1664300,0.0,0.0,0.2002,"June 30, 23",0.0,ZOM
2023-06-29,0.1996,0.2062,0.196,0.2034,0.203,3394833,3394800,0.0038,1.9,0.2013,"June 29, 23",0.019,ZOM
2023-06-28,0.1944,0.205,0.1932,0.2,0.2,5060304,5060300,0.0056,2.88,0.1999,"June 28, 23",0.0288,ZOM
2023-06-27,0.1941,0.1963,0.1917,0.195,0.195,2524250,2524400,0.0009,0.46368,0.1934,"June 27, 23",0.0046368,ZOM
2023-06-26,0.1954,0.2026,0.1941,0.1947,0.195,3499302,3499300,-0.0007,-0.35824,0.1965,"June 26, 23",-0.0035824,ZOM
2023-06-23,0.201,0.211,0.196,0.1974,0.197,4011940,4002400,-0.0036,-1.79,0.1998,"June 23, 23",-0.0179,ZOM
2023-06-22,0.2097,0.2097,0.2021,0.2059,0.206,3786766,3777400,-0.0038,-1.81,0.205,"June 22, 23",-0.0181,ZOM
2023-06-21,0.2,0.2109,0.2,0.2109,0.211,3944035,3944000,0.0109,5.45,0.2057,"June 21, 23",0.0545,ZOM
2023-06-20,0.202,0.212,0.198,0.202,0.202,7010228,7010200,0.0,0.0,0.2057,"June 20, 23",0.0,ZOM
2023-06-16,0.1949,0.21,0.194,0.21,0.21,6724012,6650700,0.0151,7.75,0.1993,"June 16, 23",0.0775,ZOM
2023-06-15,0.194,0.197,0.193,0.1952,0.195,3282508,3282500,0.0012,0.61856,0.1958,"June 15, 23",0.0061856,ZOM
2023-06-14,0.1972,0.1986,0.193,0.193,0.193,3452533,3452500,-0.0042,-2.13,0.1958,"June 14, 23",-0.0213,ZOM
2023-06-13,0.196,0.199,0.1947,0.1966,0.197,3425865,3425900,0.0006,0.30612,0.1972,"June 13, 23",0.0030612,ZOM
2023-06-12,0.197,0.1979,0.1936,0.1936,0.194,2768749,2733100,-0.0034,-1.73,0.1953,"June 12, 23",-0.0173,ZOM
2023-06-09,0.1995,0.2,0.1955,0.1955,0.196,5766855,5659200,-0.004,-2.01,0.1975,"June 09, 23",-0.0201,ZOM
2023-06-08,0.1928,0.2009,0.1928,0.198,0.198,4767658,4767700,0.0052,2.7,0.1967,"June 08, 23",0.027,ZOM
2023-06-07,0.195,0.1955,0.1928,0.194,0.194,3146333,3146300,-0.001,-0.51282,0.1939,"June 07, 23",-0.0051282,ZOM
2023-06-06,0.1959,0.196,0.1928,0.1945,0.195,2365808,2365800,-0.0014,-0.71465,0.1948,"June 06, 23",-0.0071465,ZOM
2023-06-05,0.1924,0.1989,0.1924,0.1966,0.197,2496208,2080300,0.0042,2.18,0.1965,"June 05, 23",0.0218,ZOM
