date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-06-15,10.23,10.23,10.23,10.23,10.23,135,135,0.0,0.0,10.23,"June 15, 23",0.0,ZTAQU
2023-06-14,10.24,10.24,10.23,10.24,10.24,488,500,0.0,0.0,10.24,"June 14, 23",0.0,ZTAQU
2023-06-13,10.23,10.25,10.21,10.24,10.24,8528,8500,0.01,0.09775171,10.23,"June 13, 23",0.0009775171,ZTAQU
2023-06-12,10.28,10.28,10.28,10.28,10.28,500,500,0.0,0.0,10.27,"June 12, 23",0.0,ZTAQU
2023-06-09,10.68,10.68,10.68,10.68,10.68,337,300,0.0,0.0,10.68,"June 09, 23",0.0,ZTAQU
2023-06-08,10.26,10.73,10.22,10.23,10.23,154511,154500,-0.03,-0.2924,10.23,"June 08, 23",-0.002924,ZTAQU
2023-06-07,10.23,10.23,10.23,10.23,10.23,0,0,0.0,0.0,10.23,"June 07, 23",0.0,ZTAQU
2023-06-06,10.28,10.366,10.23,10.23,10.23,1400,1400,-0.05,-0.48638,10.25,"June 06, 23",-0.0048638,ZTAQU
2023-06-05,10.22,10.22,10.22,10.22,10.22,235,200,0.0,0.0,10.22,"June 05, 23",0.0,ZTAQU
2023-06-02,10.26,10.3838,10.23,10.23,10.23,810,800,-0.03,-0.2924,10.26,"June 02, 23",-0.002924,ZTAQU
2023-06-01,10.26,10.27,10.2201,10.2201,10.22,850,900,-0.0399,-0.38889,10.24,"June 01, 23",-0.0038889,ZTAQU
2023-05-31,10.26,10.27,10.2201,10.27,10.27,831,800,0.01,0.09746589,10.27,"May 31, 23",0.0009746589,ZTAQU
2023-05-30,10.26,10.27,10.2201,10.2201,10.22,1000,1000,-0.0399,-0.38889,10.24,"May 30, 23",-0.0038889,ZTAQU
2023-05-26,10.6,10.6,10.2201,10.2201,10.22,1505,1500,-0.3799,-3.58,10.35,"May 26, 23",-0.0358,ZTAQU
2023-05-25,10.26,10.6999,10.22,10.2201,10.22,2003,2000,-0.0399,-0.38889,10.29,"May 25, 23",-0.0038889,ZTAQU
2023-05-24,10.2943,10.715,10.22,10.715,10.715,1300,1300,0.4207,4.09,10.38,"May 24, 23",0.0409,ZTAQU
2023-05-23,10.29,10.29,10.29,10.29,10.29,450,500,0.0,0.0,10.3,"May 23, 23",0.0,ZTAQU
2023-05-22,10.23,10.23,10.23,10.23,10.23,0,0,0.0,0.0,10.23,"May 22, 23",0.0,ZTAQU
2023-05-19,10.27,10.27,10.23,10.23,10.23,1150,1200,-0.04,-0.38948,10.27,"May 19, 23",-0.0038948,ZTAQU
2023-05-18,10.26,10.27,10.22,10.27,10.27,1850,1900,0.01,0.09746589,10.28,"May 18, 23",0.0009746589,ZTAQU
2023-05-17,10.23,10.27,10.22,10.27,10.27,20600,20600,0.04,0.39101,10.22,"May 17, 23",0.0039101,ZTAQU
2023-05-16,10.26,10.6507,10.23,10.2301,10.23,800,800,-0.0299,-0.29142,10.29,"May 16, 23",-0.0029142,ZTAQU
2023-05-15,10.28,10.28,10.28,10.28,10.28,600,600,0.0,0.0,10.29,"May 15, 23",0.0,ZTAQU
2023-05-12,10.26,10.26,10.17,10.17,10.17,1100,1100,-0.09,-0.87719,10.22,"May 12, 23",-0.0087719,ZTAQU
2023-05-11,10.22,10.22,10.22,10.22,10.22,0,0,0.0,0.0,10.22,"May 11, 23",0.0,ZTAQU
2023-05-10,10.22,10.22,10.22,10.22,10.22,0,0,0.0,0.0,10.22,"May 10, 23",0.0,ZTAQU
2023-05-09,10.22,10.22,10.22,10.22,10.22,0,0,0.0,0.0,10.22,"May 09, 23",0.0,ZTAQU
2023-05-08,10.22,10.22,10.22,10.22,10.22,0,0,0.0,0.0,10.22,"May 08, 23",0.0,ZTAQU
2023-05-05,10.22,10.22,10.22,10.22,10.22,0,0,0.0,0.0,10.22,"May 05, 23",0.0,ZTAQU
2023-05-04,10.24,10.24,10.2101,10.22,10.22,400,400,-0.02,-0.19531,10.23,"May 04, 23",-0.0019531,ZTAQU
2023-05-03,10.19,10.24,10.16,10.2,10.2,7005,7000,0.01,0.09813543,10.17,"May 03, 23",0.0009813543,ZTAQU
2023-05-02,10.19,10.19,10.19,10.19,10.19,0,0,0.0,0.0,10.19,"May 02, 23",0.0,ZTAQU
2023-05-01,10.19,10.19,10.19,10.19,10.19,4779,4800,0.0,0.0,10.19,"May 01, 23",0.0,ZTAQU
2023-04-28,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 28, 23",0.0,ZTAQU
2023-04-27,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 27, 23",0.0,ZTAQU
2023-04-26,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 26, 23",0.0,ZTAQU
2023-04-25,10.19,10.19,10.16,10.17,10.17,4728,4700,-0.02,-0.19627,10.17,"April 25, 23",-0.0019627,ZTAQU
2023-04-24,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 24, 23",0.0,ZTAQU
2023-04-21,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 21, 23",0.0,ZTAQU
2023-04-20,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 20, 23",0.0,ZTAQU
2023-04-19,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 19, 23",0.0,ZTAQU
2023-04-18,10.17,10.17,10.17,10.17,10.17,0,0,0.0,0.0,10.17,"April 18, 23",0.0,ZTAQU
2023-04-17,10.19,10.19,10.16,10.17,10.17,959,959,-0.02,-0.19627,10.17,"April 17, 23",-0.0019627,ZTAQU
2023-04-14,10.63,10.63,10.19,10.19,10.19,589,600,-0.44,-4.14,10.56,"April 14, 23",-0.0414,ZTAQU
2023-04-13,10.18,10.18,10.18,10.18,10.18,0,0,0.0,0.0,10.18,"April 13, 23",0.0,ZTAQU
